cricetulus_griseus_chok1gshd ENSCGRG00001023788
cricetulus_griseus_crigri ENSCGRG00000012599
cricetulus_griseus_crigri-picr ENSCGRG00015024514
mesocricetus_auratus ENSMAUG00000021109
microtus_ochrogaster ENSMOCG00000014364
peromyscus_maniculatus_bairdii ENSPEMG00000020165
mus_musculus ENSMUSG00000036244
mus_spicilegus ENSMSIG00000007092
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033433
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032293
mus_pahari MGP_PahariEiJ_G0015159
rattus_norvegicus ENSRNOG00000008737
meriones_unguiculatus ENSMUGG00000018244
nannospalax_galili ENSNGAG00000022304
castor_canadensis ENSCCNG00000027661
urocitellus_parryii ENSUPAG00010005154
ictidomys_tridecemlineatus ENSSTOG00000010798
marmota_marmota_marmota ENSMMMG00000003402
spermophilus_dauricus ENSSDAG00000008621
jaculus_jaculus ENSJJAG00000017016
dipodomys_ordii ENSDORG00000000369
cavia_aperea ENSCAPG00000000019
cavia_porcellus ENSCPOG00000027060
octodon_degus ENSODEG00000016034
chinchilla_lanigera ENSCLAG00000007801
heterocephalus_glaber_male ENSHGLG00100015712
heterocephalus_glaber_female ENSHGLG00000018198
fukomys_damarensis ENSFDAG00000010491
ochotona_princeps ENSOPRG00000005265
pan_troglodytes ENSPTRG00000007263
pan_paniscus ENSPPAG00000038738
homo_sapiens ENSG00000167139
gorilla_gorilla ENSGGOG00000010112
pongo_abelii ENSPPYG00000006628
nomascus_leucogenys ENSNLEG00000014269
piliocolobus_tephrosceles ENSPTEG00000024801
colobus_angolensis_palliatus ENSCANG00000034555
rhinopithecus_roxellana ENSRROG00000041351
rhinopithecus_bieti ENSRBIG00000019973
macaca_fascicularis ENSMFAG00000035270
macaca_mulatta ENSMMUG00000003642
macaca_nemestrina ENSMNEG00000043464
mandrillus_leucophaeus ENSMLEG00000002506
papio_anubis ENSPANG00000016109
theropithecus_gelada ENSTGEG00000027720
cercocebus_atys ENSCATG00000017883
chlorocebus_sabaeus ENSCSAG00000014062
saimiri_boliviensis_boliviensis ENSSBOG00000020905
callithrix_jacchus ENSCJAG00000017969
cebus_capucinus ENSCCAG00000032794
aotus_nancymaae ENSANAG00000023485
carlito_syrichta ENSTSYG00000008688
propithecus_coquereli ENSPCOG00000026985
microcebus_murinus ENSMICG00000015237
prolemur_simus ENSPSMG00000006818
otolemur_garnettii ENSOGAG00000007058
tupaia_belangeri ENSTBEG00000011610
myotis_lucifugus ENSMLUG00000006355
pteropus_vampyrus ENSPVAG00000006926
ursus_maritimus ENSUMAG00000005270
ursus_americanus ENSUAMG00000025332
ailuropoda_melanoleuca ENSAMEG00000009255
neovison_vison ENSNVIG00000012358
mustela_putorius_furo ENSMPUG00000017245
canis_lupus_familiaris ENSCAFG00000017826
canis_lupus_dingo ENSCAFG00020004226
vulpes_vulpes ENSVVUG00000018482
panthera_pardus ENSPPRG00000007945
panthera_tigris_altaica ENSPTIG00000011565
felis_catus ENSFCAG00000003096
equus_asinus_asinus ENSEASG00005005185
equus_caballus ENSECAG00000024937
bos_taurus ENSBTAG00000007800
bos_mutus ENSBMUG00000007917
bison_bison_bison ENSBBBG00000021052
ovis_aries ENSOARG00000019044
capra_hircus ENSCHIG00000017607
sus_scrofa ENSSSCG00000001915
tursiops_truncatus ENSTTRG00000000058
loxodonta_africana ENSLAFG00000010052
procavia_capensis ENSPCAG00000015027
echinops_telfairi ENSETEG00000017211
dasypus_novemcinctus ENSDNOG00000016457
phascolarctos_cinereus ENSPCIG00000015880
notamacropus_eugenii ENSMEUG00000009900
sarcophilus_harrisii ENSSHAG00000009348
monodelphis_domestica ENSMODG00000009837
ornithorhynchus_anatinus ENSOANG00000003057
pogona_vitticeps ENSPVIG00000002775
anolis_carolinensis ENSACAG00000017187
salvator_merianae ENSSMRG00000008407
sphenodon_punctatus ENSSPUG00000009208
gopherus_agassizii ENSGAGG00000008418
chelonoidis_abingdonii ENSCABG00000020401
chrysemys_picta_bellii ENSCPBG00000008681
pelodiscus_sinensis ENSPSIG00000014353
apteryx_haastii ENSAHAG00000001719
apteryx_rowi ENSARWG00000014440
apteryx_owenii ENSAOWG00000000035
dromaius_novaehollandiae ENSDNVG00000018075
nothoprocta_perdicaria ENSNPEG00000012524
saccharomyces_cerevisiae YMR055C
