pongo_abelii ENSPPYG00000011907
piliocolobus_tephrosceles ENSPTEG00000021629
pan_troglodytes ENSPTRG00000014467
pan_paniscus ENSPPAG00000028049
homo_sapiens ENSG00000100290
gorilla_gorilla ENSGGOG00000000029
nomascus_leucogenys ENSNLEG00000016086
theropithecus_gelada ENSTGEG00000005837
papio_anubis ENSPANG00000009992
macaca_mulatta ENSMMUG00000057131
macaca_fascicularis ENSMFAG00000041806
macaca_nemestrina ENSMNEG00000039907
cercocebus_atys ENSCATG00000029775
mandrillus_leucophaeus ENSMLEG00000026148
chlorocebus_sabaeus ENSCSAG00000005618
rhinopithecus_roxellana ENSRROG00000038383
rhinopithecus_bieti ENSRBIG00000040540
colobus_angolensis ENSCANG00000035370
saimiri_boliviensis ENSSBOG00000025149
cebus_capucinus ENSCCAG00000028214
callithrix_jacchus ENSCJAG00000001723
aotus_nancymaae ENSANAG00000022763
carlito_syrichta ENSTSYG00000036547
propithecus_coquereli ENSPCOG00000019271
prolemur_simus ENSPSMG00000011766
microcebus_murinus ENSMICG00000043006
otolemur_garnettii ENSOGAG00000014058
mus_spretus MGP_SPRETEiJ_G0020997
mus_spicilegus ENSMSIG00000017503
mus_musculus ENSMUSG00000016758
mus_caroli MGP_CAROLIEiJ_G0020100
mus_pahari MGP_PahariEiJ_G0020106
rattus_norvegicus ENSRNOG00000010359
meriones_unguiculatus ENSMUGG00000007361
peromyscus_maniculatus ENSPEMG00000028833
peromyscus_maniculatus ENSPEMG00000020645
microtus_ochrogaster ENSMOCG00000001896
cricetulus_griseus ENSCGRG00015020999
cricetulus_griseus ENSCGRG00000017813
cricetulus_griseus ENSCGRG00001021137
mesocricetus_auratus ENSMAUG00000019844
nannospalax_galili ENSNGAG00000000452
jaculus_jaculus ENSJJAG00000017292
castor_canadensis ENSCCNG00000010318
dipodomys_ordii ENSDORG00000012228
heterocephalus_glaber ENSHGLG00000008535
heterocephalus_glaber ENSHGLG00100000403
cavia_porcellus ENSCPOG00000022451
cavia_aperea ENSCAPG00000008589
octodon_degus ENSODEG00000015823
ursus_maritimus ENSUMAG00000020334
ursus_americanus ENSUAMG00000007729
ailuropoda_melanoleuca ENSAMEG00000006859
vulpes_vulpes ENSVVUG00000000999
felis_catus ENSFCAG00000050562
pteropus_vampyrus ENSPVAG00000009678
equus_caballus ENSECAG00000018135
equus_asinus ENSEASG00005000875
procavia_capensis ENSPCAG00000007516
