poecilia_latipinna ENSPLAG00000013569
poecilia_mexicana ENSPMEG00000006953
poecilia_reticulata ENSPREG00000005677
xiphophorus_maculatus ENSXMAG00000028459
xiphophorus_couchianus ENSXCOG00000004757
gambusia_affinis ENSGAFG00000011843
fundulus_heteroclitus ENSFHEG00000010749
cyprinodon_variegatus ENSCVAG00000018435
oryzias_latipes ENSORLG00015010065
oryzias_latipes ENSORLG00000029319
oryzias_melastigma ENSOMEG00000003756
parambassis_ranga ENSPRNG00000012290
lates_calcarifer ENSLCAG00010005020
seriola_lalandi ENSSLDG00000014211
hippocampus_comes ENSHCOG00000009603
hippocampus_comes ENSHCOG00000009593
