pogona_vitticeps ENSPVIG00000006487
salvator_merianae ENSSMRG00000013025
sphenodon_punctatus ENSSPUG00000005360
apteryx_rowi ENSARWG00000017591
apteryx_haastii ENSAHAG00000014171
apteryx_owenii ENSAOWG00000005886
dromaius_novaehollandiae ENSDNVG00000007835
nothoprocta_perdicaria ENSNPEG00000003751
melopsittacus_undulatus ENSMUNG00000002431
calidris_pugnax ENSCPUG00000017060
cyanistes_caeruleus ENSCCEG00000021491
taeniopygia_guttata ENSTGUG00000003524
serinus_canaria ENSSCAG00000013995
parus_major ENSPMJG00000009598
junco_hyemalis ENSJHYG00000003114
zonotrichia_albicollis ENSZALG00000005641
ficedula_albicollis ENSFALG00000006271
manacus_vitellinus ENSMVIG00005000444
anser_brachyrhynchus ENSABRG00000010982
anas_platyrhynchos_platyrhynchos ENSAPLG00000003631
gallus_gallus ENSGALG00000000593
coturnix_japonica ENSCJPG00005006977
meleagris_gallopavo ENSMGAG00000011268
numida_meleagris ENSNMEG00000007599
crocodylus_porosus ENSCPRG00005012139
chrysemys_picta_bellii ENSCPBG00000016377
chelonoidis_abingdonii ENSCABG00000001048
pelodiscus_sinensis ENSPSIG00000009259
phascolarctos_cinereus ENSPCIG00000006444
sarcophilus_harrisii ENSSHAG00000004567
bos_mutus ENSBMUG00000008823
bos_taurus ENSBTAG00000039384
bison_bison_bison ENSBBBG00000022623
capra_hircus ENSCHIG00000006327
ovis_aries ENSOARG00000013905
sus_scrofa ENSSSCG00000037551
ursus_americanus ENSUAMG00000008211
ursus_maritimus ENSUMAG00000005143
ailuropoda_melanoleuca ENSAMEG00000008766
mustela_putorius_furo ENSMPUG00000009507
neovison_vison ENSNVIG00000004534
canis_lupus_familiaris ENSCAFG00000029413
vulpes_vulpes ENSVVUG00000007973
panthera_tigris_altaica ENSPTIG00000013432
panthera_pardus ENSPPRG00000005363
felis_catus ENSFCAG00000033614
urocitellus_parryii ENSUPAG00010012681
spermophilus_dauricus ENSSDAG00000011948
theropithecus_gelada ENSTGEG00000026206
ciona_intestinalis ENSCING00000023270
