bos_taurus ENSBTAG00000034841
theropithecus_gelada ENSTGEG00000003397
junco_hyemalis ENSJHYG00000014871
ursus_maritimus ENSUMAG00000013716
ursus_americanus ENSUAMG00000004958
neovison_vison ENSNVIG00000000590
mustela_putorius_furo ENSMPUG00000004336
canis_lupus_dingo ENSCAFG00020009467
canis_lupus_dingo ENSCAFG00020009002
canis_lupus_familiaris ENSCAFG00000019741
vulpes_vulpes ENSVVUG00000009431
panthera_pardus ENSPPRG00000003526
panthera_tigris_altaica ENSPTIG00000010240
felis_catus ENSFCAG00000046664
canis_lupus_dingo ENSCAFG00020001125
ursus_maritimus ENSUMAG00000013859
ursus_americanus ENSUAMG00000014576
ailuropoda_melanoleuca ENSAMEG00000005567
neovison_vison ENSNVIG00000000630
mustela_putorius_furo ENSMPUG00000004265
canis_lupus_dingo ENSCAFG00020009433
canis_lupus_familiaris ENSCAFG00000023173
canis_lupus_familiaris ENSCAFG00000024344
vulpes_vulpes ENSVVUG00000009366
panthera_pardus ENSPPRG00000003335
panthera_tigris_altaica ENSPTIG00000007525
felis_catus ENSFCAG00000040956
sus_scrofa ENSSSCG00000006792
sorex_araneus ENSSARG00000001998
erinaceus_europaeus ENSEEUG00000011952
rhinopithecus_bieti ENSRBIG00000028657
rhinopithecus_roxellana ENSRROG00000037346
carlito_syrichta ENSTSYG00000026071
propithecus_coquereli ENSPCOG00000014343
prolemur_simus ENSPSMG00000010689
otolemur_garnettii ENSOGAG00000027675
loxodonta_africana ENSLAFG00000030474
echinops_telfairi ENSETEG00000002984
dasypus_novemcinctus ENSDNOG00000032996
myotis_lucifugus ENSMLUG00000012403
monodelphis_domestica ENSMODG00000001372
phascolarctos_cinereus ENSPCIG00000027740
sarcophilus_harrisii ENSSHAG00000012931
salvator_merianae ENSSMRG00000002283
salvator_merianae ENSSMRG00000002276
anolis_carolinensis ENSACAG00000027343
pogona_vitticeps ENSPVIG00000010301
sphenodon_punctatus ENSSPUG00000007572
apteryx_owenii ENSAOWG00000018688
apteryx_haastii ENSAHAG00000018134
apteryx_rowi ENSARWG00000005627
dromaius_novaehollandiae ENSDNVG00000013855
nothoprocta_perdicaria ENSNPEG00000004012
calidris_pugnax ENSCPUG00000012879
calidris_pygmaea ENSCPGG00000002822
lepidothrix_coronata ENSLCOG00000002922
manacus_vitellinus ENSMVIG00005018505
cyanistes_caeruleus ENSCCEG00000017219
parus_major ENSPMJG00000016261
ficedula_albicollis ENSFALG00000003135
taeniopygia_guttata ENSTGUG00000017436
lonchura_striata_domestica ENSLSDG00000016797
serinus_canaria ENSSCAG00000000134
melopsittacus_undulatus ENSMUNG00000013878
gallus_gallus ENSGALG00000028489
coturnix_japonica ENSCJPG00005018943
meleagris_gallopavo ENSMGAG00000017316
numida_meleagris ENSNMEG00000004084
anas_platyrhynchos_platyrhynchos ENSAPLG00000018543
anser_brachyrhynchus ENSABRG00000000449
crocodylus_porosus ENSCPRG00005011400
nothoprocta_perdicaria ENSNPEG00000004016
dromaius_novaehollandiae ENSDNVG00000013861
apteryx_owenii ENSAOWG00000018690
apteryx_haastii ENSAHAG00000018132
apteryx_rowi ENSARWG00000005624
calidris_pygmaea ENSCPGG00000002801
calidris_pugnax ENSCPUG00000012880
cyanistes_caeruleus ENSCCEG00000017218
parus_major ENSPMJG00000016260
lepidothrix_coronata ENSLCOG00000002924
crocodylus_porosus ENSCPRG00005011410
gopherus_agassizii ENSGAGG00000021143
chelonoidis_abingdonii ENSCABG00000009211
chrysemys_picta_bellii ENSCPBG00000017450
pelodiscus_sinensis ENSPSIG00000012466
gopherus_agassizii ENSGAGG00000021130
chelonoidis_abingdonii ENSCABG00000009207
chrysemys_picta_bellii ENSCPBG00000017449
pelodiscus_sinensis ENSPSIG00000006723
