lonchura_striata_domestica ENSLSDG00000000450
cyanistes_caeruleus ENSCCEG00000012320
apteryx_owenii ENSAOWG00000017863
chelonoidis_abingdonii ENSCABG00000000283
junco_hyemalis ENSJHYG00000001812
lepidothrix_coronata ENSLCOG00000007680
parus_major ENSPMJG00000000800
ficedula_albicollis ENSFALG00000001273
calidris_pugnax ENSCPUG00000017958
manacus_vitellinus ENSMVIG00005010735
serinus_canaria ENSSCAG00000012768
calidris_pygmaea ENSCPGG00000006380
anas_platyrhynchos_platyrhynchos ENSAPLG00000023436
anser_brachyrhynchus ENSABRG00000020504
gopherus_agassizii ENSGAGG00000006598
chrysemys_picta_bellii ENSCPBG00000025637
pogona_vitticeps ENSPVIG00000021691
notechis_scutatus ENSNSUG00000003592
salvator_merianae ENSSMRG00000011886
anolis_carolinensis ENSACAG00000022986
sphenodon_punctatus ENSSPUG00000002620
nothoprocta_perdicaria ENSNPEG00000003132
chinchilla_lanigera ENSCLAG00000005645
cavia_porcellus ENSCPOG00000019491
heterocephalus_glaber_female ENSHGLG00000009408
heterocephalus_glaber_male ENSHGLG00100016844
fukomys_damarensis ENSFDAG00000008429
castor_canadensis ENSCCNG00000020294
nannospalax_galili ENSNGAG00000017866
capra_hircus ENSCHIG00000025865
ovis_aries ENSOARG00000003333
bos_taurus ENSBTAG00000021512
bos_mutus ENSBMUG00000011310
bison_bison_bison ENSBBBG00000014097
tursiops_truncatus ENSTTRG00000016171
pan_troglodytes ENSPTRG00000001401
pan_paniscus ENSPPAG00000035970
homo_sapiens ENSG00000160685
gorilla_gorilla ENSGGOG00000013438
pongo_abelii ENSPPYG00000000765
nomascus_leucogenys ENSNLEG00000011581
rhinopithecus_bieti ENSRBIG00000002135
rhinopithecus_roxellana ENSRROG00000032351
colobus_angolensis_palliatus ENSCANG00000009595
piliocolobus_tephrosceles ENSPTEG00000033640
macaca_mulatta ENSMMUG00000004053
macaca_nemestrina ENSMNEG00000042259
macaca_fascicularis ENSMFAG00000042075
mandrillus_leucophaeus ENSMLEG00000040876
cercocebus_atys ENSCATG00000029756
papio_anubis ENSPANG00000011709
theropithecus_gelada ENSTGEG00000021883
chlorocebus_sabaeus ENSCSAG00000001980
cebus_capucinus ENSCCAG00000020905
callithrix_jacchus ENSCJAG00000009307
saimiri_boliviensis_boliviensis ENSSBOG00000024006
aotus_nancymaae ENSANAG00000033119
carlito_syrichta ENSTSYG00000037113
prolemur_simus ENSPSMG00000022683
propithecus_coquereli ENSPCOG00000028495
microcebus_murinus ENSMICG00000007961
otolemur_garnettii ENSOGAG00000030533
equus_asinus_asinus ENSEASG00005019461
equus_caballus ENSECAG00000038153
sus_scrofa ENSSSCG00000028606
pteropus_vampyrus ENSPVAG00000017811
ailuropoda_melanoleuca ENSAMEG00000011465
ursus_americanus ENSUAMG00000014354
neovison_vison ENSNVIG00000018455
mustela_putorius_furo ENSMPUG00000006162
canis_lupus_familiaris ENSCAFG00000017124
canis_lupus_dingo ENSCAFG00020007965
vulpes_vulpes ENSVVUG00000002042
panthera_pardus ENSPPRG00000024712
panthera_tigris_altaica ENSPTIG00000014823
felis_catus ENSFCAG00000028179
oryctolagus_cuniculus ENSOCUG00000021279
procavia_capensis ENSPCAG00000013308
dasypus_novemcinctus ENSDNOG00000043591
urocitellus_parryii ENSUPAG00010001747
ictidomys_tridecemlineatus ENSSTOG00000020089
marmota_marmota_marmota ENSMMMG00000017026
