panthera_pardus ENSPPRG00000015183
panthera_tigris_altaica ENSPTIG00000004656
felis_catus ENSFCAG00000024569
ursus_maritimus ENSUMAG00000011941
ursus_americanus ENSUAMG00000008716
ailuropoda_melanoleuca ENSAMEG00000019838
myotis_lucifugus ENSMLUG00000030575
bos_taurus ENSBTAG00000024210
bos_mutus ENSBMUG00000018312
bison_bison_bison ENSBBBG00000006791
capra_hircus ENSCHIG00000018529
sus_scrofa ENSSSCG00000026853
spermophilus_dauricus ENSSDAG00000017880
urocitellus_parryii ENSUPAG00010013118
marmota_marmota_marmota ENSMMMG00000004577
fukomys_damarensis ENSFDAG00000017652
cavia_porcellus ENSCPOG00000035231
cricetulus_griseus_chok1gshd ENSCGRG00001010520
cricetulus_griseus_crigri-picr ENSCGRG00015012754
cricetulus_griseus_crigri ENSCGRG00000019018
peromyscus_maniculatus_bairdii ENSPEMG00000024500
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034215
mus_spicilegus ENSMSIG00000008943
mus_musculus ENSMUSG00000048173
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033057
mus_pahari MGP_PahariEiJ_G0031602
rattus_norvegicus ENSRNOG00000052181
oryctolagus_cuniculus ENSOCUG00000023391
