cynoglossus_semilaevis ENSCSEG00000011908
hippocampus_comes ENSHCOG00000020234
fundulus_heteroclitus ENSFHEG00000014150
cyprinodon_variegatus ENSCVAG00000015783
xiphophorus_couchianus ENSXCOG00000018160
xiphophorus_maculatus ENSXMAG00000018168
gambusia_affinis ENSGAFG00000002151
poecilia_formosa ENSPFOG00000017135
poecilia_latipinna ENSPLAG00000001323
poecilia_mexicana ENSPMEG00000017021
poecilia_reticulata ENSPREG00000005176
kryptolebias_marmoratus ENSKMAG00000016902
oryzias_latipes ENSORLG00000012687
oryzias_latipes ENSORLG00020001557
oryzias_latipes_asm223469v1 ENSORLG00015021161
oryzias_melastigma ENSOMEG00000014127
maylandia_zebra ENSMZEG00005008360
astatotilapia_calliptera ENSACLG00000013922
pundamilia_nyererei ENSPNYG00000020192
haplochromis_burtoni ENSHBUG00000005776
neolamprologus_brichardi ENSNBRG00000011800
oreochromis_niloticus ENSONIG00000002606
amphilophus_citrinellus ENSACIG00000020214
amphiprion_ocellaris ENSAOCG00000024613
amphiprion_percula ENSAPEG00000000833
acanthochromis_polyacanthus ENSAPOG00000021678
stegastes_partitus ENSSPAG00000005044
periophthalmus_magnuspinnatus ENSPMGG00000011295
labrus_bergylta ENSLBEG00000007365
mola_mola ENSMMOG00000000023
gasterosteus_aculeatus ENSGACG00000016494
mastacembelus_armatus ENSMAMG00000001335
monopterus_albus ENSMALG00000018862
anabas_testudineus ENSATEG00000000885
seriola_dumerili ENSSDUG00000004308
seriola_lalandi_dorsalis ENSSLDG00000002590
scophthalmus_maximus ENSSMAG00000007556
takifugu_rubripes ENSTRUG00000006112
tetraodon_nigroviridis ENSTNIG00000010229
gadus_morhua ENSGMOG00000017481
esox_lucius ENSELUG00000004367
astyanax_mexicanus ENSAMXG00000011067
pygocentrus_nattereri ENSPNAG00000027974
ictalurus_punctatus ENSIPUG00000017501
scleropages_formosus ENSSFOG00015017257
paramormyrops_kingsleyae ENSPKIG00000019238
lepisosteus_oculatus ENSLOCG00000013070
anas_platyrhynchos_platyrhynchos ENSAPLG00000014658
anser_brachyrhynchus ENSABRG00000003190
meleagris_gallopavo ENSMGAG00000007335
gallus_gallus ENSGALG00000031348
numida_meleagris ENSNMEG00000022960
coturnix_japonica ENSCJPG00005020091
calidris_pugnax ENSCPUG00000018419
calidris_pygmaea ENSCPGG00000004964
melopsittacus_undulatus ENSMUNG00000002959
lonchura_striata_domestica ENSLSDG00000017131
taeniopygia_guttata ENSTGUG00000007425
serinus_canaria ENSSCAG00000005244
junco_hyemalis ENSJHYG00000009655
zonotrichia_albicollis ENSZALG00000000721
ficedula_albicollis ENSFALG00000011434
parus_major ENSPMJG00000019197
cyanistes_caeruleus ENSCCEG00000011632
lepidothrix_coronata ENSLCOG00000015118
manacus_vitellinus ENSMVIG00005014568
apteryx_haastii ENSAHAG00000000434
apteryx_rowi ENSARWG00000012809
apteryx_owenii ENSAOWG00000004003
dromaius_novaehollandiae ENSDNVG00000004266
nothoprocta_perdicaria ENSNPEG00000015244
crocodylus_porosus ENSCPRG00005014945
gopherus_agassizii ENSGAGG00000022545
chelonoidis_abingdonii ENSCABG00000016151
chrysemys_picta_bellii ENSCPBG00000011455
pelodiscus_sinensis ENSPSIG00000008469
anolis_carolinensis ENSACAG00000003785
notechis_scutatus ENSNSUG00000019443
pogona_vitticeps ENSPVIG00000024859
salvator_merianae ENSSMRG00000022370
sphenodon_punctatus ENSSPUG00000011146
