lepisosteus_oculatus ENSLOCG00000007197
amphiprion_ocellaris ENSAOCG00000015006
sphenodon_punctatus ENSSPUG00000003118
notechis_scutatus ENSNSUG00000001432
chelonoidis_abingdonii ENSCABG00000004326
gopherus_agassizii ENSGAGG00000011999
crocodylus_porosus ENSCPRG00005007606
castor_canadensis ENSCCNG00000005476
meriones_unguiculatus ENSMUGG00000005691
spermophilus_dauricus ENSSDAG00000004015
macaca_mulatta ENSMMUG00000042925
carlito_syrichta ENSTSYG00000008443
propithecus_coquereli ENSPCOG00000015125
microcebus_murinus ENSMICG00000045422
ursus_americanus ENSUAMG00000006900
ursus_maritimus ENSUMAG00000008564
ailuropoda_melanoleuca ENSAMEG00000005237
canis_lupus ENSCAFG00020010807
vulpes_vulpes ENSVVUG00000024743
mustela_putorius ENSMPUG00000006519
equus_caballus ENSECAG00000030795
equus_asinus ENSEASG00005016307
capra_hircus ENSCHIG00000013260
ovis_aries ENSOARG00000019008
bos_mutus ENSBMUG00000018665
sarcophilus_harrisii ENSSHAG00000017826
