bos_taurus ENSBTAG00000015983
bos_mutus ENSBMUG00000013106
bison_bison ENSBBBG00000010703
bos_indicus ENSBIXG00005019222
bos_indicus ENSBIXG00000004256
bos_mutus ENSBMUG00000013198
ovis_aries ENSOARG00000019798
capra_hircus ENSCHIG00000018581
bos_indicus ENSBIXG00005019154
sus_scrofa ENSSSCG00000044800
sus_scrofa ENSSSCG00000047498
sus_scrofa ENSSSCG00000031812
ailuropoda_melanoleuca ENSAMEG00000019843
ailuropoda_melanoleuca ENSAMEG00000000308
ailuropoda_melanoleuca ENSAMEG00000000068
ursus_americanus ENSUAMG00000001010
neovison_vison ENSNVIG00000001868
mustela_putorius ENSMPUG00000019775
mustela_putorius ENSMPUG00000015884
vulpes_vulpes ENSVVUG00000008810
vulpes_vulpes ENSVVUG00000008798
canis_lupus ENSCAFG00020014331
canis_lupus ENSCAFG00000047534
canis_lupus ENSCAFG00000041949
canis_lupus ENSCAFG00020014316
felis_catus ENSFCAG00000031986
equus_caballus ENSECAG00000000803
equus_asinus ENSEASG00005017440
equus_caballus ENSECAG00000041582
equus_caballus ENSECAG00000029232
urocitellus_parryii ENSUPAG00010008268
urocitellus_parryii ENSUPAG00010008283
marmota_marmota ENSMMMG00000001369
marmota_marmota ENSMMMG00000001406
castor_canadensis ENSCCNG00000006815
heterocephalus_glaber ENSHGLG00100020510
heterocephalus_glaber ENSHGLG00000020391
heterocephalus_glaber ENSHGLG00000020400
fukomys_damarensis ENSFDAG00000020170
fukomys_damarensis ENSFDAG00000006726
cavia_aperea ENSCAPG00000003608
cavia_porcellus ENSCPOG00000013424
oryctolagus_cuniculus ENSOCUG00000012179
otolemur_garnettii ENSOGAG00000008744
loxodonta_africana ENSLAFG00000025928
loxodonta_africana ENSLAFG00000032282
loxodonta_africana ENSLAFG00000029359
choloepus_hoffmanni ENSCHOG00000007313
notamacropus_eugenii ENSMEUG00000001721
vombatus_ursinus ENSVURG00010003837
monodelphis_domestica ENSMODG00000007564
sarcophilus_harrisii ENSSHAG00000011245
notamacropus_eugenii ENSMEUG00000009622
notamacropus_eugenii ENSMEUG00000015459
phascolarctos_cinereus ENSPCIG00000008363
monodelphis_domestica ENSMODG00000048946
monodelphis_domestica ENSMODG00000048630
monodelphis_domestica ENSMODG00000007470
ornithorhynchus_anatinus ENSOANG00000006582
pelodiscus_sinensis ENSPSIG00000000660
pelodiscus_sinensis ENSPSIG00000000843
