cebus_capucinus ENSCCAG00000022458
saimiri_boliviensis_boliviensis ENSSBOG00000025347
callithrix_jacchus ENSCJAG00000047009
aotus_nancymaae ENSANAG00000036310
pan_paniscus ENSPPAG00000033181
pan_troglodytes ENSPTRG00000047364
homo_sapiens ENSG00000250719
nomascus_leucogenys ENSNLEG00000034472
macaca_nemestrina ENSMNEG00000032160
macaca_fascicularis ENSMFAG00000036616
papio_anubis ENSPANG00000035602
theropithecus_gelada ENSTGEG00000000649
mandrillus_leucophaeus ENSMLEG00000033449
cercocebus_atys ENSCATG00000032873
colobus_angolensis_palliatus ENSCANG00000023197
piliocolobus_tephrosceles ENSPTEG00000037160
rhinopithecus_bieti ENSRBIG00000029879
rhinopithecus_roxellana ENSRROG00000038849
carlito_syrichta ENSTSYG00000035470
propithecus_coquereli ENSPCOG00000027169
microcebus_murinus ENSMICG00000044954
prolemur_simus ENSPSMG00000013950
marmota_marmota_marmota ENSMMMG00000018949
urocitellus_parryii ENSUPAG00010020503
ictidomys_tridecemlineatus ENSSTOG00000033389
spermophilus_dauricus ENSSDAG00000002960
heterocephalus_glaber_female ENSHGLG00000001179
heterocephalus_glaber_male ENSHGLG00100007102
fukomys_damarensis ENSFDAG00000006312
cavia_porcellus ENSCPOG00000037878
octodon_degus ENSODEG00000007045
castor_canadensis ENSCCNG00000003294
dipodomys_ordii ENSDORG00000026690
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027301
mus_spicilegus ENSMSIG00000014803
mus_musculus ENSMUSG00000078593
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026329
mus_pahari MGP_PahariEiJ_G0028661
rattus_norvegicus ENSRNOG00000049874
meriones_unguiculatus ENSMUGG00000002515
cricetulus_griseus_chok1gshd ENSCGRG00001011615
cricetulus_griseus_crigri ENSCGRG00000012392
cricetulus_griseus_crigri-picr ENSCGRG00015024347
mesocricetus_auratus ENSMAUG00000018602
microtus_ochrogaster ENSMOCG00000010726
peromyscus_maniculatus_bairdii ENSPEMG00000008723
nannospalax_galili ENSNGAG00000007932
jaculus_jaculus ENSJJAG00000019291
ursus_americanus ENSUAMG00000011798
ursus_maritimus ENSUMAG00000023879
neovison_vison ENSNVIG00000019511
vulpes_vulpes ENSVVUG00000007257
canis_lupus_dingo ENSCAFG00020015132
panthera_tigris_altaica ENSPTIG00000013968
panthera_pardus ENSPPRG00000008928
felis_catus ENSFCAG00000032526
bos_mutus ENSBMUG00000018621
bos_taurus ENSBTAG00000048829
bison_bison_bison ENSBBBG00000015715
capra_hircus ENSCHIG00000014270
equus_caballus ENSECAG00000036112
equus_asinus_asinus ENSEASG00005004383
dasypus_novemcinctus ENSDNOG00000033172
