prolemur_simus ENSPSMG00000014820
propithecus_coquereli ENSPCOG00000017095
rhinopithecus_bieti ENSRBIG00000015371
piliocolobus_tephrosceles ENSPTEG00000027278
papio_anubis ENSPANG00000036038
macaca_nemestrina ENSMNEG00000007384
macaca_fascicularis ENSMFAG00000033546
macaca_mulatta ENSMMUG00000040094
cercocebus_atys ENSCATG00000014280
theropithecus_gelada ENSTGEG00000017938
mandrillus_leucophaeus ENSMLEG00000025917
piliocolobus_tephrosceles ENSPTEG00000027164
colobus_angolensis_palliatus ENSCANG00000011599
rhinopithecus_roxellana ENSRROG00000014254
callithrix_jacchus ENSCJAG00000041607
marmota_marmota_marmota ENSMMMG00000014759
urocitellus_parryii ENSUPAG00010015665
cricetulus_griseus_crigri-picr ENSCGRG00015026730
peromyscus_maniculatus_bairdii ENSPEMG00000027299
equus_caballus ENSECAG00000029008
equus_asinus_asinus ENSEASG00005008937
sus_scrofa ENSSSCG00000031347
ursus_americanus ENSUAMG00000005497
neovison_vison ENSNVIG00000001954
panthera_pardus ENSPPRG00000019972
panthera_pardus ENSPPRG00000019953
felis_catus ENSFCAG00000038564
