felis_catus ENSFCAG00000033075
equus_caballus ENSECAG00000034250
papio_anubis ENSPANG00000033940
rhinopithecus_roxellana ENSRROG00000041065
pan_troglodytes ENSPTRG00000046331
pan_troglodytes ENSPTRG00000050002
pan_paniscus ENSPPAG00000033620
nomascus_leucogenys ENSNLEG00000027247
pan_troglodytes ENSPTRG00000047898
pan_paniscus ENSPPAG00000028270
pan_troglodytes ENSPTRG00000043104
piliocolobus_tephrosceles ENSPTEG00000018932
urocitellus_parryii ENSUPAG00010004971
marmota_marmota_marmota ENSMMMG00000001757
peromyscus_maniculatus_bairdii ENSPEMG00000027089
