canis_lupus_dingo ENSCAFG00020025509
vulpes_vulpes ENSVVUG00000005458
canis_lupus_familiaris ENSCAFG00000031284
ursus_maritimus ENSUMAG00000004535
ailuropoda_melanoleuca ENSAMEG00000001722
neovison_vison ENSNVIG00000024429
mustela_putorius_furo ENSMPUG00000011547
panthera_tigris_altaica ENSPTIG00000000580
panthera_pardus ENSPPRG00000021674
felis_catus ENSFCAG00000038065
equus_asinus_asinus ENSEASG00005007627
equus_caballus ENSECAG00000033227
tursiops_truncatus ENSTTRG00000006720
vicugna_pacos ENSVPAG00000001419
pan_troglodytes ENSPTRG00000014780
pan_paniscus ENSPPAG00000041098
homo_sapiens ENSG00000177842
gorilla_gorilla ENSGGOG00000005122
pongo_abelii ENSPPYG00000013988
nomascus_leucogenys ENSNLEG00000005719
mandrillus_leucophaeus ENSMLEG00000036740
macaca_nemestrina ENSMNEG00000030493
macaca_mulatta ENSMMUG00000015955
papio_anubis ENSPANG00000005209
cercocebus_atys ENSCATG00000038256
chlorocebus_sabaeus ENSCSAG00000016898
colobus_angolensis_palliatus ENSCANG00000027061
piliocolobus_tephrosceles ENSPTEG00000016796
rhinopithecus_bieti ENSRBIG00000042222
rhinopithecus_roxellana ENSRROG00000043011
saimiri_boliviensis_boliviensis ENSSBOG00000036271
saimiri_boliviensis_boliviensis ENSSBOG00000020059
cebus_capucinus ENSCCAG00000028566
callithrix_jacchus ENSCJAG00000017904
aotus_nancymaae ENSANAG00000033621
carlito_syrichta ENSTSYG00000003513
propithecus_coquereli ENSPCOG00000021269
microcebus_murinus ENSMICG00000049038
prolemur_simus ENSPSMG00000022601
choloepus_hoffmanni ENSCHOG00000002967
procavia_capensis ENSPCAG00000017097
