homo_sapiens ENSG00000204616
gorilla_gorilla ENSGGOG00000015219
pan_troglodytes ENSPTRG00000017917
pan_paniscus ENSPPAG00000042134
pongo_abelii ENSPPYG00000017199
nomascus_leucogenys ENSNLEG00000004946
macaca_fascicularis ENSMFAG00000043239
macaca_nemestrina ENSMNEG00000033414
papio_anubis ENSPANG00000017495
mandrillus_leucophaeus ENSMLEG00000023641
cercocebus_atys ENSCATG00000039899
theropithecus_gelada ENSTGEG00000011045
macaca_mulatta ENSMMUG00000012125
chlorocebus_sabaeus ENSCSAG00000008116
rhinopithecus_bieti ENSRBIG00000036527
rhinopithecus_roxellana ENSRROG00000034747
piliocolobus_tephrosceles ENSPTEG00000027820
tupaia_belangeri ENSTBEG00000007448
castor_canadensis ENSCCNG00000011564
castor_canadensis ENSCCNG00000026909
castor_canadensis ENSCCNG00000011556
dipodomys_ordii ENSDORG00000014016
cricetulus_griseus ENSCGRG00001006008
cricetulus_griseus ENSCGRG00000013358
cricetulus_griseus ENSCGRG00015020808
mesocricetus_auratus ENSMAUG00000008163
peromyscus_maniculatus ENSPEMG00000017383
microtus_ochrogaster ENSMOCG00000000406
mus_spicilegus ENSMSIG00000017054
mus_spretus MGP_SPRETEiJ_G0022469
mus_musculus ENSMUSG00000058063
mus_caroli MGP_CAROLIEiJ_G0021557
mus_pahari MGP_PahariEiJ_G0020555
rattus_norvegicus ENSRNOG00000021518
meriones_unguiculatus ENSMUGG00000026692
meriones_unguiculatus ENSMUGG00000026670
urocitellus_parryii ENSUPAG00010015289
spermophilus_dauricus ENSSDAG00000003634
marmota_marmota ENSMMMG00000022938
ochotona_princeps ENSOPRG00000003568
ochotona_princeps ENSOPRG00000010782
oryctolagus_cuniculus ENSOCUG00000015660
bos_indicus ENSBIXG00005014351
bos_indicus ENSBIXG00000013099
bos_taurus ENSBTAG00000004490
bison_bison ENSBBBG00000010725
bos_mutus ENSBMUG00000002456
ovis_aries ENSOARG00000016280
sus_scrofa ENSSSCG00000022261
equus_caballus ENSECAG00000029067
equus_asinus ENSEASG00005009028
loxodonta_africana ENSLAFG00000012582
echinops_telfairi ENSETEG00000016684
choloepus_hoffmanni ENSCHOG00000007066
dasypus_novemcinctus ENSDNOG00000044095
