mustela_putorius ENSMPUG00000008460
neovison_vison ENSNVIG00000018788
ailuropoda_melanoleuca ENSAMEG00000008173
canis_lupus ENSCAFG00000030395
panthera_pardus ENSPPRG00000010315
panthera_tigris ENSPTIG00000021956
felis_catus ENSFCAG00000042748
equus_caballus ENSECAG00000012836
capra_hircus ENSCHIG00000025659
ovis_aries ENSOARG00000018694
bos_indicus ENSBIXG00005001808
bos_mutus ENSBMUG00000026040
bos_taurus ENSBTAG00000030929
bison_bison ENSBBBG00000008764
tursiops_truncatus ENSTTRG00000014447
sus_scrofa ENSSSCG00000029035
vicugna_pacos ENSVPAG00000010290
pteropus_vampyrus ENSPVAG00000001544
gorilla_gorilla ENSGGOG00000043471
homo_sapiens ENSG00000167785
pan_troglodytes ENSPTRG00000050215
pan_paniscus ENSPPAG00000035925
pongo_abelii ENSPPYG00000009513
nomascus_leucogenys ENSNLEG00000036293
macaca_fascicularis ENSMFAG00000036165
macaca_mulatta ENSMMUG00000049311
macaca_nemestrina ENSMNEG00000035004
mandrillus_leucophaeus ENSMLEG00000032509
cercocebus_atys ENSCATG00000044831
theropithecus_gelada ENSTGEG00000022766
papio_anubis ENSPANG00000011044
chlorocebus_sabaeus ENSCSAG00000007844
piliocolobus_tephrosceles ENSPTEG00000031736
colobus_angolensis ENSCANG00000039399
rhinopithecus_bieti ENSRBIG00000039683
rhinopithecus_roxellana ENSRROG00000036466
cebus_capucinus ENSCCAG00000012617
saimiri_boliviensis ENSSBOG00000026599
callithrix_jacchus ENSCJAG00000011049
aotus_nancymaae ENSANAG00000007813
theropithecus_gelada ENSTGEG00000020682
papio_anubis ENSPANG00000031448
mandrillus_leucophaeus ENSMLEG00000040833
cercocebus_atys ENSCATG00000038477
macaca_fascicularis ENSMFAG00000039721
macaca_mulatta ENSMMUG00000019966
macaca_nemestrina ENSMNEG00000031152
chlorocebus_sabaeus ENSCSAG00000009087
colobus_angolensis ENSCANG00000033261
piliocolobus_tephrosceles ENSPTEG00000028360
rhinopithecus_roxellana ENSRROG00000040307
rhinopithecus_bieti ENSRBIG00000040024
homo_sapiens ENSG00000130544
gorilla_gorilla ENSGGOG00000041869
pan_troglodytes ENSPTRG00000010385
pan_paniscus ENSPPAG00000030881
pongo_abelii ENSPPYG00000009470
nomascus_leucogenys ENSNLEG00000000394
cebus_capucinus ENSCCAG00000035545
carlito_syrichta ENSTSYG00000033059
propithecus_coquereli ENSPCOG00000023649
microcebus_murinus ENSMICG00000027068
prolemur_simus ENSPSMG00000018899
otolemur_garnettii ENSOGAG00000008204
tupaia_belangeri ENSTBEG00000009718
chinchilla_lanigera ENSCLAG00000003907
octodon_degus ENSODEG00000010485
cavia_aperea ENSCAPG00000014748
cavia_porcellus ENSCPOG00000009453
heterocephalus_glaber ENSHGLG00000015247
heterocephalus_glaber ENSHGLG00100003367
fukomys_damarensis ENSFDAG00000009511
ictidomys_tridecemlineatus ENSSTOG00000002432
marmota_marmota ENSMMMG00000021767
spermophilus_dauricus ENSSDAG00000020025
urocitellus_parryii ENSUPAG00010005622
castor_canadensis ENSCCNG00000011549
dipodomys_ordii ENSDORG00000009664
mus_spicilegus ENSMSIG00000014968
mus_spretus MGP_SPRETEiJ_G0032927
mus_musculus ENSMUSG00000074500
mus_caroli MGP_CAROLIEiJ_G0031807
mus_pahari MGP_PahariEiJ_G0014683
meriones_unguiculatus ENSMUGG00000018564
cricetulus_griseus ENSCGRG00001013016
cricetulus_griseus ENSCGRG00000013825
microtus_ochrogaster ENSMOCG00000018648
peromyscus_maniculatus ENSPEMG00000025515
nannospalax_galili ENSNGAG00000017237
oryctolagus_cuniculus ENSOCUG00000033051
ochotona_princeps ENSOPRG00000003056
canis_lupus ENSCAFG00020023329
vulpes_vulpes ENSVVUG00000028261
ursus_americanus ENSUAMG00000019194
ursus_maritimus ENSUMAG00000014181
panthera_tigris ENSPTIG00000022046
panthera_pardus ENSPPRG00000009993
equus_asinus ENSEASG00005004374
aotus_nancymaae ENSANAG00000029396
tursiops_truncatus ENSTTRG00000009019
procavia_capensis ENSPCAG00000015751
echinops_telfairi ENSETEG00000009018
choloepus_hoffmanni ENSCHOG00000005022
