caenorhabditis_elegans WBGene00019305
drosophila_melanogaster FBgn0034913
petromyzon_marinus ENSPMAG00000008132
eptatretus_burgeri ENSEBUG00000016295
rhinopithecus_bieti ENSRBIG00000044625
rhinopithecus_roxellana ENSRROG00000023418
macaca_mulatta ENSMMUG00000020384
macaca_fascicularis ENSMFAG00000002747
macaca_nemestrina ENSMNEG00000034530
cercocebus_atys ENSCATG00000044592
theropithecus_gelada ENSTGEG00000006121
papio_anubis ENSPANG00000030800
chlorocebus_sabaeus ENSCSAG00000013252
mandrillus_leucophaeus ENSMLEG00000043096
pan_troglodytes ENSPTRG00000014093
pan_paniscus ENSPPAG00000041748
gorilla_gorilla ENSGGOG00000001007
homo_sapiens ENSG00000099940
pongo_abelii ENSPPYG00000012027
nomascus_leucogenys ENSNLEG00000034008
colobus_angolensis ENSCANG00000039191
piliocolobus_tephrosceles ENSPTEG00000034602
nomascus_leucogenys ENSNLEG00000035455
saimiri_boliviensis ENSSBOG00000024243
callithrix_jacchus ENSCJAG00000015857
cebus_capucinus ENSCCAG00000034573
aotus_nancymaae ENSANAG00000036017
prolemur_simus ENSPSMG00000014227
heterocephalus_glaber ENSHGLG00100003891
heterocephalus_glaber ENSHGLG00000015757
fukomys_damarensis ENSFDAG00000020903
octodon_degus ENSODEG00000016957
chinchilla_lanigera ENSCLAG00000016060
cavia_porcellus ENSCPOG00000003137
urocitellus_parryii ENSUPAG00010013234
ictidomys_tridecemlineatus ENSSTOG00000014993
spermophilus_dauricus ENSSDAG00000007763
marmota_marmota ENSMMMG00000001180
castor_canadensis ENSCCNG00000025950
dipodomys_ordii ENSDORG00000005335
mus_spicilegus ENSMSIG00000018359
mus_spretus MGP_SPRETEiJ_G0021409
mus_musculus ENSMUSG00000022765
mus_caroli MGP_CAROLIEiJ_G0020514
mus_pahari MGP_PahariEiJ_G0016219
rattus_norvegicus ENSRNOG00000001867
meriones_unguiculatus ENSMUGG00000009155
cricetulus_griseus ENSCGRG00000010172
cricetulus_griseus ENSCGRG00015009007
cricetulus_griseus ENSCGRG00001018701
mesocricetus_auratus ENSMAUG00000017470
