takifugu_rubripes ENSTRUG00000006365
tetraodon_nigroviridis ENSTNIG00000011632
mola_mola ENSMMOG00000006073
labrus_bergylta ENSLBEG00000028547
kryptolebias_marmoratus ENSKMAG00000014191
xiphophorus_couchianus ENSXCOG00000020152
astatotilapia_calliptera ENSACLG00000002886
maylandia_zebra ENSMZEG00005023354
pundamilia_nyererei ENSPNYG00000015489
haplochromis_burtoni ENSHBUG00000018495
neolamprologus_brichardi ENSNBRG00000008158
oreochromis_niloticus ENSONIG00000015806
amphilophus_citrinellus ENSACIG00000017800
seriola_dumerili ENSSDUG00000020738
seriola_lalandi_dorsalis ENSSLDG00000006771
anabas_testudineus ENSATEG00000017467
gasterosteus_aculeatus ENSGACG00000020178
hippocampus_comes ENSHCOG00000008330
monopterus_albus ENSMALG00000005123
mastacembelus_armatus ENSMAMG00000021282
scophthalmus_maximus ENSSMAG00000006403
cynoglossus_semilaevis ENSCSEG00000017693
amphiprion_percula ENSAPEG00000012552
amphiprion_ocellaris ENSAOCG00000011371
acanthochromis_polyacanthus ENSAPOG00000002128
stegastes_partitus ENSSPAG00000011548
fundulus_heteroclitus ENSFHEG00000004555
cyprinodon_variegatus ENSCVAG00000011652
poecilia_formosa ENSPFOG00000018273
poecilia_mexicana ENSPMEG00000016115
poecilia_latipinna ENSPLAG00000015131
poecilia_reticulata ENSPREG00000010876
xiphophorus_maculatus ENSXMAG00000021112
gambusia_affinis ENSGAFG00000022006
periophthalmus_magnuspinnatus ENSPMGG00000005911
gadus_morhua ENSGMOG00000011273
esox_lucius ENSELUG00000017439
astyanax_mexicanus ENSAMXG00000001577
pygocentrus_nattereri ENSPNAG00000012385
ictalurus_punctatus ENSIPUG00000019241
danio_rerio ENSDARG00000011989
oryzias_latipes ENSORLG00000008681
oryzias_latipes_asm223469v1 ENSORLG00015001280
oryzias_latipes ENSORLG00020019858
oryzias_melastigma ENSOMEG00000018323
kryptolebias_marmoratus ENSKMAG00000020722
xiphophorus_maculatus ENSXMAG00000002599
xiphophorus_couchianus ENSXCOG00000002535
gambusia_affinis ENSGAFG00000013347
poecilia_formosa ENSPFOG00000002731
poecilia_mexicana ENSPMEG00000009652
poecilia_latipinna ENSPLAG00000006721
oryzias_latipes_asm223469v1 ENSORLG00015009740
oryzias_latipes ENSORLG00020004657
oryzias_latipes ENSORLG00000000324
oryzias_melastigma ENSOMEG00000015430
poecilia_reticulata ENSPREG00000008212
cyprinodon_variegatus ENSCVAG00000005976
mola_mola ENSMMOG00000007068
tetraodon_nigroviridis ENSTNIG00000014332
labrus_bergylta ENSLBEG00000011493
seriola_lalandi_dorsalis ENSSLDG00000004829
seriola_lalandi_dorsalis ENSSLDG00000000314
seriola_dumerili ENSSDUG00000010603
scophthalmus_maximus ENSSMAG00000000220
mastacembelus_armatus ENSMAMG00000012703
monopterus_albus ENSMALG00000020288
anabas_testudineus ENSATEG00000021878
amphiprion_ocellaris ENSAOCG00000007046
amphiprion_percula ENSAPEG00000024544
acanthochromis_polyacanthus ENSAPOG00000006479
maylandia_zebra ENSMZEG00005005059
haplochromis_burtoni ENSHBUG00000023669
astatotilapia_calliptera ENSACLG00000011785
pundamilia_nyererei ENSPNYG00000001432
neolamprologus_brichardi ENSNBRG00000002020
oreochromis_niloticus ENSONIG00000016630
amphilophus_citrinellus ENSACIG00000002252
hippocampus_comes ENSHCOG00000017163
periophthalmus_magnuspinnatus ENSPMGG00000021496
gadus_morhua ENSGMOG00000014372
esox_lucius ENSELUG00000019655
pygocentrus_nattereri ENSPNAG00000014472
astyanax_mexicanus ENSAMXG00000020955
scleropages_formosus ENSSFOG00015007028
paramormyrops_kingsleyae ENSPKIG00000000094
pan_paniscus ENSPPAG00000037685
rhinopithecus_bieti ENSRBIG00000039568
cricetulus_griseus_crigri-picr ENSCGRG00015020929
