poecilia_mexicana ENSPMEG00000019480
paramormyrops_kingsleyae ENSPKIG00000023906
astatotilapia_calliptera ENSACLG00000002535
poecilia_reticulata ENSPREG00000000373
gambusia_affinis ENSGAFG00000015200
oryzias_melastigma ENSOMEG00000004493
amphiprion_ocellaris ENSAOCG00000010101
amphiprion_ocellaris ENSAOCG00000019881
amphiprion_ocellaris ENSAOCG00000014193
danio_rerio ENSDARG00000091385
scleropages_formosus ENSSFOG00015019710
scleropages_formosus ENSSFOG00015003913
xenopus_tropicalis ENSXETG00000033167
latimeria_chalumnae ENSLACG00000006912
astyanax_mexicanus ENSAMXG00000042240
astyanax_mexicanus ENSAMXG00000041634
paramormyrops_kingsleyae ENSPKIG00000012194
paramormyrops_kingsleyae ENSPKIG00000019851
paramormyrops_kingsleyae ENSPKIG00000025528
chrysemys_picta ENSCPBG00000016031
chrysemys_picta ENSCPBG00000022271
gopherus_agassizii ENSGAGG00000014436
pelodiscus_sinensis ENSPSIG00000000217
pelodiscus_sinensis ENSPSIG00000000830
latimeria_chalumnae ENSLACG00000004184
latimeria_chalumnae ENSLACG00000006189
latimeria_chalumnae ENSLACG00000009092
xenopus_tropicalis ENSXETG00000031646
latimeria_chalumnae ENSLACG00000007260
latimeria_chalumnae ENSLACG00000001843
maylandia_zebra ENSMZEG00005018320
astatotilapia_calliptera ENSACLG00000008163
maylandia_zebra ENSMZEG00005010279
maylandia_zebra ENSMZEG00005018788
astatotilapia_calliptera ENSACLG00000009827
maylandia_zebra ENSMZEG00005006865
maylandia_zebra ENSMZEG00005026772
astatotilapia_calliptera ENSACLG00000023319
maylandia_zebra ENSMZEG00005013969
maylandia_zebra ENSMZEG00005027774
astatotilapia_calliptera ENSACLG00000006316
haplochromis_burtoni ENSHBUG00000003450
pundamilia_nyererei ENSPNYG00000005695
pundamilia_nyererei ENSPNYG00000022939
maylandia_zebra ENSMZEG00005017581
astatotilapia_calliptera ENSACLG00000017439
xiphophorus_couchianus ENSXCOG00000006667
gambusia_affinis ENSGAFG00000018658
acanthochromis_polyacanthus ENSAPOG00000003270
paramormyrops_kingsleyae ENSPKIG00000007315
