cavia_aperea ENSCAPG00000002355
urocitellus_parryii ENSUPAG00010008725
cebus_capucinus ENSCCAG00000031252
carlito_syrichta ENSTSYG00000032921
otolemur_garnettii ENSOGAG00000004457
tupaia_belangeri ENSTBEG00000010220
vulpes_vulpes ENSVVUG00000017126
vulpes_vulpes ENSVVUG00000003708
equus_caballus ENSECAG00000017553
ovis_aries ENSOARG00000003132
phascolarctos_cinereus ENSPCIG00000005866
notamacropus_eugenii ENSMEUG00000007833
ornithorhynchus_anatinus ENSOANG00000030311
octodon_degus ENSODEG00000017365
carlito_syrichta ENSTSYG00000032588
equus_asinus_asinus ENSEASG00005008254
cavia_porcellus ENSCPOG00000013687
cavia_porcellus ENSCPOG00000034399
oryctolagus_cuniculus ENSOCUG00000015500
ochotona_princeps ENSOPRG00000013796
sorex_araneus ENSSARG00000012133
sus_scrofa ENSSSCG00000034209
chinchilla_lanigera ENSCLAG00000003230
chinchilla_lanigera ENSCLAG00000007700
callithrix_jacchus ENSCJAG00000046095
canis_lupus_dingo ENSCAFG00020001420
ovis_aries ENSOARG00000017810
heterocephalus_glaber_female ENSHGLG00000005291
heterocephalus_glaber_male ENSHGLG00100018899
fukomys_damarensis ENSFDAG00000005819
chinchilla_lanigera ENSCLAG00000002255
octodon_degus ENSODEG00000019855
octodon_degus ENSODEG00000000241
octodon_degus ENSODEG00000010316
saimiri_boliviensis_boliviensis ENSSBOG00000016731
callithrix_jacchus ENSCJAG00000006122
aotus_nancymaae ENSANAG00000023789
pan_paniscus ENSPPAG00000034127
pan_troglodytes ENSPTRG00000023481
gorilla_gorilla ENSGGOG00000004597
homo_sapiens ENSG00000168385
pongo_abelii ENSPPYG00000013353
nomascus_leucogenys ENSNLEG00000013873
macaca_mulatta ENSMMUG00000004736
macaca_nemestrina ENSMNEG00000004313
macaca_fascicularis ENSMFAG00000039700
theropithecus_gelada ENSTGEG00000027178
papio_anubis ENSPANG00000007917
cercocebus_atys ENSCATG00000033533
chlorocebus_sabaeus ENSCSAG00000005773
mandrillus_leucophaeus ENSMLEG00000043469
rhinopithecus_bieti ENSRBIG00000032420
rhinopithecus_roxellana ENSRROG00000031700
piliocolobus_tephrosceles ENSPTEG00000036562
colobus_angolensis_palliatus ENSCANG00000034470
carlito_syrichta ENSTSYG00000003579
microcebus_murinus ENSMICG00000000909
mesocricetus_auratus ENSMAUG00000011950
jaculus_jaculus ENSJJAG00000019868
heterocephalus_glaber_female ENSHGLG00000014923
heterocephalus_glaber_male ENSHGLG00100001715
octodon_degus ENSODEG00000018677
microtus_ochrogaster ENSMOCG00000014906
peromyscus_maniculatus_bairdii ENSPEMG00000022937
cricetulus_griseus_chok1gshd ENSCGRG00001009996
cricetulus_griseus_crigri ENSCGRG00000014494
meriones_unguiculatus ENSMUGG00000011600
nannospalax_galili ENSNGAG00000022412
castor_canadensis ENSCCNG00000010408
dipodomys_ordii ENSDORG00000000106
jaculus_jaculus ENSJJAG00000018305
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015261
mus_spicilegus ENSMSIG00000016766
mus_musculus ENSMUSG00000026276
mus_musculus ENSMUSG00000116048
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014457
mus_pahari MGP_PahariEiJ_G0027693
rattus_norvegicus ENSRNOG00000017952
ictidomys_tridecemlineatus ENSSTOG00000013357
marmota_marmota_marmota ENSMMMG00000007576
spermophilus_dauricus ENSSDAG00000023304
