urocitellus_parryii ENSUPAG00010002102
ictidomys_tridecemlineatus ENSSTOG00000019650
spermophilus_dauricus ENSSDAG00000022357
marmota_marmota ENSMMMG00000000858
dipodomys_ordii ENSDORG00000000196
heterocephalus_glaber ENSHGLG00000015138
heterocephalus_glaber ENSHGLG00100017607
fukomys_damarensis ENSFDAG00000018233
cavia_porcellus ENSCPOG00000003095
cavia_aperea ENSCAPG00000009513
chinchilla_lanigera ENSCLAG00000000908
octodon_degus ENSODEG00000011353
jaculus_jaculus ENSJJAG00000016904
ochotona_princeps ENSOPRG00000005595
castor_canadensis ENSCCNG00000016508
prolemur_simus ENSPSMG00000012473
microcebus_murinus ENSMICG00000016812
propithecus_coquereli ENSPCOG00000014159
otolemur_garnettii ENSOGAG00000006323
carlito_syrichta ENSTSYG00000037561
oryctolagus_cuniculus ENSOCUG00000011746
homo_sapiens ENSG00000123358
gorilla_gorilla ENSGGOG00000006418
pan_paniscus ENSPPAG00000035428
pan_troglodytes ENSPTRG00000004966
pongo_abelii ENSPPYG00000004537
nomascus_leucogenys ENSNLEG00000017763
cercocebus_atys ENSCATG00000041094
papio_anubis ENSPANG00000005853
macaca_fascicularis ENSMFAG00000045297
macaca_nemestrina ENSMNEG00000030022
macaca_mulatta ENSMMUG00000022922
mandrillus_leucophaeus ENSMLEG00000030807
theropithecus_gelada ENSTGEG00000005688
chlorocebus_sabaeus ENSCSAG00000005822
piliocolobus_tephrosceles ENSPTEG00000038566
colobus_angolensis ENSCANG00000029740
rhinopithecus_roxellana ENSRROG00000028655
rhinopithecus_bieti ENSRBIG00000036422
cebus_capucinus ENSCCAG00000036507
saimiri_boliviensis ENSSBOG00000023718
callithrix_jacchus ENSCJAG00000017915
aotus_nancymaae ENSANAG00000030507
mus_musculus ENSMUSG00000023034
mus_spretus MGP_SPRETEiJ_G0021200
mus_spicilegus ENSMSIG00000017961
mus_caroli MGP_CAROLIEiJ_G0020307
mus_pahari MGP_PahariEiJ_G0020308
rattus_norvegicus ENSRNOG00000007607
meriones_unguiculatus ENSMUGG00000005422
cricetulus_griseus ENSCGRG00001010137
cricetulus_griseus ENSCGRG00000016594
cricetulus_griseus ENSCGRG00015028602
mesocricetus_auratus ENSMAUG00000013627
microtus_ochrogaster ENSMOCG00000001375
peromyscus_maniculatus ENSPEMG00000003687
nannospalax_galili ENSNGAG00000010882
tupaia_belangeri ENSTBEG00000002929
sorex_araneus ENSSARG00000010811
erinaceus_europaeus ENSEEUG00000003127
canis_lupus ENSCAFG00000007338
