panthera_pardus ENSPPRG00000021706
panthera_tigris ENSPTIG00000010465
bos_indicus ENSBIXG00000019978
bos_indicus ENSBIXG00005017348
bos_mutus ENSBMUG00000008967
bison_bison ENSBBBG00000000972
equus_caballus ENSECAG00000041596
prolemur_simus ENSPSMG00000014507
oryctolagus_cuniculus ENSOCUG00000034355
mus_musculus ENSMUSG00000098332
dasypus_novemcinctus ENSDNOG00000032590
pan_paniscus ENSPPAG00000023425
pan_troglodytes ENSPTRG00000044984
homo_sapiens ENSG00000225973
piliocolobus_tephrosceles ENSPTEG00000025932
callithrix_jacchus ENSCJAG00000040034
vombatus_ursinus ENSVURG00010005259
phascolarctos_cinereus ENSPCIG00000031962
