panthera_pardus ENSPPRG00000004773
panthera_tigris_altaica ENSPTIG00000014456
felis_catus ENSFCAG00000044658
mustela_putorius_furo ENSMPUG00000002967
pan_paniscus ENSPPAG00000038879
pan_troglodytes ENSPTRG00000052629
gorilla_gorilla ENSGGOG00000041697
homo_sapiens ENSG00000227124
pongo_abelii ENSPPYG00000014467
pongo_abelii ENSPPYG00000013632
rhinopithecus_bieti ENSRBIG00000009933
rhinopithecus_roxellana ENSRROG00000043171
colobus_angolensis_palliatus ENSCANG00000021205
mandrillus_leucophaeus ENSMLEG00000044211
callithrix_jacchus ENSCJAG00000048243
propithecus_coquereli ENSPCOG00000024238
tupaia_belangeri ENSTBEG00000004211
prolemur_simus ENSPSMG00000019455
otolemur_garnettii ENSOGAG00000029955
tupaia_belangeri ENSTBEG00000012938
tupaia_belangeri ENSTBEG00000003426
tupaia_belangeri ENSTBEG00000014712
tupaia_belangeri ENSTBEG00000010951
prolemur_simus ENSPSMG00000010922
prolemur_simus ENSPSMG00000011574
nannospalax_galili ENSNGAG00000012548
castor_canadensis ENSCCNG00000013570
