ictalurus_punctatus ENSIPUG00000002738
pygocentrus_nattereri ENSPNAG00000025542
amphiprion_ocellaris ENSAOCG00000005486
stegastes_partitus ENSSPAG00000001521
oryzias_latipes_asm223469v1 ENSORLG00015002306
oryzias_latipes ENSORLG00000029406
oryzias_latipes ENSORLG00020017408
oryzias_melastigma ENSOMEG00000019369
seriola_dumerili ENSSDUG00000013634
scophthalmus_maximus ENSSMAG00000000558
acanthochromis_polyacanthus ENSAPOG00000009881
cynoglossus_semilaevis ENSCSEG00000007541
labrus_bergylta ENSLBEG00000006074
kryptolebias_marmoratus ENSKMAG00000017288
tetraodon_nigroviridis ENSTNIG00000000958
mola_mola ENSMMOG00000000696
xiphophorus_maculatus ENSXMAG00000025615
cyprinodon_variegatus ENSCVAG00000005745
seriola_lalandi_dorsalis ENSSLDG00000014398
anabas_testudineus ENSATEG00000008460
neolamprologus_brichardi ENSNBRG00000018169
amphilophus_citrinellus ENSACIG00000018208
poecilia_reticulata ENSPREG00000003044
poecilia_mexicana ENSPMEG00000000839
poecilia_latipinna ENSPLAG00000004825
gambusia_affinis ENSGAFG00000004468
xiphophorus_couchianus ENSXCOG00000001108
monopterus_albus ENSMALG00000001568
mastacembelus_armatus ENSMAMG00000015409
periophthalmus_magnuspinnatus ENSPMGG00000004781
hippocampus_comes ENSHCOG00000012764
esox_lucius ENSELUG00000021782
paramormyrops_kingsleyae ENSPKIG00000014172
