bos_mutus ENSBMUG00000016020
bos_taurus ENSBTAG00000011921
bison_bison_bison ENSBBBG00000008552
ovis_aries ENSOARG00000019616
capra_hircus ENSCHIG00000020244
tursiops_truncatus ENSTTRG00000000184
sus_scrofa ENSSSCG00000029267
ursus_americanus ENSUAMG00000005017
ursus_maritimus ENSUMAG00000025339
ailuropoda_melanoleuca ENSAMEG00000005401
neovison_vison ENSNVIG00000013757
mustela_putorius_furo ENSMPUG00000000274
canis_lupus_familiaris ENSCAFG00000010817
canis_lupus_dingo ENSCAFG00020006892
vulpes_vulpes ENSVVUG00000022175
panthera_pardus ENSPPRG00000023177
panthera_tigris_altaica ENSPTIG00000013912
felis_catus ENSFCAG00000010722
pteropus_vampyrus ENSPVAG00000008523
myotis_lucifugus ENSMLUG00000014233
erinaceus_europaeus ENSEEUG00000004207
sorex_araneus ENSSARG00000013401
equus_asinus_asinus ENSEASG00005012437
equus_caballus ENSECAG00000016139
gorilla_gorilla ENSGGOG00000007557
homo_sapiens ENSG00000181847
pan_troglodytes ENSPTRG00000015243
pan_paniscus ENSPPAG00000043513
pongo_abelii ENSPPYG00000013527
nomascus_leucogenys ENSNLEG00000030208
rhinopithecus_roxellana ENSRROG00000032364
rhinopithecus_bieti ENSRBIG00000028507
piliocolobus_tephrosceles ENSPTEG00000022222
colobus_angolensis_palliatus ENSCANG00000040790
papio_anubis ENSPANG00000005385
theropithecus_gelada ENSTGEG00000003863
mandrillus_leucophaeus ENSMLEG00000029251
cercocebus_atys ENSCATG00000040983
macaca_nemestrina ENSMNEG00000036568
macaca_fascicularis ENSMFAG00000031530
chlorocebus_sabaeus ENSCSAG00000006936
cebus_capucinus ENSCCAG00000029822
saimiri_boliviensis_boliviensis ENSSBOG00000023563
callithrix_jacchus ENSCJAG00000009240
aotus_nancymaae ENSANAG00000014900
carlito_syrichta ENSTSYG00000005308
propithecus_coquereli ENSPCOG00000026075
microcebus_murinus ENSMICG00000048887
prolemur_simus ENSPSMG00000018289
otolemur_garnettii ENSOGAG00000005935
heterocephalus_glaber_female ENSHGLG00000014219
heterocephalus_glaber_male ENSHGLG00100003802
fukomys_damarensis ENSFDAG00000016163
chinchilla_lanigera ENSCLAG00000011074
octodon_degus ENSODEG00000004692
cavia_porcellus ENSCPOG00000025260
cavia_aperea ENSCAPG00000015946
ictidomys_tridecemlineatus ENSSTOG00000027403
urocitellus_parryii ENSUPAG00010019839
spermophilus_dauricus ENSSDAG00000011961
marmota_marmota_marmota ENSMMMG00000010655
castor_canadensis ENSCCNG00000026184
dipodomys_ordii ENSDORG00000025593
mus_spicilegus ENSMSIG00000004912
mus_musculus ENSMUSG00000071552
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021655
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020756
mus_pahari MGP_PahariEiJ_G0016456
rattus_norvegicus ENSRNOG00000056574
meriones_unguiculatus ENSMUGG00000018408
meriones_unguiculatus ENSMUGG00000018509
cricetulus_griseus_chok1gshd ENSCGRG00001018397
cricetulus_griseus_crigri ENSCGRG00000005897
cricetulus_griseus_crigri-picr ENSCGRG00015015886
mesocricetus_auratus ENSMAUG00000009164
microtus_ochrogaster ENSMOCG00000016499
peromyscus_maniculatus_bairdii ENSPEMG00000030411
nannospalax_galili ENSNGAG00000018308
jaculus_jaculus ENSJJAG00000017948
oryctolagus_cuniculus ENSOCUG00000004229
ochotona_princeps ENSOPRG00000006651
tupaia_belangeri ENSTBEG00000016540
dasypus_novemcinctus ENSDNOG00000042420
loxodonta_africana ENSLAFG00000013891
procavia_capensis ENSPCAG00000010988
phascolarctos_cinereus ENSPCIG00000019861
notamacropus_eugenii ENSMEUG00000013404
monodelphis_domestica ENSMODG00000025557
gopherus_agassizii ENSGAGG00000008321
chrysemys_picta_bellii ENSCPBG00000003111
crocodylus_porosus ENSCPRG00005003855
