vicugna_pacos ENSVPAG00000009623
bos_taurus ENSBTAG00000048566
felis_catus ENSFCAG00000042574
panthera_pardus ENSPPRG00000013414
felis_catus ENSFCAG00000022591
vulpes_vulpes ENSVVUG00000008811
canis_lupus_dingo ENSCAFG00020025932
equus_caballus ENSECAG00000033251
equus_asinus_asinus ENSEASG00005005802
bos_mutus ENSBMUG00000014703
bos_taurus ENSBTAG00000053899
bison_bison_bison ENSBBBG00000023023
ovis_aries ENSOARG00000000334
tursiops_truncatus ENSTTRG00000015479
sus_scrofa ENSSSCG00000008063
equus_caballus ENSECAG00000013211
equus_asinus_asinus ENSEASG00005006011
pteropus_vampyrus ENSPVAG00000010781
myotis_lucifugus ENSMLUG00000016396
pan_troglodytes ENSPTRG00000047880
homo_sapiens ENSG00000215148
gorilla_gorilla ENSGGOG00000040676
pan_paniscus ENSPPAG00000027331
pongo_abelii ENSPPYG00000007015
nomascus_leucogenys ENSNLEG00000032911
rhinopithecus_bieti ENSRBIG00000030478
rhinopithecus_roxellana ENSRROG00000041995
colobus_angolensis_palliatus ENSCANG00000004771
papio_anubis ENSPANG00000016595
theropithecus_gelada ENSTGEG00000026098
cercocebus_atys ENSCATG00000030009
macaca_fascicularis ENSMFAG00000041310
macaca_nemestrina ENSMNEG00000042222
piliocolobus_tephrosceles ENSPTEG00000031377
mandrillus_leucophaeus ENSMLEG00000035904
cebus_capucinus ENSCCAG00000022189
saimiri_boliviensis_boliviensis ENSSBOG00000015646
callithrix_jacchus ENSCJAG00000015323
aotus_nancymaae ENSANAG00000021499
carlito_syrichta ENSTSYG00000031901
microcebus_murinus ENSMICG00000043711
microcebus_murinus ENSMICG00000046189
prolemur_simus ENSPSMG00000007537
otolemur_garnettii ENSOGAG00000016723
fukomys_damarensis ENSFDAG00000016919
cavia_porcellus ENSCPOG00000002425
