latimeria_chalumnae ENSLACG00000008926
xenopus_tropicalis ENSXETG00000000198
pogona_vitticeps ENSPVIG00000002657
anolis_carolinensis ENSACAG00000001080
notechis_scutatus ENSNSUG00000012961
salvator_merianae ENSSMRG00000018567
sphenodon_punctatus ENSSPUG00000003036
apteryx_haastii ENSAHAG00000004392
apteryx_owenii ENSAOWG00000001947
apteryx_rowi ENSARWG00000003937
dromaius_novaehollandiae ENSDNVG00000013139
nothoprocta_perdicaria ENSNPEG00000009219
gallus_gallus ENSGALG00000009896
coturnix_japonica ENSCJPG00005007560
meleagris_gallopavo ENSMGAG00000013894
numida_meleagris ENSNMEG00000014916
anser_brachyrhynchus ENSABRG00000014735
anas_platyrhynchos_platyrhynchos ENSAPLG00000014876
lepidothrix_coronata ENSLCOG00000009798
manacus_vitellinus ENSMVIG00005005415
lonchura_striata_domestica ENSLSDG00000016766
taeniopygia_guttata ENSTGUG00000003250
parus_major ENSPMJG00000013639
cyanistes_caeruleus ENSCCEG00000013507
serinus_canaria ENSSCAG00000006105
junco_hyemalis ENSJHYG00000009827
zonotrichia_albicollis ENSZALG00000002527
ficedula_albicollis ENSFALG00000012590
melopsittacus_undulatus ENSMUNG00000010564
calidris_pygmaea ENSCPGG00000019064
calidris_pugnax ENSCPUG00000000971
crocodylus_porosus ENSCPRG00005015638
gopherus_agassizii ENSGAGG00000024348
chelonoidis_abingdonii ENSCABG00000016493
chrysemys_picta_bellii ENSCPBG00000015530
pelodiscus_sinensis ENSPSIG00000009755
phascolarctos_cinereus ENSPCIG00000024532
notamacropus_eugenii ENSMEUG00000016251
sarcophilus_harrisii ENSSHAG00000004599
monodelphis_domestica ENSMODG00000019042
nomascus_leucogenys ENSNLEG00000004772
pongo_abelii ENSPPYG00000016614
pan_troglodytes ENSPTRG00000018170
pan_paniscus ENSPPAG00000032564
gorilla_gorilla ENSGGOG00000012813
homo_sapiens ENSG00000124496
macaca_mulatta ENSMMUG00000005575
macaca_fascicularis ENSMFAG00000045736
macaca_nemestrina ENSMNEG00000042787
theropithecus_gelada ENSTGEG00000029616
papio_anubis ENSPANG00000009451
mandrillus_leucophaeus ENSMLEG00000029158
cercocebus_atys ENSCATG00000036003
chlorocebus_sabaeus ENSCSAG00000011422
colobus_angolensis_palliatus ENSCANG00000004917
piliocolobus_tephrosceles ENSPTEG00000020491
rhinopithecus_bieti ENSRBIG00000030162
rhinopithecus_roxellana ENSRROG00000045116
saimiri_boliviensis_boliviensis ENSSBOG00000030453
cebus_capucinus ENSCCAG00000037441
callithrix_jacchus ENSCJAG00000004347
aotus_nancymaae ENSANAG00000024278
carlito_syrichta ENSTSYG00000003874
microcebus_murinus ENSMICG00000011387
propithecus_coquereli ENSPCOG00000014905
prolemur_simus ENSPSMG00000015749
otolemur_garnettii ENSOGAG00000025610
oryctolagus_cuniculus ENSOCUG00000016703
ochotona_princeps ENSOPRG00000001486
tupaia_belangeri ENSTBEG00000012133
heterocephalus_glaber_female ENSHGLG00000017444
heterocephalus_glaber_male ENSHGLG00100015101
fukomys_damarensis ENSFDAG00000006588
chinchilla_lanigera ENSCLAG00000011059
octodon_degus ENSODEG00000016793
cavia_porcellus ENSCPOG00000015717
cavia_aperea ENSCAPG00000010781
dipodomys_ordii ENSDORG00000004758
mus_spicilegus ENSMSIG00000031638
rattus_norvegicus ENSRNOG00000022598
meriones_unguiculatus ENSMUGG00000018826
peromyscus_maniculatus_bairdii ENSPEMG00000015708
microtus_ochrogaster ENSMOCG00000006782
cricetulus_griseus_crigri-picr ENSCGRG00015017210
cricetulus_griseus_chok1gshd ENSCGRG00001001250
cricetulus_griseus_crigri ENSCGRG00000004805
mesocricetus_auratus ENSMAUG00000016098
nannospalax_galili ENSNGAG00000008949
castor_canadensis ENSCCNG00000017034
ictidomys_tridecemlineatus ENSSTOG00000022996
urocitellus_parryii ENSUPAG00010017612
marmota_marmota_marmota ENSMMMG00000024512
jaculus_jaculus ENSJJAG00000017829
sorex_araneus ENSSARG00000010589
echinops_telfairi ENSETEG00000006469
ursus_maritimus ENSUMAG00000011953
ursus_americanus ENSUAMG00000000503
mustela_putorius_furo ENSMPUG00000013360
neovison_vison ENSNVIG00000012462
canis_lupus_dingo ENSCAFG00020008499
canis_lupus_familiaris ENSCAFG00000001642
vulpes_vulpes ENSVVUG00000026706
felis_catus ENSFCAG00000011210
panthera_tigris_altaica ENSPTIG00000014632
panthera_pardus ENSPPRG00000006118
equus_caballus ENSECAG00000016971
