bos_taurus ENSBTAG00000017055
bos_mutus ENSBMUG00000013008
bison_bison_bison ENSBBBG00000000841
capra_hircus ENSCHIG00000017666
ovis_aries ENSOARG00000004200
tursiops_truncatus ENSTTRG00000009465
sus_scrofa ENSSSCG00000006518
equus_caballus ENSECAG00000019972
equus_asinus_asinus ENSEASG00005019261
myotis_lucifugus ENSMLUG00000013418
pteropus_vampyrus ENSPVAG00000005802
ursus_americanus ENSUAMG00000020520
ursus_maritimus ENSUMAG00000019475
ailuropoda_melanoleuca ENSAMEG00000000063
mustela_putorius_furo ENSMPUG00000005526
neovison_vison ENSNVIG00000019481
canis_lupus_familiaris ENSCAFG00000016963
canis_lupus_dingo ENSCAFG00020007064
vulpes_vulpes ENSVVUG00000003915
panthera_pardus ENSPPRG00000021359
panthera_tigris_altaica ENSPTIG00000009244
felis_catus ENSFCAG00000029067
pan_paniscus ENSPPAG00000027397
pan_troglodytes ENSPTRG00000001420
homo_sapiens ENSG00000143630
gorilla_gorilla ENSGGOG00000016122
pongo_abelii ENSPPYG00000010642
nomascus_leucogenys ENSNLEG00000012072
piliocolobus_tephrosceles ENSPTEG00000031494
colobus_angolensis_palliatus ENSCANG00000039099
rhinopithecus_bieti ENSRBIG00000043082
rhinopithecus_roxellana ENSRROG00000041125
macaca_fascicularis ENSMFAG00000036135
macaca_nemestrina ENSMNEG00000042405
cercocebus_atys ENSCATG00000034245
papio_anubis ENSPANG00000024684
mandrillus_leucophaeus ENSMLEG00000043061
theropithecus_gelada ENSTGEG00000023830
chlorocebus_sabaeus ENSCSAG00000002020
cebus_capucinus ENSCCAG00000036587
saimiri_boliviensis_boliviensis ENSSBOG00000021128
callithrix_jacchus ENSCJAG00000008422
aotus_nancymaae ENSANAG00000038434
carlito_syrichta ENSTSYG00000014677
microcebus_murinus ENSMICG00000030454
propithecus_coquereli ENSPCOG00000021822
prolemur_simus ENSPSMG00000023738
otolemur_garnettii ENSOGAG00000009594
heterocephalus_glaber_female ENSHGLG00000016344
heterocephalus_glaber_male ENSHGLG00100008147
fukomys_damarensis ENSFDAG00000013597
chinchilla_lanigera ENSCLAG00000005021
octodon_degus ENSODEG00000009743
cavia_porcellus ENSCPOG00000027026
cavia_aperea ENSCAPG00000015867
ictidomys_tridecemlineatus ENSSTOG00000008989
urocitellus_parryii ENSUPAG00010002732
marmota_marmota_marmota ENSMMMG00000014457
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026131
mus_musculus ENSMUSG00000028051
mus_spicilegus ENSMSIG00000025761
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025188
mus_pahari MGP_PahariEiJ_G0026632
rattus_norvegicus ENSRNOG00000020444
meriones_unguiculatus ENSMUGG00000002738
cricetulus_griseus_chok1gshd ENSCGRG00001011318
cricetulus_griseus_crigri-picr ENSCGRG00015001956
cricetulus_griseus_crigri ENSCGRG00000003479
mesocricetus_auratus ENSMAUG00000017469
microtus_ochrogaster ENSMOCG00000000707
peromyscus_maniculatus_bairdii ENSPEMG00000009033
nannospalax_galili ENSNGAG00000021908
jaculus_jaculus ENSJJAG00000017693
dipodomys_ordii ENSDORG00000011629
dipodomys_ordii ENSDORG00000023887
castor_canadensis ENSCCNG00000019227
oryctolagus_cuniculus ENSOCUG00000014965
ochotona_princeps ENSOPRG00000000169
erinaceus_europaeus ENSEEUG00000001619
sorex_araneus ENSSARG00000001068
phascolarctos_cinereus ENSPCIG00000021700
sarcophilus_harrisii ENSSHAG00000008495
monodelphis_domestica ENSMODG00000017060
loxodonta_africana ENSLAFG00000003265
procavia_capensis ENSPCAG00000014336
echinops_telfairi ENSETEG00000001145
dasypus_novemcinctus ENSDNOG00000038957
vicugna_pacos ENSVPAG00000005298
anolis_carolinensis ENSACAG00000028197
