cyprinodon_variegatus ENSCVAG00000022877
fundulus_heteroclitus ENSFHEG00000007312
xiphophorus_maculatus ENSXMAG00000021928
xiphophorus_couchianus ENSXCOG00000015416
gambusia_affinis ENSGAFG00000012825
poecilia_mexicana ENSPMEG00000009639
poecilia_latipinna ENSPLAG00000008674
poecilia_reticulata ENSPREG00000002407
kryptolebias_marmoratus ENSKMAG00000011880
amphiprion_percula ENSAPEG00000020540
amphiprion_ocellaris ENSAOCG00000019537
acanthochromis_polyacanthus ENSAPOG00000000201
stegastes_partitus ENSSPAG00000014803
mastacembelus_armatus ENSMAMG00000017297
monopterus_albus ENSMALG00000004130
anabas_testudineus ENSATEG00000014095
labrus_bergylta ENSLBEG00000028143
periophthalmus_magnuspinnatus ENSPMGG00000004547
seriola_dumerili ENSSDUG00000023808
seriola_lalandi_dorsalis ENSSLDG00000005194
scophthalmus_maximus ENSSMAG00000008544
cynoglossus_semilaevis ENSCSEG00000001116
oryzias_melastigma ENSOMEG00000010118
mola_mola ENSMMOG00000004344
takifugu_rubripes ENSTRUG00000024774
esox_lucius ENSELUG00000001275
pygocentrus_nattereri ENSPNAG00000003510
astyanax_mexicanus ENSAMXG00000014677
ictalurus_punctatus ENSIPUG00000005509
danio_rerio ENSDARG00000094542
paramormyrops_kingsleyae ENSPKIG00000017253
lepisosteus_oculatus ENSLOCG00000006577
