anser_brachyrhynchus ENSABRG00000000768
anas_platyrhynchos_platyrhynchos ENSAPLG00000016757
gallus_gallus ENSGALG00000051361
melopsittacus_undulatus ENSMUNG00000000134
nothoprocta_perdicaria ENSNPEG00000004368
bos_mutus ENSBMUG00000021795
bos_taurus ENSBTAG00000048815
bison_bison_bison ENSBBBG00000003963
poecilia_mexicana ENSPMEG00000010404
poecilia_latipinna ENSPLAG00000009392
gambusia_affinis ENSGAFG00000009068
fundulus_heteroclitus ENSFHEG00000021397
kryptolebias_marmoratus ENSKMAG00000000394
