nothoprocta_perdicaria ENSNPEG00000015137
dromaius_novaehollandiae ENSDNVG00000008774
parus_major ENSPMJG00000000555
lonchura_striata_domestica ENSLSDG00000012763
coturnix_japonica ENSCJPG00005010271
numida_meleagris ENSNMEG00000021525
apteryx_haastii ENSAHAG00000013632
apteryx_owenii ENSAOWG00000008687
apteryx_rowi ENSARWG00000017967
anas_platyrhynchos_platyrhynchos ENSAPLG00000020726
calidris_pugnax ENSCPUG00000011845
manacus_vitellinus ENSMVIG00005011704
lepidothrix_coronata ENSLCOG00000015951
zonotrichia_albicollis ENSZALG00000002017
salvator_merianae ENSSMRG00000018303
pan_paniscus ENSPPAG00000009942
pan_troglodytes ENSPTRG00000048491
gorilla_gorilla ENSGGOG00000028320
nomascus_leucogenys ENSNLEG00000036336
theropithecus_gelada ENSTGEG00000002819
piliocolobus_tephrosceles ENSPTEG00000038350
saimiri_boliviensis_boliviensis ENSSBOG00000034864
carlito_syrichta ENSTSYG00000033425
prolemur_simus ENSPSMG00000012764
sus_scrofa ENSSSCG00000040058
