mesocricetus_auratus ENSMAUG00000015392
caenorhabditis_elegans_strain_n2 WBGene00020716
choloepus_hoffmanni ENSCHOG00000011569
dasypus_novemcinctus ENSDNOG00000041045
loxodonta_africana ENSLAFG00000010076
procavia_capensis ENSPCAG00000005217
echinops_telfairi ENSETEG00000017386
mus_musculus ENSMUSG00000028016
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025648
mus_spicilegus ENSMSIG00000031838
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026601
mus_pahari MGP_PahariEiJ_G0027097
rattus_norvegicus ENSRNOG00000011844
meriones_unguiculatus ENSMUGG00000023803
cricetulus_griseus_crigri-picr ENSCGRG00015006948
cricetulus_griseus_chok1gshd ENSCGRG00001017648
cricetulus_griseus_crigri ENSCGRG00000001535
microtus_ochrogaster ENSMOCG00000014627
peromyscus_maniculatus_bairdii ENSPEMG00000005181
nannospalax_galili ENSNGAG00000015890
jaculus_jaculus ENSJJAG00000021049
jaculus_jaculus ENSJJAG00000015299
marmota_marmota_marmota ENSMMMG00000009146
ictidomys_tridecemlineatus ENSSTOG00000027836
urocitellus_parryii ENSUPAG00010023893
spermophilus_dauricus ENSSDAG00000017192
dipodomys_ordii ENSDORG00000023765
heterocephalus_glaber_female ENSHGLG00000002096
heterocephalus_glaber_male ENSHGLG00100001810
fukomys_damarensis ENSFDAG00000010244
chinchilla_lanigera ENSCLAG00000003066
octodon_degus ENSODEG00000010716
cavia_aperea ENSCAPG00000011788
cavia_porcellus ENSCPOG00000009129
tupaia_belangeri ENSTBEG00000009559
erinaceus_europaeus ENSEEUG00000006094
propithecus_coquereli ENSPCOG00000018476
prolemur_simus ENSPSMG00000008195
microcebus_murinus ENSMICG00000010760
equus_caballus ENSECAG00000010911
equus_asinus_asinus ENSEASG00005004498
pan_paniscus ENSPPAG00000040304
pan_troglodytes ENSPTRG00000016340
homo_sapiens ENSG00000138785
gorilla_gorilla ENSGGOG00000013501
pongo_abelii ENSPPYG00000014977
nomascus_leucogenys ENSNLEG00000013144
colobus_angolensis_palliatus ENSCANG00000000001
piliocolobus_tephrosceles ENSPTEG00000034992
rhinopithecus_bieti ENSRBIG00000035801
rhinopithecus_roxellana ENSRROG00000035377
macaca_fascicularis ENSMFAG00000042815
macaca_mulatta ENSMMUG00000011722
macaca_nemestrina ENSMNEG00000043289
theropithecus_gelada ENSTGEG00000027332
papio_anubis ENSPANG00000005635
mandrillus_leucophaeus ENSMLEG00000039747
cercocebus_atys ENSCATG00000029222
chlorocebus_sabaeus ENSCSAG00000003995
cebus_capucinus ENSCCAG00000024881
saimiri_boliviensis_boliviensis ENSSBOG00000026514
callithrix_jacchus ENSCJAG00000015751
aotus_nancymaae ENSANAG00000036142
saimiri_boliviensis_boliviensis ENSSBOG00000036079
carlito_syrichta ENSTSYG00000007459
otolemur_garnettii ENSOGAG00000005500
oryctolagus_cuniculus ENSOCUG00000011321
oryctolagus_cuniculus ENSOCUG00000027008
ochotona_princeps ENSOPRG00000001128
myotis_lucifugus ENSMLUG00000011757
myotis_lucifugus ENSMLUG00000022858
pteropus_vampyrus ENSPVAG00000009324
vicugna_pacos ENSVPAG00000003921
sus_scrofa ENSSSCG00000030617
ovis_aries ENSOARG00000010172
capra_hircus ENSCHIG00000022093
bos_mutus ENSBMUG00000020474
bos_taurus ENSBTAG00000033648
bison_bison_bison ENSBBBG00000023775
tursiops_truncatus ENSTTRG00000007311
ursus_maritimus ENSUMAG00000022654
ursus_americanus ENSUAMG00000015480
ailuropoda_melanoleuca ENSAMEG00000017448
neovison_vison ENSNVIG00000005902
mustela_putorius_furo ENSMPUG00000008999
canis_lupus_familiaris ENSCAFG00000010906
canis_lupus_dingo ENSCAFG00020009912
vulpes_vulpes ENSVVUG00000017161
panthera_tigris_altaica ENSPTIG00000008665
panthera_pardus ENSPPRG00000014557
felis_catus ENSFCAG00000027227
phascolarctos_cinereus ENSPCIG00000000458
notamacropus_eugenii ENSMEUG00000009337
sarcophilus_harrisii ENSSHAG00000003546
monodelphis_domestica ENSMODG00000020627
sorex_araneus ENSSARG00000001800
pogona_vitticeps ENSPVIG00000016393
anolis_carolinensis ENSACAG00000008540
notechis_scutatus ENSNSUG00000003290
salvator_merianae ENSSMRG00000014633
sphenodon_punctatus ENSSPUG00000006494
calidris_pygmaea ENSCPGG00000009559
calidris_pugnax ENSCPUG00000000434
lepidothrix_coronata ENSLCOG00000006434
manacus_vitellinus ENSMVIG00005015484
cyanistes_caeruleus ENSCCEG00000011831
parus_major ENSPMJG00000009965
taeniopygia_guttata ENSTGUG00000003817
lonchura_striata_domestica ENSLSDG00000008100
