gopherus_agassizii ENSGAGG00000004529
chelonoidis_abingdonii ENSCABG00000004553
chrysemys_picta ENSCPBG00000021093
pelodiscus_sinensis ENSPSIG00000010335
apteryx_haastii ENSAHAG00000005457
nothoprocta_perdicaria ENSNPEG00000011671
dromaius_novaehollandiae ENSDNVG00000000529
lonchura_striata ENSLSDG00000005947
taeniopygia_guttata ENSTGUG00000007392
junco_hyemalis ENSJHYG00000010058
parus_major ENSPMJG00000003442
ficedula_albicollis ENSFALG00000007497
lepidothrix_coronata ENSLCOG00000007698
melopsittacus_undulatus ENSMUNG00000001422
calidris_pygmaea ENSCPGG00000017470
anser_brachyrhynchus ENSABRG00000005560
anas_platyrhynchos ENSAPLG00000006967
coturnix_japonica ENSCJPG00005015515
meleagris_gallopavo ENSMGAG00000005750
gallus_gallus ENSGALG00000042584
numida_meleagris ENSNMEG00000005351
pogona_vitticeps ENSPVIG00000019277
anolis_carolinensis ENSACAG00000000305
notechis_scutatus ENSNSUG00000008945
salvator_merianae ENSSMRG00000009580
manacus_vitellinus ENSMVIG00005011560
cyanistes_caeruleus ENSCCEG00000012347
zonotrichia_albicollis ENSZALG00000018089
calidris_pugnax ENSCPUG00000015732
apteryx_owenii ENSAOWG00000015252
crocodylus_porosus ENSCPRG00005016246
sphenodon_punctatus ENSSPUG00000013422
serinus_canaria ENSSCAG00000004232
phascolarctos_cinereus ENSPCIG00000003964
vombatus_ursinus ENSVURG00010021104
sarcophilus_harrisii ENSSHAG00000011946
monodelphis_domestica ENSMODG00000003445
neovison_vison ENSNVIG00000001329
mustela_putorius ENSMPUG00000011114
ailuropoda_melanoleuca ENSAMEG00000009797
canis_lupus ENSCAFG00020020163
canis_lupus ENSCAFG00000019105
panthera_tigris ENSPTIG00000009585
panthera_pardus ENSPPRG00000008162
felis_catus ENSFCAG00000005741
myotis_lucifugus ENSMLUG00000003673
equus_caballus ENSECAG00000024858
equus_asinus ENSEASG00005007255
bos_indicus ENSBIXG00000002557
bos_indicus ENSBIXG00005030353
bos_taurus ENSBTAG00000037576
bison_bison ENSBBBG00000005507
ovis_aries ENSOARG00000013092
capra_hircus ENSCHIG00000018244
tursiops_truncatus ENSTTRG00000004150
sus_scrofa ENSSSCG00000031525
vicugna_pacos ENSVPAG00000009773
dasypus_novemcinctus ENSDNOG00000031427
heterocephalus_glaber ENSHGLG00000006427
mus_caroli MGP_CAROLIEiJ_G0019699
microcebus_murinus ENSMICG00000047304
choloepus_hoffmanni ENSCHOG00000010764
carlito_syrichta ENSTSYG00000013707
ochotona_princeps ENSOPRG00000009221
tupaia_belangeri ENSTBEG00000012912
prolemur_simus ENSPSMG00000015740
propithecus_coquereli ENSPCOG00000018629
otolemur_garnettii ENSOGAG00000011673
pan_troglodytes ENSPTRG00000016742
pan_paniscus ENSPPAG00000016393
gorilla_gorilla ENSGGOG00000015876
homo_sapiens ENSG00000183654
mandrillus_leucophaeus ENSMLEG00000044357
macaca_fascicularis ENSMFAG00000039728
macaca_nemestrina ENSMNEG00000014598
theropithecus_gelada ENSTGEG00000002821
papio_anubis ENSPANG00000017253
cercocebus_atys ENSCATG00000040604
macaca_mulatta ENSMMUG00000007069
chlorocebus_sabaeus ENSCSAG00000017263
rhinopithecus_roxellana ENSRROG00000034909
rhinopithecus_bieti ENSRBIG00000038853
colobus_angolensis ENSCANG00000011990
piliocolobus_tephrosceles ENSPTEG00000023755
saimiri_boliviensis ENSSBOG00000035655
nomascus_leucogenys ENSNLEG00000032192
pongo_abelii ENSPPYG00000015355
callithrix_jacchus ENSCJAG00000047285
cebus_capucinus ENSCCAG00000024495
aotus_nancymaae ENSANAG00000029893
urocitellus_parryii ENSUPAG00010018880
ictidomys_tridecemlineatus ENSSTOG00000015947
peromyscus_maniculatus ENSPEMG00000020080
microtus_ochrogaster ENSMOCG00000005112
cricetulus_griseus ENSCGRG00015004598
cricetulus_griseus ENSCGRG00001000995
cricetulus_griseus ENSCGRG00000010701
mesocricetus_auratus ENSMAUG00000019378
mus_spicilegus ENSMSIG00000021111
mus_spretus MGP_SPRETEiJ_G0020593
mus_musculus ENSMUSG00000022269
mus_pahari MGP_PahariEiJ_G0016075
rattus_norvegicus ENSRNOG00000024461
nannospalax_galili ENSNGAG00000016639
dipodomys_ordii ENSDORG00000007351
cavia_aperea ENSCAPG00000016737
cavia_porcellus ENSCPOG00000026502
octodon_degus ENSODEG00000001708
chinchilla_lanigera ENSCLAG00000010027
fukomys_damarensis ENSFDAG00000012524
heterocephalus_glaber ENSHGLG00100015255
oryctolagus_cuniculus ENSOCUG00000004408
sorex_araneus ENSSARG00000008464
loxodonta_africana ENSLAFG00000006191
procavia_capensis ENSPCAG00000006785
echinops_telfairi ENSETEG00000019344
ornithorhynchus_anatinus ENSOANG00000009145
xenopus_tropicalis ENSXETG00000006567
latimeria_chalumnae ENSLACG00000010477
oreochromis_niloticus ENSONIG00000012408
gouania_willdenowi ENSGWIG00000017517
cynoglossus_semilaevis ENSCSEG00000007237
parambassis_ranga ENSPRNG00000001882
neolamprologus_brichardi ENSNBRG00000016349
takifugu_rubripes ENSTRUG00000001592
tetraodon_nigroviridis ENSTNIG00000008001
mola_mola ENSMMOG00000011230
larimichthys_crocea ENSLCRG00005008320
scophthalmus_maximus ENSSMAG00000004878
betta_splendens ENSBSLG00000024082
mastacembelus_armatus ENSMAMG00000015864
monopterus_albus ENSMALG00000011442
anabas_testudineus ENSATEG00000014296
seriola_lalandi ENSSLDG00000001616
seriola_dumerili ENSSDUG00000005253
lates_calcarifer ENSLCAG00010001042
cottoperca_gobio ENSCGOG00000022408
labrus_bergylta ENSLBEG00000019974
poecilia_latipinna ENSPLAG00000008959
poecilia_formosa ENSPFOG00000001465
poecilia_mexicana ENSPMEG00000007132
poecilia_reticulata ENSPREG00000020629
xiphophorus_maculatus ENSXMAG00000022163
xiphophorus_couchianus ENSXCOG00000019975
gambusia_affinis ENSGAFG00000018564
fundulus_heteroclitus ENSFHEG00000012162
cyprinodon_variegatus ENSCVAG00000010453
kryptolebias_marmoratus ENSKMAG00000000740
oryzias_latipes ENSORLG00020020213
oryzias_latipes ENSORLG00000006344
oryzias_latipes ENSORLG00015019449
oryzias_melastigma ENSOMEG00000020183
amphiprion_ocellaris ENSAOCG00000000709
amphiprion_percula ENSAPEG00000003745
acanthochromis_polyacanthus ENSAPOG00000022176
stegastes_partitus ENSSPAG00000003989
astatotilapia_calliptera ENSACLG00000024262
haplochromis_burtoni ENSHBUG00000011675
maylandia_zebra ENSMZEG00005000442
pundamilia_nyererei ENSPNYG00000016024
amphilophus_citrinellus ENSACIG00000010926
gadus_morhua ENSGMOG00000018178
esox_lucius ENSELUG00000017854
danio_rerio ENSDARG00000075212
paramormyrops_kingsleyae ENSPKIG00000007965
scleropages_formosus ENSSFOG00015020497
lepisosteus_oculatus ENSLOCG00000012646
erpetoichthys_calabaricus ENSECRG00000004159
callorhinchus_milii ENSCMIG00000012141
