ursus_maritimus ENSUMAG00000017646
ursus_americanus ENSUAMG00000022323
ailuropoda_melanoleuca ENSAMEG00000002470
mustela_putorius_furo ENSMPUG00000008035
neovison_vison ENSNVIG00000007183
canis_lupus_familiaris ENSCAFG00000017061
vulpes_vulpes ENSVVUG00000028180
panthera_pardus ENSPPRG00000006543
capra_hircus ENSCHIG00000023470
ovis_aries ENSOARG00000001044
bos_taurus ENSBTAG00000014443
sus_scrofa ENSSSCG00000028166
equus_asinus_asinus ENSEASG00005019844
equus_caballus ENSECAG00000015704
cricetulus_griseus_chok1gshd ENSCGRG00001017549
cricetulus_griseus_crigri-picr ENSCGRG00015011996
cricetulus_griseus_crigri ENSCGRG00000012545
peromyscus_maniculatus_bairdii ENSPEMG00000014066
microtus_ochrogaster ENSMOCG00000019571
mus_spicilegus ENSMSIG00000009078
mus_musculus ENSMUSG00000032921
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017380
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016544
mus_pahari MGP_PahariEiJ_G0017674
rattus_norvegicus ENSRNOG00000004225
jaculus_jaculus ENSJJAG00000024087
castor_canadensis ENSCCNG00000003373
dipodomys_ordii ENSDORG00000007135
ictidomys_tridecemlineatus ENSSTOG00000014570
urocitellus_parryii ENSUPAG00010016563
spermophilus_dauricus ENSSDAG00000021390
spermophilus_dauricus ENSSDAG00000015175
marmota_marmota_marmota ENSMMMG00000020377
fukomys_damarensis ENSFDAG00000003956
chinchilla_lanigera ENSCLAG00000007206
cavia_aperea ENSCAPG00000016161
cavia_porcellus ENSCPOG00000027195
oryctolagus_cuniculus ENSOCUG00000015085
dasypus_novemcinctus ENSDNOG00000018166
myotis_lucifugus ENSMLUG00000009920
ornithorhynchus_anatinus ENSOANG00000029059
