pelodiscus_sinensis ENSPSIG00000004330
sphenodon_punctatus ENSSPUG00000010775
vombatus_ursinus ENSVURG00010017155
phascolarctos_cinereus ENSPCIG00000016025
notamacropus_eugenii ENSMEUG00000010363
sarcophilus_harrisii ENSSHAG00000008514
monodelphis_domestica ENSMODG00000016311
vicugna_pacos ENSVPAG00000006456
castor_canadensis ENSCCNG00000027047
pogona_vitticeps ENSPVIG00000006262
notechis_scutatus ENSNSUG00000018397
gallus_gallus ENSGALG00000037943
coturnix_japonica ENSCJPG00005010228
numida_meleagris ENSNMEG00000012159
anas_platyrhynchos ENSAPLG00000008998
calidris_pygmaea ENSCPGG00000014477
parus_major ENSPMJG00000019490
junco_hyemalis ENSJHYG00000002589
lepidothrix_coronata ENSLCOG00000011213
apteryx_rowi ENSARWG00000002972
calidris_pugnax ENSCPUG00000016565
manacus_vitellinus ENSMVIG00005008006
dromaius_novaehollandiae ENSDNVG00000012801
anser_brachyrhynchus ENSABRG00000020303
meleagris_gallopavo ENSMGAG00000006453
zonotrichia_albicollis ENSZALG00000009100
cyanistes_caeruleus ENSCCEG00000023179
serinus_canaria ENSSCAG00000003700
apteryx_haastii ENSAHAG00000012464
apteryx_owenii ENSAOWG00000004524
crocodylus_porosus ENSCPRG00005011217
salvator_merianae ENSSMRG00000016843
chrysemys_picta ENSCPBG00000001777
choloepus_hoffmanni ENSCHOG00000013382
echinops_telfairi ENSETEG00000016220
sorex_araneus ENSSARG00000003605
erinaceus_europaeus ENSEEUG00000000806
mustela_putorius ENSMPUG00000012196
canis_lupus ENSCAFG00000017622
ursus_americanus ENSUAMG00000006518
ursus_maritimus ENSUMAG00000008721
pteropus_vampyrus ENSPVAG00000000048
cricetulus_griseus ENSCGRG00000000328
meriones_unguiculatus ENSMUGG00000023482
octodon_degus ENSODEG00000015099
dipodomys_ordii ENSDORG00000015927
ochotona_princeps ENSOPRG00000002672
dasypus_novemcinctus ENSDNOG00000014971
myotis_lucifugus ENSMLUG00000006872
loxodonta_africana ENSLAFG00000001035
bos_indicus ENSBIXG00005020303
bos_indicus ENSBIXG00000009204
bos_taurus ENSBTAG00000020921
bison_bison ENSBBBG00000019888
capra_hircus ENSCHIG00000016993
sus_scrofa ENSSSCG00000033674
equus_caballus ENSECAG00000017393
ailuropoda_melanoleuca ENSAMEG00000014177
neovison_vison ENSNVIG00000024365
vulpes_vulpes ENSVVUG00000005527
panthera_pardus ENSPPRG00000002726
panthera_tigris ENSPTIG00000013353
felis_catus ENSFCAG00000011124
microcebus_murinus ENSMICG00000008028
prolemur_simus ENSPSMG00000019145
