procavia_capensis ENSPCAG00000000190
echinops_telfairi ENSETEG00000000169
pteropus_vampyrus ENSPVAG00000009444
myotis_lucifugus ENSMLUG00000009552
ovis_aries ENSOARG00000010002
capra_hircus ENSCHIG00000015701
bison_bison_bison ENSBBBG00000007853
bos_mutus ENSBMUG00000006004
bos_taurus ENSBTAG00000001125
sus_scrofa ENSSSCG00000009645
tursiops_truncatus ENSTTRG00000011167
vicugna_pacos ENSVPAG00000008882
ursus_maritimus ENSUMAG00000004698
ailuropoda_melanoleuca ENSAMEG00000001578
neovison_vison ENSNVIG00000004297
mustela_putorius_furo ENSMPUG00000003330
vulpes_vulpes ENSVVUG00000004882
canis_lupus_familiaris ENSCAFG00000024869
panthera_pardus ENSPPRG00000006694
panthera_tigris_altaica ENSPTIG00000007220
felis_catus ENSFCAG00000003531
equus_asinus_asinus ENSEASG00005018757
equus_caballus ENSECAG00000019922
spermophilus_dauricus ENSSDAG00000006166
marmota_marmota_marmota ENSMMMG00000013904
urocitellus_parryii ENSUPAG00010017356
ictidomys_tridecemlineatus ENSSTOG00000032677
castor_canadensis ENSCCNG00000008897
dipodomys_ordii ENSDORG00000007279
mus_musculus ENSMUSG00000022057
mus_spicilegus ENSMSIG00000024360
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020347
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019455
mus_pahari MGP_PahariEiJ_G0030472
rattus_norvegicus ENSRNOG00000030724
meriones_unguiculatus ENSMUGG00000016194
cricetulus_griseus_crigri ENSCGRG00000006033
cricetulus_griseus_crigri-picr ENSCGRG00015007767
cricetulus_griseus_chok1gshd ENSCGRG00001013228
mesocricetus_auratus ENSMAUG00000021097
microtus_ochrogaster ENSMOCG00000021493
peromyscus_maniculatus_bairdii ENSPEMG00000004402
nannospalax_galili ENSNGAG00000018142
jaculus_jaculus ENSJJAG00000015285
cavia_porcellus ENSCPOG00000038140
cavia_aperea ENSCAPG00000014487
chinchilla_lanigera ENSCLAG00000015375
octodon_degus ENSODEG00000008034
heterocephalus_glaber_female ENSHGLG00000011872
heterocephalus_glaber_male ENSHGLG00100006897
fukomys_damarensis ENSFDAG00000008936
oryctolagus_cuniculus ENSOCUG00000001597
ochotona_princeps ENSOPRG00000006247
otolemur_garnettii ENSOGAG00000015169
tupaia_belangeri ENSTBEG00000011026
pan_troglodytes ENSPTRG00000020085
pan_paniscus ENSPPAG00000038047
homo_sapiens ENSG00000134028
gorilla_gorilla ENSGGOG00000001215
pongo_abelii ENSPPYG00000018446
nomascus_leucogenys ENSNLEG00000015990
colobus_angolensis_palliatus ENSCANG00000024484
piliocolobus_tephrosceles ENSPTEG00000028217
rhinopithecus_bieti ENSRBIG00000032045
rhinopithecus_roxellana ENSRROG00000023647
macaca_mulatta ENSMMUG00000005318
macaca_nemestrina ENSMNEG00000027019
macaca_fascicularis ENSMFAG00000007172
chlorocebus_sabaeus ENSCSAG00000016207
mandrillus_leucophaeus ENSMLEG00000032559
cercocebus_atys ENSCATG00000043054
theropithecus_gelada ENSTGEG00000001637
papio_anubis ENSPANG00000022045
saimiri_boliviensis_boliviensis ENSSBOG00000023422
cebus_capucinus ENSCCAG00000034847
callithrix_jacchus ENSCJAG00000020062
aotus_nancymaae ENSANAG00000023742
carlito_syrichta ENSTSYG00000013182
prolemur_simus ENSPSMG00000007297
microcebus_murinus ENSMICG00000047490
choloepus_hoffmanni ENSCHOG00000000274
dasypus_novemcinctus ENSDNOG00000012585
erinaceus_europaeus ENSEEUG00000002159
sorex_araneus ENSSARG00000004517
phascolarctos_cinereus ENSPCIG00000016489
notamacropus_eugenii ENSMEUG00000014598
sarcophilus_harrisii ENSSHAG00000011993
monodelphis_domestica ENSMODG00000016762
ornithorhynchus_anatinus ENSOANG00000008022
ornithorhynchus_anatinus ENSOANG00000014476
