procavia_capensis ENSPCAG00000000930
echinops_telfairi ENSETEG00000014009
choloepus_hoffmanni ENSCHOG00000013465
pongo_abelii ENSPPYG00000005480
tupaia_belangeri ENSTBEG00000008471
oryctolagus_cuniculus ENSOCUG00000008216
pteropus_vampyrus ENSPVAG00000017319
myotis_lucifugus ENSMLUG00000016777
equus_caballus ENSECAG00000036452
tursiops_truncatus ENSTTRG00000006286
sus_scrofa ENSSSCG00000009530
vicugna_pacos ENSVPAG00000005320
ailuropoda_melanoleuca ENSAMEG00000016506
neovison_vison ENSNVIG00000018764
sarcophilus_harrisii ENSSHAG00000012332
phascolarctos_cinereus ENSPCIG00000030653
