seriola_dumerili ENSSDUG00000014336
seriola_lalandi_dorsalis ENSSLDG00000017467
cynoglossus_semilaevis ENSCSEG00000017466
monopterus_albus ENSMALG00000022215
amphiprion_percula ENSAPEG00000014078
acanthochromis_polyacanthus ENSAPOG00000003282
xiphophorus_maculatus ENSXMAG00000013545
poecilia_mexicana ENSPMEG00000011357
gambusia_affinis ENSGAFG00000003870
cyprinodon_variegatus ENSCVAG00000001988
kryptolebias_marmoratus ENSKMAG00000006780
haplochromis_burtoni ENSHBUG00000020438
astatotilapia_calliptera ENSACLG00000027398
oreochromis_niloticus ENSONIG00000001481
maylandia_zebra ENSMZEG00005027290
amphiprion_ocellaris ENSAOCG00000005483
poecilia_reticulata ENSPREG00000004817
poecilia_latipinna ENSPLAG00000017579
xiphophorus_couchianus ENSXCOG00000014103
fundulus_heteroclitus ENSFHEG00000012542
scophthalmus_maximus ENSSMAG00000001541
mastacembelus_armatus ENSMAMG00000022424
takifugu_rubripes ENSTRUG00000024301
gasterosteus_aculeatus ENSGACG00000011623
poecilia_formosa ENSPFOG00000005877
labrus_bergylta ENSLBEG00000002873
amphilophus_citrinellus ENSACIG00000009060
stegastes_partitus ENSSPAG00000022489
esox_lucius ENSELUG00000010311
danio_rerio ENSDARG00000038941
pygocentrus_nattereri ENSPNAG00000007894
ictalurus_punctatus ENSIPUG00000005526
esox_lucius ENSELUG00000004286
paramormyrops_kingsleyae ENSPKIG00000021660
lepisosteus_oculatus ENSLOCG00000006587
chrysemys_picta_bellii ENSCPBG00000001601
gopherus_agassizii ENSGAGG00000007919
pelodiscus_sinensis ENSPSIG00000002118
calidris_pygmaea ENSCPGG00000002379
calidris_pugnax ENSCPUG00000006060
melopsittacus_undulatus ENSMUNG00000006628
cyanistes_caeruleus ENSCCEG00000023357
parus_major ENSPMJG00000018351
ficedula_albicollis ENSFALG00000003575
lonchura_striata_domestica ENSLSDG00000007164
taeniopygia_guttata ENSTGUG00000009498
junco_hyemalis ENSJHYG00000011802
serinus_canaria ENSSCAG00000001436
gallus_gallus ENSGALG00000008896
meleagris_gallopavo ENSMGAG00000009069
dromaius_novaehollandiae ENSDNVG00000009947
nothoprocta_perdicaria ENSNPEG00000014386
pogona_vitticeps ENSPVIG00000009118
anolis_carolinensis ENSACAG00000028472
notechis_scutatus ENSNSUG00000015257
coturnix_japonica ENSCJPG00005016722
numida_meleagris ENSNMEG00000022158
anas_platyrhynchos_platyrhynchos ENSAPLG00000028661
taeniopygia_guttata ENSTGUG00000016907
zonotrichia_albicollis ENSZALG00000017774
lepidothrix_coronata ENSLCOG00000016216
manacus_vitellinus ENSMVIG00005000598
apteryx_owenii ENSAOWG00000003696
apteryx_haastii ENSAHAG00000005845
apteryx_rowi ENSARWG00000012862
crocodylus_porosus ENSCPRG00005013438
chelonoidis_abingdonii ENSCABG00000012562
sphenodon_punctatus ENSSPUG00000018712
sarcophilus_harrisii ENSSHAG00000016318
phascolarctos_cinereus ENSPCIG00000014830
monodelphis_domestica ENSMODG00000010425
peromyscus_maniculatus_bairdii ENSPEMG00000006349
microtus_ochrogaster ENSMOCG00000001838
cricetulus_griseus_crigri ENSCGRG00000008473
cricetulus_griseus_chok1gshd ENSCGRG00001024908
cricetulus_griseus_crigri-picr ENSCGRG00015019892
