peromyscus_maniculatus ENSPEMG00000008235
microtus_ochrogaster ENSMOCG00000006939
cricetulus_griseus ENSCGRG00000010041
cricetulus_griseus ENSCGRG00001019983
cricetulus_griseus ENSCGRG00015007411
mesocricetus_auratus ENSMAUG00000008943
mus_spretus MGP_SPRETEiJ_G0019183
mus_spicilegus ENSMSIG00000002214
mus_musculus ENSMUSG00000053216
mus_caroli MGP_CAROLIEiJ_G0018315
mus_pahari MGP_PahariEiJ_G0019378
rattus_norvegicus ENSRNOG00000038877
meriones_unguiculatus ENSMUGG00000000553
nannospalax_galili ENSNGAG00000005096
jaculus_jaculus ENSJJAG00000015456
chinchilla_lanigera ENSCLAG00000002105
octodon_degus ENSODEG00000013492
cavia_porcellus ENSCPOG00000001363
cavia_aperea ENSCAPG00000013721
fukomys_damarensis ENSFDAG00000010432
dipodomys_ordii ENSDORG00000000451
papio_anubis ENSPANG00000022808
theropithecus_gelada ENSTGEG00000000572
cercocebus_atys ENSCATG00000043546
mandrillus_leucophaeus ENSMLEG00000035469
macaca_fascicularis ENSMFAG00000001113
macaca_nemestrina ENSMNEG00000040625
rhinopithecus_bieti ENSRBIG00000041341
rhinopithecus_roxellana ENSRROG00000045382
piliocolobus_tephrosceles ENSPTEG00000037746
colobus_angolensis ENSCANG00000038532
macaca_fascicularis ENSMFAG00000001651
macaca_nemestrina ENSMNEG00000033982
theropithecus_gelada ENSTGEG00000007088
mandrillus_leucophaeus ENSMLEG00000042821
cercocebus_atys ENSCATG00000030406
chlorocebus_sabaeus ENSCSAG00000012688
rhinopithecus_bieti ENSRBIG00000033723
rhinopithecus_roxellana ENSRROG00000041279
colobus_angolensis ENSCANG00000024557
pan_paniscus ENSPPAG00000029957
pan_troglodytes ENSPTRG00000017829
homo_sapiens ENSG00000124508
gorilla_gorilla ENSGGOG00000038843
nomascus_leucogenys ENSNLEG00000003228
saimiri_boliviensis ENSSBOG00000033628
callithrix_jacchus ENSCJAG00000011148
aotus_nancymaae ENSANAG00000032723
carlito_syrichta ENSTSYG00000013122
propithecus_coquereli ENSPCOG00000005592
propithecus_coquereli ENSPCOG00000027955
prolemur_simus ENSPSMG00000024747
microcebus_murinus ENSMICG00000008270
otolemur_garnettii ENSOGAG00000006007
otolemur_garnettii ENSOGAG00000006012
oryctolagus_cuniculus ENSOCUG00000016406
ochotona_princeps ENSOPRG00000006190
ictidomys_tridecemlineatus ENSSTOG00000011871
spermophilus_dauricus ENSSDAG00000011197
urocitellus_parryii ENSUPAG00010005833
marmota_marmota ENSMMMG00000002247
pteropus_vampyrus ENSPVAG00000008658
pteropus_vampyrus ENSPVAG00000005831
bos_indicus ENSBIXG00000013410
bos_indicus ENSBIXG00005012204
bos_taurus ENSBTAG00000010852
bison_bison ENSBBBG00000021933
capra_hircus ENSCHIG00000013542
ovis_aries ENSOARG00000000423
tursiops_truncatus ENSTTRG00000012607
vicugna_pacos ENSVPAG00000008586
sus_scrofa ENSSSCG00000001131
mustela_putorius ENSMPUG00000012473
neovison_vison ENSNVIG00000005910
ursus_maritimus ENSUMAG00000021036
ursus_americanus ENSUAMG00000021234
ailuropoda_melanoleuca ENSAMEG00000015976
canis_lupus ENSCAFG00020002471
canis_lupus ENSCAFG00000010849
vulpes_vulpes ENSVVUG00000000242
panthera_pardus ENSPPRG00000010428
panthera_pardus ENSPPRG00000011298
felis_catus ENSFCAG00000001305
equus_asinus ENSEASG00005007271
equus_caballus ENSECAG00000011804
sorex_araneus ENSSARG00000011883
erinaceus_europaeus ENSEEUG00000001318
dasypus_novemcinctus ENSDNOG00000049238
dasypus_novemcinctus ENSDNOG00000038746
dasypus_novemcinctus ENSDNOG00000035207
dasypus_novemcinctus ENSDNOG00000034264
dasypus_novemcinctus ENSDNOG00000033377
dasypus_novemcinctus ENSDNOG00000039664
dasypus_novemcinctus ENSDNOG00000046265
dasypus_novemcinctus ENSDNOG00000031548
dasypus_novemcinctus ENSDNOG00000040385
dasypus_novemcinctus ENSDNOG00000035250
dasypus_novemcinctus ENSDNOG00000041576
dasypus_novemcinctus ENSDNOG00000000243
dasypus_novemcinctus ENSDNOG00000046052
dasypus_novemcinctus ENSDNOG00000035984
dasypus_novemcinctus ENSDNOG00000040665
dasypus_novemcinctus ENSDNOG00000040407
choloepus_hoffmanni ENSCHOG00000008059
echinops_telfairi ENSETEG00000015561
procavia_capensis ENSPCAG00000011675
cricetulus_griseus ENSCGRG00001015992
cricetulus_griseus ENSCGRG00015018709
meriones_unguiculatus ENSMUGG00000009698
chinchilla_lanigera ENSCLAG00000001526
felis_catus ENSFCAG00000051175
loxodonta_africana ENSLAFG00000031204
phascolarctos_cinereus ENSPCIG00000030835
vombatus_ursinus ENSVURG00010004665
notamacropus_eugenii ENSMEUG00000013636
monodelphis_domestica ENSMODG00000008595
sarcophilus_harrisii ENSSHAG00000005678
scleropages_formosus ENSSFOG00015023381
