junco_hyemalis ENSJHYG00000010403
zonotrichia_albicollis ENSZALG00000001570
serinus_canaria ENSSCAG00000005690
lonchura_striata_domestica ENSLSDG00000017287
taeniopygia_guttata ENSTGUG00000008156
ficedula_albicollis ENSFALG00000010505
parus_major ENSPMJG00000001088
cyanistes_caeruleus ENSCCEG00000017876
manacus_vitellinus ENSMVIG00005013833
lepidothrix_coronata ENSLCOG00000014875
melopsittacus_undulatus ENSMUNG00000003193
calidris_pugnax ENSCPUG00000018736
calidris_pygmaea ENSCPGG00000007449
anser_brachyrhynchus ENSABRG00000021914
anas_platyrhynchos_platyrhynchos ENSAPLG00000004436
gallus_gallus ENSGALG00000045136
coturnix_japonica ENSCJPG00005020336
meleagris_gallopavo ENSMGAG00000008506
apteryx_rowi ENSARWG00000013175
apteryx_owenii ENSAOWG00000003259
apteryx_haastii ENSAHAG00000005491
dromaius_novaehollandiae ENSDNVG00000005696
crocodylus_porosus ENSCPRG00005016858
gopherus_agassizii ENSGAGG00000024668
chelonoidis_abingdonii ENSCABG00000001318
chrysemys_picta_bellii ENSCPBG00000017652
pelodiscus_sinensis ENSPSIG00000013454
anolis_carolinensis ENSACAG00000001190
pogona_vitticeps ENSPVIG00000002733
notechis_scutatus ENSNSUG00000010830
salvator_merianae ENSSMRG00000022305
sphenodon_punctatus ENSSPUG00000012224
oryctolagus_cuniculus ENSOCUG00000011501
dipodomys_ordii ENSDORG00000014141
mesocricetus_auratus ENSMAUG00000019060
mesocricetus_auratus ENSMAUG00000017797
nannospalax_galili ENSNGAG00000003596
nannospalax_galili ENSNGAG00000000264
mus_spicilegus ENSMSIG00000018239
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030982
mus_musculus ENSMUSG00000039176
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029880
mus_pahari MGP_PahariEiJ_G0013102
rattus_norvegicus ENSRNOG00000032293
meriones_unguiculatus ENSMUGG00000015042
meriones_unguiculatus ENSMUGG00000015138
microtus_ochrogaster ENSMOCG00000010126
peromyscus_maniculatus_bairdii ENSPEMG00000015138
cricetulus_griseus_crigri-picr ENSCGRG00015001183
cricetulus_griseus_chok1gshd ENSCGRG00001017862
cricetulus_griseus_crigri ENSCGRG00000005474
jaculus_jaculus ENSJJAG00000020236
castor_canadensis ENSCCNG00000024742
ictidomys_tridecemlineatus ENSSTOG00000006860
spermophilus_dauricus ENSSDAG00000001760
urocitellus_parryii ENSUPAG00010016054
marmota_marmota_marmota ENSMMMG00000020022
octodon_degus ENSODEG00000015280
octodon_degus ENSODEG00000015778
cavia_aperea ENSCAPG00000014560
cavia_aperea ENSCAPG00000010547
cavia_porcellus ENSCPOG00000007266
chinchilla_lanigera ENSCLAG00000009374
heterocephalus_glaber_male ENSHGLG00100006322
heterocephalus_glaber_female ENSHGLG00000006483
fukomys_damarensis ENSFDAG00000015388
ochotona_princeps ENSOPRG00000012999
pan_paniscus ENSPPAG00000043082
pan_troglodytes ENSPTRG00000007431
homo_sapiens ENSG00000140521
gorilla_gorilla ENSGGOG00000011727
pongo_abelii ENSPPYG00000006763
nomascus_leucogenys ENSNLEG00000011632
cercocebus_atys ENSCATG00000035940
mandrillus_leucophaeus ENSMLEG00000039213
theropithecus_gelada ENSTGEG00000007545
papio_anubis ENSPANG00000014259
macaca_fascicularis ENSMFAG00000042476
macaca_mulatta ENSMMUG00000011160
macaca_nemestrina ENSMNEG00000019045
chlorocebus_sabaeus ENSCSAG00000017164
rhinopithecus_roxellana ENSRROG00000036873
rhinopithecus_bieti ENSRBIG00000041136
colobus_angolensis_palliatus ENSCANG00000040646
piliocolobus_tephrosceles ENSPTEG00000000163
cebus_capucinus ENSCCAG00000007512
saimiri_boliviensis_boliviensis ENSSBOG00000034032
callithrix_jacchus ENSCJAG00000012773
aotus_nancymaae ENSANAG00000035130
carlito_syrichta ENSTSYG00000012929
prolemur_simus ENSPSMG00000008810
propithecus_coquereli ENSPCOG00000022538
microcebus_murinus ENSMICG00000001951
otolemur_garnettii ENSOGAG00000008148
tupaia_belangeri ENSTBEG00000013163
ursus_americanus ENSUAMG00000017548
ursus_maritimus ENSUMAG00000006805
ailuropoda_melanoleuca ENSAMEG00000013009
mustela_putorius_furo ENSMPUG00000015789
neovison_vison ENSNVIG00000017667
canis_lupus_familiaris ENSCAFG00000011760
canis_lupus_dingo ENSCAFG00020018479
vulpes_vulpes ENSVVUG00000011407
panthera_pardus ENSPPRG00000007408
panthera_tigris_altaica ENSPTIG00000012981
felis_catus ENSFCAG00000012888
pteropus_vampyrus ENSPVAG00000002853
erinaceus_europaeus ENSEEUG00000011141
sorex_araneus ENSSARG00000005124
myotis_lucifugus ENSMLUG00000007583
equus_caballus ENSECAG00000007781
equus_asinus_asinus ENSEASG00005015232
tursiops_truncatus ENSTTRG00000008861
vicugna_pacos ENSVPAG00000005351
bos_taurus ENSBTAG00000009098
bos_mutus ENSBMUG00000003801
bison_bison_bison ENSBBBG00000008229
capra_hircus ENSCHIG00000010897
ovis_aries ENSOARG00000011484
sus_scrofa ENSSSCG00000001838
loxodonta_africana ENSLAFG00000010216
echinops_telfairi ENSETEG00000012332
procavia_capensis ENSPCAG00000013313
dasypus_novemcinctus ENSDNOG00000025373
phascolarctos_cinereus ENSPCIG00000006439
notamacropus_eugenii ENSMEUG00000008878
sarcophilus_harrisii ENSSHAG00000015373
monodelphis_domestica ENSMODG00000019564
ornithorhynchus_anatinus ENSOANG00000020545
xenopus_tropicalis ENSXETG00000017750
latimeria_chalumnae ENSLACG00000017742
tetraodon_nigroviridis ENSTNIG00000012160
takifugu_rubripes ENSTRUG00000000388
periophthalmus_magnuspinnatus ENSPMGG00000015025
gasterosteus_aculeatus ENSGACG00000011573
mola_mola ENSMMOG00000017548
labrus_bergylta ENSLBEG00000000259
mastacembelus_armatus ENSMAMG00000005268
monopterus_albus ENSMALG00000021724
anabas_testudineus ENSATEG00000020796
scophthalmus_maximus ENSSMAG00000007708
cynoglossus_semilaevis ENSCSEG00000014041
seriola_lalandi_dorsalis ENSSLDG00000021806
seriola_dumerili ENSSDUG00000017518
amphiprion_ocellaris ENSAOCG00000018055
amphiprion_percula ENSAPEG00000008470
acanthochromis_polyacanthus ENSAPOG00000014576
stegastes_partitus ENSSPAG00000015063
maylandia_zebra ENSMZEG00005017805
astatotilapia_calliptera ENSACLG00000027569
haplochromis_burtoni ENSHBUG00000013115
pundamilia_nyererei ENSPNYG00000014246
neolamprologus_brichardi ENSNBRG00000005069
oreochromis_niloticus ENSONIG00000014634
amphilophus_citrinellus ENSACIG00000000090
xiphophorus_maculatus ENSXMAG00000000917
xiphophorus_couchianus ENSXCOG00000020526
gambusia_affinis ENSGAFG00000021780
poecilia_mexicana ENSPMEG00000006732
poecilia_formosa ENSPFOG00000014718
poecilia_latipinna ENSPLAG00000012538
poecilia_reticulata ENSPREG00000018576
cyprinodon_variegatus ENSCVAG00000005763
fundulus_heteroclitus ENSFHEG00000009183
kryptolebias_marmoratus ENSKMAG00000003202
oryzias_latipes ENSORLG00020020591
oryzias_latipes_asm223469v1 ENSORLG00015000338
oryzias_latipes ENSORLG00000011695
oryzias_melastigma ENSOMEG00000011662
hippocampus_comes ENSHCOG00000010411
gadus_morhua ENSGMOG00000008100
esox_lucius ENSELUG00000003339
pygocentrus_nattereri ENSPNAG00000004568
astyanax_mexicanus ENSAMXG00000017419
ictalurus_punctatus ENSIPUG00000004036
danio_rerio ENSDARG00000060951
paramormyrops_kingsleyae ENSPKIG00000014938
scleropages_formosus ENSSFOG00015014875
lepisosteus_oculatus ENSLOCG00000014557
ornithorhynchus_anatinus ENSOANG00000030685
petromyzon_marinus ENSPMAG00000000210
drosophila_melanogaster FBgn0004406
ciona_intestinalis ENSCING00000001343
ciona_savignyi ENSCSAVG00000005607
caenorhabditis_elegans_strain_n2 WBGene00013258
saccharomyces_cerevisiae YOR330C
