cavia_aperea ENSCAPG00000009711
cavia_porcellus ENSCPOG00000036613
octodon_degus ENSODEG00000015252
chinchilla_lanigera ENSCLAG00000015735
heterocephalus_glaber_female ENSHGLG00000017108
heterocephalus_glaber_male ENSHGLG00100000608
fukomys_damarensis ENSFDAG00000005058
urocitellus_parryii ENSUPAG00010013711
marmota_marmota_marmota ENSMMMG00000000461
ictidomys_tridecemlineatus ENSSTOG00000003982
spermophilus_dauricus ENSSDAG00000015078
spermophilus_dauricus ENSSDAG00000007071
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021393
mus_spicilegus ENSMSIG00000020055
mus_musculus ENSMUSG00000059280
mus_musculus ENSMUSG00000059305
mus_spicilegus ENSMSIG00000017534
mus_pahari MGP_PahariEiJ_G0016203
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020497
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020498
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021392
mus_pahari MGP_PahariEiJ_G0016202
rattus_norvegicus ENSRNOG00000001839
rattus_norvegicus ENSRNOG00000052348
meriones_unguiculatus ENSMUGG00000021613
meriones_unguiculatus ENSMUGG00000009669
cricetulus_griseus_crigri ENSCGRG00000018164
cricetulus_griseus_crigri-picr ENSCGRG00015009776
cricetulus_griseus_chok1gshd ENSCGRG00001002687
mesocricetus_auratus ENSMAUG00000006538
peromyscus_maniculatus_bairdii ENSPEMG00000010426
peromyscus_maniculatus_bairdii ENSPEMG00000014521
microtus_ochrogaster ENSMOCG00000008728
microtus_ochrogaster ENSMOCG00000010728
nannospalax_galili ENSNGAG00000008705
nannospalax_galili ENSNGAG00000012863
jaculus_jaculus ENSJJAG00000012038
dipodomys_ordii ENSDORG00000009479
oryctolagus_cuniculus ENSOCUG00000021235
oryctolagus_cuniculus ENSOCUG00000021151
oryctolagus_cuniculus ENSOCUG00000021046
oryctolagus_cuniculus ENSOCUG00000024204
ochotona_princeps ENSOPRG00000006291
homo_sapiens ENSG00000169575
gorilla_gorilla ENSGGOG00000016468
pan_troglodytes ENSPTRG00000014125
pan_paniscus ENSPPAG00000038606
pongo_abelii ENSPPYG00000012016
nomascus_leucogenys ENSNLEG00000015413
macaca_fascicularis ENSMFAG00000002578
macaca_mulatta ENSMMUG00000023195
papio_anubis ENSPANG00000014235
mandrillus_leucophaeus ENSMLEG00000023135
cercocebus_atys ENSCATG00000038176
theropithecus_gelada ENSTGEG00000006890
chlorocebus_sabaeus ENSCSAG00000013736
rhinopithecus_roxellana ENSRROG00000043199
rhinopithecus_bieti ENSRBIG00000030790
colobus_angolensis_palliatus ENSCANG00000039946
piliocolobus_tephrosceles ENSPTEG00000001660
callithrix_jacchus ENSCJAG00000020333
cebus_capucinus ENSCCAG00000024633
saimiri_boliviensis_boliviensis ENSSBOG00000024753
aotus_nancymaae ENSANAG00000030624
carlito_syrichta ENSTSYG00000032353
propithecus_coquereli ENSPCOG00000028331
microcebus_murinus ENSMICG00000033708
otolemur_garnettii ENSOGAG00000012573
tupaia_belangeri ENSTBEG00000003403
bison_bison_bison ENSBBBG00000021501
bos_taurus ENSBTAG00000052191
bos_mutus ENSBMUG00000002576
capra_hircus ENSCHIG00000000045
ovis_aries ENSOARG00000015034
tursiops_truncatus ENSTTRG00000002716
sus_scrofa ENSSSCG00000022467
ursus_maritimus ENSUMAG00000003377
ursus_americanus ENSUAMG00000010828
ailuropoda_melanoleuca ENSAMEG00000013628
neovison_vison ENSNVIG00000021499
mustela_putorius_furo ENSMPUG00000003104
canis_lupus_dingo ENSCAFG00020007589
canis_lupus_familiaris ENSCAFG00000024382
vulpes_vulpes ENSVVUG00000019499
panthera_pardus ENSPPRG00000008002
panthera_tigris_altaica ENSPTIG00000008484
felis_catus ENSFCAG00000046581
equus_asinus_asinus ENSEASG00005019401
equus_caballus ENSECAG00000013459
equus_caballus ENSECAG00000035605
equus_asinus_asinus ENSEASG00005001784
pteropus_vampyrus ENSPVAG00000001817
sorex_araneus ENSSARG00000012239
myotis_lucifugus ENSMLUG00000010373
dasypus_novemcinctus ENSDNOG00000046864
loxodonta_africana ENSLAFG00000030890
loxodonta_africana ENSLAFG00000027504
loxodonta_africana ENSLAFG00000007181
loxodonta_africana ENSLAFG00000029853
echinops_telfairi ENSETEG00000018097
