ochotona_princeps ENSOPRG00000000711
oryctolagus_cuniculus ENSOCUG00000001869
macaca_mulatta ENSMMUG00000044604
macaca_nemestrina ENSMNEG00000031174
macaca_fascicularis ENSMFAG00000002226
mandrillus_leucophaeus ENSMLEG00000038641
rhinopithecus_bieti ENSRBIG00000044297
saimiri_boliviensis_boliviensis ENSSBOG00000023692
tupaia_belangeri ENSTBEG00000013854
tursiops_truncatus ENSTTRG00000013675
ovis_aries ENSOARG00000010685
vicugna_pacos ENSVPAG00000003706
panthera_tigris_altaica ENSPTIG00000015704
panthera_pardus ENSPPRG00000002517
felis_catus ENSFCAG00000044274
ailuropoda_melanoleuca ENSAMEG00000010441
vulpes_vulpes ENSVVUG00000010848
canis_lupus_familiaris ENSCAFG00000000471
equus_caballus ENSECAG00000034681
dasypus_novemcinctus ENSDNOG00000033244
choloepus_hoffmanni ENSCHOG00000008190
procavia_capensis ENSPCAG00000013430
