crocodylus_porosus ENSCPRG00005008854
dromaius_novaehollandiae ENSDNVG00000014284
chelonoidis_abingdonii ENSCABG00000018939
gopherus_agassizii ENSGAGG00000023075
chrysemys_picta_bellii ENSCPBG00000014127
pelodiscus_sinensis ENSPSIG00000017316
sphenodon_punctatus ENSSPUG00000001798
salvator_merianae ENSSMRG00000001938
pogona_vitticeps ENSPVIG00000021616
phascolarctos_cinereus ENSPCIG00000006982
sarcophilus_harrisii ENSSHAG00000001077
monodelphis_domestica ENSMODG00000010851
chinchilla_lanigera ENSCLAG00000001944
octodon_degus ENSODEG00000018788
cavia_porcellus ENSCPOG00000039403
heterocephalus_glaber_male ENSHGLG00100020701
heterocephalus_glaber_female ENSHGLG00000020887
fukomys_damarensis ENSFDAG00000015514
ictidomys_tridecemlineatus ENSSTOG00000007049
spermophilus_dauricus ENSSDAG00000004171
urocitellus_parryii ENSUPAG00010013644
marmota_marmota_marmota ENSMMMG00000002472
castor_canadensis ENSCCNG00000008032
dipodomys_ordii ENSDORG00000003571
mus_musculus ENSMUSG00000028629
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027394
mus_spicilegus ENSMSIG00000010139
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026417
mus_pahari MGP_PahariEiJ_G0028746
rattus_norvegicus ENSRNOG00000037432
meriones_unguiculatus ENSMUGG00000007280
cricetulus_griseus_crigri ENSCGRG00000004371
cricetulus_griseus_crigri-picr ENSCGRG00015003492
cricetulus_griseus_chok1gshd ENSCGRG00001006191
mesocricetus_auratus ENSMAUG00000008509
microtus_ochrogaster ENSMOCG00000009071
peromyscus_maniculatus_bairdii ENSPEMG00000024028
nannospalax_galili ENSNGAG00000012311
jaculus_jaculus ENSJJAG00000014170
oryctolagus_cuniculus ENSOCUG00000016005
ochotona_princeps ENSOPRG00000015430
pan_troglodytes ENSPTRG00000000592
gorilla_gorilla ENSGGOG00000024174
homo_sapiens ENSG00000164002
pongo_abelii ENSPPYG00000001487
nomascus_leucogenys ENSNLEG00000028361
theropithecus_gelada ENSTGEG00000024117
papio_anubis ENSPANG00000032341
mandrillus_leucophaeus ENSMLEG00000001570
cercocebus_atys ENSCATG00000003100
macaca_mulatta ENSMMUG00000020398
macaca_nemestrina ENSMNEG00000008813
macaca_fascicularis ENSMFAG00000008984
chlorocebus_sabaeus ENSCSAG00000000137
piliocolobus_tephrosceles ENSPTEG00000029947
rhinopithecus_roxellana ENSRROG00000003374
saimiri_boliviensis_boliviensis ENSSBOG00000009084
callithrix_jacchus ENSCJAG00000002961
prolemur_simus ENSPSMG00000012705
equus_asinus_asinus ENSEASG00005001032
equus_caballus ENSECAG00000004928
myotis_lucifugus ENSMLUG00000014184
vicugna_pacos ENSVPAG00000002037
sus_scrofa ENSSSCG00000003980
tursiops_truncatus ENSTTRG00000012942
capra_hircus ENSCHIG00000007542
ovis_aries ENSOARG00000020265
bos_taurus ENSBTAG00000000532
bos_mutus ENSBMUG00000025024
bison_bison_bison ENSBBBG00000001501
mustela_putorius_furo ENSMPUG00000014127
neovison_vison ENSNVIG00000015513
ailuropoda_melanoleuca ENSAMEG00000019795
canis_lupus_dingo ENSCAFG00020003399
canis_lupus_familiaris ENSCAFG00000025374
vulpes_vulpes ENSVVUG00000005087
panthera_tigris_altaica ENSPTIG00000006394
panthera_pardus ENSPPRG00000020696
felis_catus ENSFCAG00000005729
loxodonta_africana ENSLAFG00000011024
procavia_capensis ENSPCAG00000015326
dasypus_novemcinctus ENSDNOG00000042481
scleropages_formosus ENSSFOG00015002729
paramormyrops_kingsleyae ENSPKIG00000005414
pygocentrus_nattereri ENSPNAG00000009293
astyanax_mexicanus ENSAMXG00000039722
ictalurus_punctatus ENSIPUG00000005693
danio_rerio ENSDARG00000042727
esox_lucius ENSELUG00000007544
lepisosteus_oculatus ENSLOCG00000004581
ornithorhynchus_anatinus ENSOANG00000014715
saccharomyces_cerevisiae YBR163W
