meleagris_gallopavo ENSMGAG00000017017
gallus_gallus ENSGALG00000005839
coturnix_japonica ENSCJPG00005005682
numida_meleagris ENSNMEG00000015260
anas_platyrhynchos ENSAPLG00000007857
calidris_pugnax ENSCPUG00000005571
calidris_pygmaea ENSCPGG00000010640
taeniopygia_guttata ENSTGUG00000001746
lonchura_striata ENSLSDG00000013261
cyanistes_caeruleus ENSCCEG00000001194
parus_major ENSPMJG00000005214
zonotrichia_albicollis ENSZALG00000008489
lepidothrix_coronata ENSLCOG00000013631
manacus_vitellinus ENSMVIG00005013717
ficedula_albicollis ENSFALG00000009832
apteryx_rowi ENSARWG00000006437
dromaius_novaehollandiae ENSDNVG00000003414
crocodylus_porosus ENSCPRG00005015222
chelonoidis_abingdonii ENSCABG00000018830
anolis_carolinensis ENSACAG00000022472
pogona_vitticeps ENSPVIG00000008184
salvator_merianae ENSSMRG00000020180
sphenodon_punctatus ENSSPUG00000009010
sarcophilus_harrisii ENSSHAG00000013317
phascolarctos_cinereus ENSPCIG00000007293
latimeria_chalumnae ENSLACG00000006716
paramormyrops_kingsleyae ENSPKIG00000014297
scleropages_formosus ENSSFOG00015018425
cyprinodon_variegatus ENSCVAG00000016872
kryptolebias_marmoratus ENSKMAG00000016848
gouania_willdenowi ENSGWIG00000012595
takifugu_rubripes ENSTRUG00000013561
oryzias_latipes ENSORLG00015005159
oryzias_latipes ENSORLG00000017354
oryzias_latipes ENSORLG00020014241
oryzias_melastigma ENSOMEG00000023548
parambassis_ranga ENSPRNG00000017143
periophthalmus_magnuspinnatus ENSPMGG00000013423
scophthalmus_maximus ENSSMAG00000016993
cynoglossus_semilaevis ENSCSEG00000008983
larimichthys_crocea ENSLCRG00005002152
cottoperca_gobio ENSCGOG00000008595
amphiprion_ocellaris ENSAOCG00000016324
amphiprion_percula ENSAPEG00000012743
seriola_lalandi ENSSLDG00000011296
seriola_dumerili ENSSDUG00000008748
lates_calcarifer ENSLCAG00010015543
anabas_testudineus ENSATEG00000010618
mastacembelus_armatus ENSMAMG00000017909
astatotilapia_calliptera ENSACLG00000017567
maylandia_zebra ENSMZEG00005018451
pundamilia_nyererei ENSPNYG00000006357
oreochromis_niloticus ENSONIG00000013925
neolamprologus_brichardi ENSNBRG00000008813
amphilophus_citrinellus ENSACIG00000001080
