takifugu_rubripes ENSTRUG00000023183
pygocentrus_nattereri ENSPNAG00000025414
eptatretus_burgeri ENSEBUG00000001734
parus_major ENSPMJG00000007067
lepidothrix_coronata ENSLCOG00000009131
periophthalmus_magnuspinnatus ENSPMGG00000006276
mastacembelus_armatus ENSMAMG00000009378
kryptolebias_marmoratus ENSKMAG00000019793
paramormyrops_kingsleyae ENSPKIG00000025008
cyanistes_caeruleus ENSCCEG00000005097
cyanistes_caeruleus ENSCCEG00000020257
oryzias_latipes ENSORLG00000026733
oryzias_latipes ENSORLG00020013062
amphiprion_ocellaris ENSAOCG00000008938
amphiprion_ocellaris ENSAOCG00000008962
paramormyrops_kingsleyae ENSPKIG00000021819
eptatretus_burgeri ENSEBUG00000002181
