urocitellus_parryii ENSUPAG00010021905
ictidomys_tridecemlineatus ENSSTOG00000011844
spermophilus_dauricus ENSSDAG00000009498
marmota_marmota ENSMMMG00000016160
castor_canadensis ENSCCNG00000020608
jaculus_jaculus ENSJJAG00000022079
cavia_porcellus ENSCPOG00000031699
octodon_degus ENSODEG00000009332
chinchilla_lanigera ENSCLAG00000001709
heterocephalus_glaber ENSHGLG00000010128
heterocephalus_glaber ENSHGLG00100017707
fukomys_damarensis ENSFDAG00000008226
pan_troglodytes ENSPTRG00000011087
pan_paniscus ENSPPAG00000040059
homo_sapiens ENSG00000167378
gorilla_gorilla ENSGGOG00000009162
pongo_abelii ENSPPYG00000010066
nomascus_leucogenys ENSNLEG00000001642
theropithecus_gelada ENSTGEG00000018033
papio_anubis ENSPANG00000011862
mandrillus_leucophaeus ENSMLEG00000035628
cercocebus_atys ENSCATG00000030598
macaca_mulatta ENSMMUG00000004468
macaca_fascicularis ENSMFAG00000038648
macaca_nemestrina ENSMNEG00000035490
chlorocebus_sabaeus ENSCSAG00000003396
rhinopithecus_roxellana ENSRROG00000034068
rhinopithecus_bieti ENSRBIG00000029671
colobus_angolensis ENSCANG00000036706
piliocolobus_tephrosceles ENSPTEG00000033014
saimiri_boliviensis ENSSBOG00000027908
cebus_capucinus ENSCCAG00000027901
callithrix_jacchus ENSCJAG00000013535
aotus_nancymaae ENSANAG00000035041
carlito_syrichta ENSTSYG00000014549
prolemur_simus ENSPSMG00000011569
propithecus_coquereli ENSPCOG00000020543
microcebus_murinus ENSMICG00000033325
otolemur_garnettii ENSOGAG00000009518
capra_hircus ENSCHIG00000010068
ovis_aries ENSOARG00000008795
bos_taurus ENSBTAG00000052481
bos_indicus ENSBIXG00000002797
bos_mutus ENSBMUG00000018582
bos_indicus ENSBIXG00005020057
bison_bison ENSBBBG00000007613
tursiops_truncatus ENSTTRG00000014773
sus_scrofa ENSSSCG00000030637
equus_caballus ENSECAG00000041292
equus_asinus ENSEASG00005013543
ursus_americanus ENSUAMG00000010563
ursus_maritimus ENSUMAG00000023014
ailuropoda_melanoleuca ENSAMEG00000004297
neovison_vison ENSNVIG00000024664
mustela_putorius ENSMPUG00000006734
canis_lupus ENSCAFG00000031996
canis_lupus ENSCAFG00020013280
vulpes_vulpes ENSVVUG00000008805
panthera_pardus ENSPPRG00000010112
panthera_tigris ENSPTIG00000009463
felis_catus ENSFCAG00000032529
pteropus_vampyrus ENSPVAG00000016891
myotis_lucifugus ENSMLUG00000029811
loxodonta_africana ENSLAFG00000012701
procavia_capensis ENSPCAG00000014163
echinops_telfairi ENSETEG00000003539
dasypus_novemcinctus ENSDNOG00000010754
ochotona_princeps ENSOPRG00000013248
oryctolagus_cuniculus ENSOCUG00000005402
sorex_araneus ENSSARG00000006875
erinaceus_europaeus ENSEEUG00000002480
peromyscus_maniculatus ENSPEMG00000030272
microtus_ochrogaster ENSMOCG00000013018
cricetulus_griseus ENSCGRG00001013212
cricetulus_griseus ENSCGRG00015014309
mesocricetus_auratus ENSMAUG00000017882
mus_spicilegus ENSMSIG00000023429
mus_musculus ENSMUSG00000041037
mus_spretus MGP_SPRETEiJ_G0030432
mus_caroli MGP_CAROLIEiJ_G0029338
mus_pahari MGP_PahariEiJ_G0021189
rattus_norvegicus ENSRNOG00000046500
nannospalax_galili ENSNGAG00000015082
meriones_unguiculatus ENSMUGG00000001275
phascolarctos_cinereus ENSPCIG00000020847
vombatus_ursinus ENSVURG00010008891
