hucho_hucho ENSHHUG00000034114
esox_lucius ENSELUG00000010618
anabas_testudineus ENSATEG00000002441
betta_splendens ENSBSLG00000000282
poecilia_formosa ENSPFOG00000022381
poecilia_formosa ENSPFOG00000018953
danio_rerio ENSDARG00000023036
astyanax_mexicanus ENSAMXG00000042439
lepisosteus_oculatus ENSLOCG00000000671
lepisosteus_oculatus ENSLOCG00000000146
xenopus_tropicalis ENSXETG00000002914
xenopus_tropicalis ENSXETG00000002889
xenopus_tropicalis ENSXETG00000016660
xenopus_tropicalis ENSXETG00000017852
