apteryx_owenii ENSAOWG00000007099
apteryx_haastii ENSAHAG00000004416
apteryx_rowi ENSARWG00000012939
dromaius_novaehollandiae ENSDNVG00000007260
nothoprocta_perdicaria ENSNPEG00000005751
meleagris_gallopavo ENSMGAG00000006978
coturnix_japonica ENSCJPG00005014818
gallus_gallus ENSGALG00000034628
numida_meleagris ENSNMEG00000008851
anser_brachyrhynchus ENSABRG00000019252
anas_platyrhynchos_platyrhynchos ENSAPLG00000029505
manacus_vitellinus ENSMVIG00005003360
lepidothrix_coronata ENSLCOG00000000336
taeniopygia_guttata ENSTGUG00000008296
lonchura_striata_domestica ENSLSDG00000017137
serinus_canaria ENSSCAG00000005996
cyanistes_caeruleus ENSCCEG00000014006
parus_major ENSPMJG00000013738
ficedula_albicollis ENSFALG00000002138
junco_hyemalis ENSJHYG00000013499
zonotrichia_albicollis ENSZALG00000002242
melopsittacus_undulatus ENSMUNG00000002304
calidris_pugnax ENSCPUG00000005384
calidris_pygmaea ENSCPGG00000002054
crocodylus_porosus ENSCPRG00005014189
chelonoidis_abingdonii ENSCABG00000006335
gopherus_agassizii ENSGAGG00000000105
chrysemys_picta_bellii ENSCPBG00000000894
pelodiscus_sinensis ENSPSIG00000006498
pogona_vitticeps ENSPVIG00000019744
anolis_carolinensis ENSACAG00000009573
notechis_scutatus ENSNSUG00000004145
salvator_merianae ENSSMRG00000010024
sphenodon_punctatus ENSSPUG00000013081
phascolarctos_cinereus ENSPCIG00000016979
notamacropus_eugenii ENSMEUG00000001995
monodelphis_domestica ENSMODG00000000601
equus_asinus_asinus ENSEASG00005018062
equus_caballus ENSECAG00000001898
myotis_lucifugus ENSMLUG00000027087
canis_lupus_dingo ENSCAFG00020023080
canis_lupus_familiaris ENSCAFG00000011048
vulpes_vulpes ENSVVUG00000021997
mustela_putorius_furo ENSMPUG00000010335
neovison_vison ENSNVIG00000022321
ursus_americanus ENSUAMG00000022228
ursus_maritimus ENSUMAG00000022596
ailuropoda_melanoleuca ENSAMEG00000008532
panthera_tigris_altaica ENSPTIG00000006397
panthera_pardus ENSPPRG00000003413
felis_catus ENSFCAG00000027428
pteropus_vampyrus ENSPVAG00000009298
sorex_araneus ENSSARG00000000942
bos_mutus ENSBMUG00000013178
bos_taurus ENSBTAG00000047780
bison_bison_bison ENSBBBG00000021189
capra_hircus ENSCHIG00000024092
ovis_aries ENSOARG00000015599
tursiops_truncatus ENSTTRG00000006243
sus_scrofa ENSSSCG00000036783
vicugna_pacos ENSVPAG00000010496
erinaceus_europaeus ENSEEUG00000004100
oryctolagus_cuniculus ENSOCUG00000001605
ochotona_princeps ENSOPRG00000000766
echinops_telfairi ENSETEG00000001043
procavia_capensis ENSPCAG00000016919
loxodonta_africana ENSLAFG00000018335
pan_paniscus ENSPPAG00000029438
pan_troglodytes ENSPTRG00000016674
homo_sapiens ENSG00000164366
gorilla_gorilla ENSGGOG00000002664
pongo_abelii ENSPPYG00000015297
nomascus_leucogenys ENSNLEG00000033464
piliocolobus_tephrosceles ENSPTEG00000014591
colobus_angolensis_palliatus ENSCANG00000040165
rhinopithecus_roxellana ENSRROG00000035879
rhinopithecus_bieti ENSRBIG00000028544
mandrillus_leucophaeus ENSMLEG00000000748
cercocebus_atys ENSCATG00000034089
macaca_fascicularis ENSMFAG00000033953
macaca_mulatta ENSMMUG00000040222
macaca_nemestrina ENSMNEG00000043314
papio_anubis ENSPANG00000022717
theropithecus_gelada ENSTGEG00000000509
chlorocebus_sabaeus ENSCSAG00000017439
cebus_capucinus ENSCCAG00000022028
saimiri_boliviensis_boliviensis ENSSBOG00000031596
callithrix_jacchus ENSCJAG00000040098
aotus_nancymaae ENSANAG00000022404
carlito_syrichta ENSTSYG00000027393
propithecus_coquereli ENSPCOG00000013507
