anas_platyrhynchos_platyrhynchos ENSAPLG00000003471
anser_brachyrhynchus ENSABRG00000003466
gallus_gallus ENSGALG00000006963
coturnix_japonica ENSCJPG00005021197
numida_meleagris ENSNMEG00000003172
lepidothrix_coronata ENSLCOG00000010856
manacus_vitellinus ENSMVIG00005012958
taeniopygia_guttata ENSTGUG00000003057
lonchura_striata_domestica ENSLSDG00000003530
serinus_canaria ENSSCAG00000012862
junco_hyemalis ENSJHYG00000005272
zonotrichia_albicollis ENSZALG00000007504
ficedula_albicollis ENSFALG00000012475
cyanistes_caeruleus ENSCCEG00000017915
parus_major ENSPMJG00000016711
melopsittacus_undulatus ENSMUNG00000003446
calidris_pygmaea ENSCPGG00000014444
calidris_pugnax ENSCPUG00000010729
apteryx_haastii ENSAHAG00000006304
apteryx_owenii ENSAOWG00000014073
apteryx_rowi ENSARWG00000012994
dromaius_novaehollandiae ENSDNVG00000015004
nothoprocta_perdicaria ENSNPEG00000010297
crocodylus_porosus ENSCPRG00005018217
chrysemys_picta_bellii ENSCPBG00000010525
gopherus_agassizii ENSGAGG00000022130
pelodiscus_sinensis ENSPSIG00000007239
pogona_vitticeps ENSPVIG00000008522
anolis_carolinensis ENSACAG00000015645
notechis_scutatus ENSNSUG00000009726
salvator_merianae ENSSMRG00000003696
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018344
mus_spicilegus ENSMSIG00000016120
mus_musculus ENSMUSG00000039850
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017500
mus_pahari MGP_PahariEiJ_G0018627
rattus_norvegicus ENSRNOG00000003699
meriones_unguiculatus ENSMUGG00000009714
cricetulus_griseus_crigri ENSCGRG00000016362
cricetulus_griseus_crigri-picr ENSCGRG00015002171
cricetulus_griseus_chok1gshd ENSCGRG00001000788
mesocricetus_auratus ENSMAUG00000021480
microtus_ochrogaster ENSMOCG00000019008
peromyscus_maniculatus_bairdii ENSPEMG00000009075
nannospalax_galili ENSNGAG00000021532
jaculus_jaculus ENSJJAG00000014912
spermophilus_dauricus ENSSDAG00000013772
marmota_marmota_marmota ENSMMMG00000007185
ictidomys_tridecemlineatus ENSSTOG00000027436
heterocephalus_glaber_female ENSHGLG00000004976
fukomys_damarensis ENSFDAG00000013275
chinchilla_lanigera ENSCLAG00000006305
octodon_degus ENSODEG00000009857
cavia_porcellus ENSCPOG00000005529
cavia_aperea ENSCAPG00000011313
castor_canadensis ENSCCNG00000010627
saimiri_boliviensis_boliviensis ENSSBOG00000020840
cebus_capucinus ENSCCAG00000035297
callithrix_jacchus ENSCJAG00000003329
aotus_nancymaae ENSANAG00000029466
homo_sapiens ENSG00000173818
gorilla_gorilla ENSGGOG00000010209
pan_troglodytes ENSPTRG00000009745
pan_paniscus ENSPPAG00000034689
pongo_abelii ENSPPYG00000008721
nomascus_leucogenys ENSNLEG00000015754
macaca_mulatta ENSMMUG00000001285
macaca_fascicularis ENSMFAG00000044601
macaca_nemestrina ENSMNEG00000020009
papio_anubis ENSPANG00000019621
theropithecus_gelada ENSTGEG00000007910
cercocebus_atys ENSCATG00000042834
mandrillus_leucophaeus ENSMLEG00000032858
chlorocebus_sabaeus ENSCSAG00000002315
colobus_angolensis_palliatus ENSCANG00000020058
piliocolobus_tephrosceles ENSPTEG00000033086
rhinopithecus_roxellana ENSRROG00000037314
rhinopithecus_bieti ENSRBIG00000042566
propithecus_coquereli ENSPCOG00000027446
prolemur_simus ENSPSMG00000005184
microcebus_murinus ENSMICG00000037907
otolemur_garnettii ENSOGAG00000027594
carlito_syrichta ENSTSYG00000005646
oryctolagus_cuniculus ENSOCUG00000024779
ochotona_princeps ENSOPRG00000013691
ursus_americanus ENSUAMG00000027555
ursus_maritimus ENSUMAG00000015201
ailuropoda_melanoleuca ENSAMEG00000015304
neovison_vison ENSNVIG00000015415
mustela_putorius_furo ENSMPUG00000012082
canis_lupus_familiaris ENSCAFG00000005684
canis_lupus_dingo ENSCAFG00020008671
vulpes_vulpes ENSVVUG00000018497
felis_catus ENSFCAG00000031769
panthera_pardus ENSPPRG00000011602
equus_asinus_asinus ENSEASG00005005482
equus_caballus ENSECAG00000012208
ovis_aries ENSOARG00000000766
capra_hircus ENSCHIG00000021238
bos_mutus ENSBMUG00000017644
bos_taurus ENSBTAG00000015339
bison_bison_bison ENSBBBG00000017557
tursiops_truncatus ENSTTRG00000000545
sus_scrofa ENSSSCG00000030277
pteropus_vampyrus ENSPVAG00000014077
erinaceus_europaeus ENSEEUG00000007625
loxodonta_africana ENSLAFG00000026661
procavia_capensis ENSPCAG00000011432
echinops_telfairi ENSETEG00000014048
notamacropus_eugenii ENSMEUG00000010606
phascolarctos_cinereus ENSPCIG00000029110
sarcophilus_harrisii ENSSHAG00000008416
monodelphis_domestica ENSMODG00000002372
xenopus_tropicalis ENSXETG00000019623
latimeria_chalumnae ENSLACG00000016911
paramormyrops_kingsleyae ENSPKIG00000006685
scleropages_formosus ENSSFOG00015004419
xiphophorus_maculatus ENSXMAG00000017948
xiphophorus_couchianus ENSXCOG00000011592
gambusia_affinis ENSGAFG00000007756
poecilia_formosa ENSPFOG00000016616
poecilia_mexicana ENSPMEG00000002323
poecilia_reticulata ENSPREG00000002988
cyprinodon_variegatus ENSCVAG00000007166
kryptolebias_marmoratus ENSKMAG00000011618
oryzias_melastigma ENSOMEG00000006436
oryzias_latipes_asm223469v1 ENSORLG00015014346
gasterosteus_aculeatus ENSGACG00000018198
cynoglossus_semilaevis ENSCSEG00000015214
mola_mola ENSMMOG00000006981
amphiprion_ocellaris ENSAOCG00000018770
acanthochromis_polyacanthus ENSAPOG00000007037
stegastes_partitus ENSSPAG00000014755
seriola_dumerili ENSSDUG00000003581
seriola_lalandi_dorsalis ENSSLDG00000001821
scophthalmus_maximus ENSSMAG00000011539
labrus_bergylta ENSLBEG00000013183
mastacembelus_armatus ENSMAMG00000005788
monopterus_albus ENSMALG00000006274
anabas_testudineus ENSATEG00000023498
haplochromis_burtoni ENSHBUG00000001543
maylandia_zebra ENSMZEG00005011897
astatotilapia_calliptera ENSACLG00000010335
oreochromis_niloticus ENSONIG00000003328
amphilophus_citrinellus ENSACIG00000020171
fundulus_heteroclitus ENSFHEG00000003086
periophthalmus_magnuspinnatus ENSPMGG00000010309
hippocampus_comes ENSHCOG00000013813
tetraodon_nigroviridis ENSTNIG00000006755
tetraodon_nigroviridis ENSTNIG00000006743
tetraodon_nigroviridis ENSTNIG00000006611
takifugu_rubripes ENSTRUG00000004474
gadus_morhua ENSGMOG00000017580
esox_lucius ENSELUG00000008464
pygocentrus_nattereri ENSPNAG00000028276
astyanax_mexicanus ENSAMXG00000015972
ictalurus_punctatus ENSIPUG00000022104
lepisosteus_oculatus ENSLOCG00000013414
eptatretus_burgeri ENSEBUG00000011943
ciona_savignyi ENSCSAVG00000010293
