microcebus_murinus ENSMICG00000009073
propithecus_coquereli ENSPCOG00000017577
otolemur_garnettii ENSOGAG00000002659
pan_troglodytes ENSPTRG00000018140
pan_paniscus ENSPPAG00000042908
homo_sapiens ENSG00000124615
gorilla_gorilla ENSGGOG00000008943
pongo_abelii ENSPPYG00000016580
nomascus_leucogenys ENSNLEG00000000514
pan_paniscus ENSPPAG00000030753
pan_troglodytes ENSPTRG00000051824
gorilla_gorilla ENSGGOG00000026977
nomascus_leucogenys ENSNLEG00000033251
papio_anubis ENSPANG00000017007
theropithecus_gelada ENSTGEG00000029578
mandrillus_leucophaeus ENSMLEG00000037906
cercocebus_atys ENSCATG00000002190
macaca_mulatta ENSMMUG00000021315
macaca_nemestrina ENSMNEG00000038496
macaca_fascicularis ENSMFAG00000030647
chlorocebus_sabaeus ENSCSAG00000011128
piliocolobus_tephrosceles ENSPTEG00000034555
colobus_angolensis_palliatus ENSCANG00000039527
rhinopithecus_roxellana ENSRROG00000029081
rhinopithecus_bieti ENSRBIG00000033997
saimiri_boliviensis_boliviensis ENSSBOG00000021476
callithrix_jacchus ENSCJAG00000010427
cebus_capucinus ENSCCAG00000017917
aotus_nancymaae ENSANAG00000022636
tupaia_belangeri ENSTBEG00000010227
myotis_lucifugus ENSMLUG00000010761
mustela_putorius_furo ENSMPUG00000000581
choloepus_hoffmanni ENSCHOG00000012783
dasypus_novemcinctus ENSDNOG00000002399
loxodonta_africana ENSLAFG00000008314
mus_spicilegus ENSMSIG00000031448
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022643
mus_musculus ENSMUSG00000064120
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021731
mus_pahari MGP_PahariEiJ_G0020720
rattus_norvegicus ENSRNOG00000011784
meriones_unguiculatus ENSMUGG00000019625
cricetulus_griseus_chok1gshd ENSCGRG00001021044
cricetulus_griseus_crigri-picr ENSCGRG00015024960
cricetulus_griseus_crigri ENSCGRG00000004077
mesocricetus_auratus ENSMAUG00000009643
peromyscus_maniculatus_bairdii ENSPEMG00000023108
microtus_ochrogaster ENSMOCG00000005801
nannospalax_galili ENSNGAG00000003061
jaculus_jaculus ENSJJAG00000008645
castor_canadensis ENSCCNG00000025840
dipodomys_ordii ENSDORG00000007352
chinchilla_lanigera ENSCLAG00000009753
octodon_degus ENSODEG00000016567
heterocephalus_glaber_female ENSHGLG00000017153
heterocephalus_glaber_male ENSHGLG00100010377
fukomys_damarensis ENSFDAG00000020773
cavia_aperea ENSCAPG00000013667
cavia_porcellus ENSCPOG00000008257
urocitellus_parryii ENSUPAG00010016933
ictidomys_tridecemlineatus ENSSTOG00000001928
