vombatus_ursinus ENSVURG00010008167
notamacropus_eugenii ENSMEUG00000000280
monodelphis_domestica ENSMODG00000003635
sarcophilus_harrisii ENSSHAG00000001381
neovison_vison ENSNVIG00000008030
ursus_maritimus ENSUMAG00000017234
canis_lupus ENSCAFG00020022429
panthera_pardus ENSPPRG00000023198
panthera_tigris ENSPTIG00000013084
felis_catus ENSFCAG00000033736
bos_indicus ENSBIXG00005001334
bos_indicus ENSBIXG00000023288
bos_mutus ENSBMUG00000006767
bos_taurus ENSBTAG00000010535
bison_bison ENSBBBG00000022829
ovis_aries ENSOARG00000006896
capra_hircus ENSCHIG00000026190
tursiops_truncatus ENSTTRG00000000120
sus_scrofa ENSSSCG00000005454
vicugna_pacos ENSVPAG00000010302
equus_caballus ENSECAG00000021607
myotis_lucifugus ENSMLUG00000014115
castor_canadensis ENSCCNG00000004815
dipodomys_ordii ENSDORG00000012430
heterocephalus_glaber ENSHGLG00100001827
heterocephalus_glaber ENSHGLG00000011464
fukomys_damarensis ENSFDAG00000015243
chinchilla_lanigera ENSCLAG00000011282
octodon_degus ENSODEG00000005307
mus_spretus MGP_SPRETEiJ_G0027014
mus_musculus ENSMUSG00000038709
mus_spicilegus ENSMSIG00000018261
mus_pahari MGP_PahariEiJ_G0028387
rattus_norvegicus ENSRNOG00000029073
meriones_unguiculatus ENSMUGG00000011307
cricetulus_griseus ENSCGRG00000009039
cricetulus_griseus ENSCGRG00001010737
cricetulus_griseus ENSCGRG00015027421
mesocricetus_auratus ENSMAUG00000007791
microtus_ochrogaster ENSMOCG00000009554
peromyscus_maniculatus ENSPEMG00000021665
nannospalax_galili ENSNGAG00000006645
jaculus_jaculus ENSJJAG00000000349
marmota_marmota ENSMMMG00000002813
urocitellus_parryii ENSUPAG00010008999
ochotona_princeps ENSOPRG00000013819
oryctolagus_cuniculus ENSOCUG00000029370
pan_paniscus ENSPPAG00000043556
pan_troglodytes ENSPTRG00000029162
gorilla_gorilla ENSGGOG00000027079
nomascus_leucogenys ENSNLEG00000033326
rhinopithecus_roxellana ENSRROG00000034846
rhinopithecus_bieti ENSRBIG00000033046
piliocolobus_tephrosceles ENSPTEG00000032772
colobus_angolensis ENSCANG00000037295
macaca_nemestrina ENSMNEG00000037908
macaca_fascicularis ENSMFAG00000031905
cercocebus_atys ENSCATG00000033558
papio_anubis ENSPANG00000025740
theropithecus_gelada ENSTGEG00000028874
mandrillus_leucophaeus ENSMLEG00000030006
chlorocebus_sabaeus ENSCSAG00000011773
macaca_mulatta ENSMMUG00000010325
pongo_abelii ENSPPYG00000019492
homo_sapiens ENSG00000204193
saimiri_boliviensis ENSSBOG00000034687
cebus_capucinus ENSCCAG00000012847
callithrix_jacchus ENSCJAG00000017329
aotus_nancymaae ENSANAG00000031088
carlito_syrichta ENSTSYG00000002438
microcebus_murinus ENSMICG00000002131
prolemur_simus ENSPSMG00000019254
tupaia_belangeri ENSTBEG00000005844
equus_asinus ENSEASG00005023075
choloepus_hoffmanni ENSCHOG00000004855
dasypus_novemcinctus ENSDNOG00000033933
procavia_capensis ENSPCAG00000007840
echinops_telfairi ENSETEG00000002026
loxodonta_africana ENSLAFG00000028348
cavia_aperea ENSCAPG00000014345
anolis_carolinensis ENSACAG00000029504
salvator_merianae ENSSMRG00000020744
gopherus_agassizii ENSGAGG00000000135
