stegastes_partitus ENSSPAG00000008627
acanthochromis_polyacanthus ENSAPOG00000018523
oryzias_latipes_asm223469v1 ENSORLG00015006374
oryzias_latipes ENSORLG00000025197
oryzias_latipes ENSORLG00020018501
oryzias_melastigma ENSOMEG00000021822
oryzias_melastigma ENSOMEG00000002719
oryzias_latipes ENSORLG00020014814
oryzias_latipes_asm223469v1 ENSORLG00015012086
oryzias_latipes ENSORLG00000022370
oryzias_latipes_asm223469v1 ENSORLG00015013082
oryzias_latipes ENSORLG00000022779
oryzias_latipes ENSORLG00000028720
oryzias_latipes_asm223469v1 ENSORLG00015004971
oryzias_latipes ENSORLG00000022485
oryzias_melastigma ENSOMEG00000015657
oryzias_latipes ENSORLG00000021891
oryzias_latipes_asm223469v1 ENSORLG00015020467
oryzias_latipes ENSORLG00020020754
oryzias_latipes ENSORLG00000021851
oryzias_latipes_asm223469v1 ENSORLG00015018444
oryzias_latipes ENSORLG00000030119
oryzias_latipes_asm223469v1 ENSORLG00015018273
oryzias_latipes ENSORLG00020003722
oryzias_melastigma ENSOMEG00000001318
seriola_lalandi_dorsalis ENSSLDG00000003830
