papio_anubis ENSPANG00000012097
mandrillus_leucophaeus ENSMLEG00000039804
theropithecus_gelada ENSTGEG00000013819
chlorocebus_sabaeus ENSCSAG00000001680
macaca_mulatta ENSMMUG00000015530
macaca_nemestrina ENSMNEG00000012763
macaca_fascicularis ENSMFAG00000036569
rhinopithecus_bieti ENSRBIG00000035033
rhinopithecus_roxellana ENSRROG00000034142
colobus_angolensis_palliatus ENSCANG00000013249
pan_paniscus ENSPPAG00000034903
pan_troglodytes ENSPTRG00000022571
homo_sapiens ENSG00000197487
gorilla_gorilla ENSGGOG00000014081
pongo_abelii ENSPPYG00000010441
nomascus_leucogenys ENSNLEG00000010775
callithrix_jacchus ENSCJAG00000020271
saimiri_boliviensis_boliviensis ENSSBOG00000014133
aotus_nancymaae ENSANAG00000028744
carlito_syrichta ENSTSYG00000014671
prolemur_simus ENSPSMG00000024936
propithecus_coquereli ENSPCOG00000015045
mus_spicilegus ENSMSIG00000000249
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030216
mus_musculus ENSMUSG00000034660
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029155
rattus_norvegicus ENSRNOG00000022129
meriones_unguiculatus ENSMUGG00000004466
cricetulus_griseus_chok1gshd ENSCGRG00001023012
cricetulus_griseus_crigri-picr ENSCGRG00015005159
cricetulus_griseus_crigri ENSCGRG00000002424
mesocricetus_auratus ENSMAUG00000016309
microtus_ochrogaster ENSMOCG00000013003
peromyscus_maniculatus_bairdii ENSPEMG00000012588
nannospalax_galili ENSNGAG00000010881
mus_pahari MGP_PahariEiJ_G0021024
castor_canadensis ENSCCNG00000005738
ursus_maritimus ENSUMAG00000024774
ursus_americanus ENSUAMG00000027949
ailuropoda_melanoleuca ENSAMEG00000009545
mustela_putorius_furo ENSMPUG00000006705
neovison_vison ENSNVIG00000012760
canis_lupus_dingo ENSCAFG00020015163
vulpes_vulpes ENSVVUG00000006627
canis_lupus_familiaris ENSCAFG00000029589
panthera_pardus ENSPPRG00000010306
panthera_tigris_altaica ENSPTIG00000015190
felis_catus ENSFCAG00000040438
bos_mutus ENSBMUG00000019873
bos_taurus ENSBTAG00000055190
ovis_aries ENSOARG00000003248
sus_scrofa ENSSSCG00000003318
equus_asinus_asinus ENSEASG00005020482
equus_caballus ENSECAG00000039466
choloepus_hoffmanni ENSCHOG00000012571
