stegastes_partitus ENSSPAG00000019393
cynoglossus_semilaevis ENSCSEG00000020648
paramormyrops_kingsleyae ENSPKIG00000015102
anas_platyrhynchos ENSAPLG00000027129
chelonoidis_abingdonii ENSCABG00000018135
amphiprion_ocellaris ENSAOCG00000020106
amphiprion_percula ENSAPEG00000000075
acanthochromis_polyacanthus ENSAPOG00000018256
parambassis_ranga ENSPRNG00000004276
poecilia_formosa ENSPFOG00000009284
poecilia_latipinna ENSPLAG00000011175
poecilia_mexicana ENSPMEG00000007932
poecilia_reticulata ENSPREG00000009605
gambusia_affinis ENSGAFG00000016549
xiphophorus_couchianus ENSXCOG00000001357
xiphophorus_maculatus ENSXMAG00000023732
fundulus_heteroclitus ENSFHEG00000019668
cyprinodon_variegatus ENSCVAG00000013878
larimichthys_crocea ENSLCRG00005003890
scophthalmus_maximus ENSSMAG00000004133
mastacembelus_armatus ENSMAMG00000017327
anabas_testudineus ENSATEG00000022531
cottoperca_gobio ENSCGOG00000006701
seriola_lalandi ENSSLDG00000009438
seriola_dumerili ENSSDUG00000002580
lates_calcarifer ENSLCAG00010004697
labrus_bergylta ENSLBEG00000026857
kryptolebias_marmoratus ENSKMAG00000011905
oryzias_latipes ENSORLG00015010257
oryzias_latipes ENSORLG00000018331
oryzias_melastigma ENSOMEG00000017467
cynoglossus_semilaevis ENSCSEG00000007383
astatotilapia_calliptera ENSACLG00000001775
maylandia_zebra ENSMZEG00005017063
pundamilia_nyererei ENSPNYG00000002252
haplochromis_burtoni ENSHBUG00000023035
oreochromis_niloticus ENSONIG00000015072
neolamprologus_brichardi ENSNBRG00000012893
amphilophus_citrinellus ENSACIG00000003092
monopterus_albus ENSMALG00000003050
hippocampus_comes ENSHCOG00000005652
takifugu_rubripes ENSTRUG00000020792
gadus_morhua ENSGMOG00000004096
clupea_harengus ENSCHAG00000002433
denticeps_clupeoides ENSDCDG00000034506
gouania_willdenowi ENSGWIG00000006175
periophthalmus_magnuspinnatus ENSPMGG00000017927
hucho_hucho ENSHHUG00000018611
esox_lucius ENSELUG00000002999
hucho_hucho ENSHHUG00000016698
electrophorus_electricus ENSEEEG00000022658
ictalurus_punctatus ENSIPUG00000021401
astyanax_mexicanus ENSAMXG00005013524
astyanax_mexicanus ENSAMXG00000003155
pygocentrus_nattereri ENSPNAG00000014863
danio_rerio ENSDARG00000041450
scleropages_formosus ENSSFOG00015024042
paramormyrops_kingsleyae ENSPKIG00000007606
lepisosteus_oculatus ENSLOCG00000013835
gadus_morhua ENSGMOG00000008355
ornithorhynchus_anatinus ENSOANG00000002201
xenopus_tropicalis ENSXETG00000010011
zonotrichia_albicollis ENSZALG00000005985
junco_hyemalis ENSJHYG00000013570
ficedula_albicollis ENSFALG00000010052
lonchura_striata ENSLSDG00000011642
taeniopygia_guttata ENSTGUG00000009279
serinus_canaria ENSSCAG00000010226
parus_major ENSPMJG00000009921
lepidothrix_coronata ENSLCOG00000004856
manacus_vitellinus ENSMVIG00005010149
pogona_vitticeps ENSPVIG00000012910
anolis_carolinensis ENSACAG00000004479
notechis_scutatus ENSNSUG00000003908
salvator_merianae ENSSMRG00000021588
chelonoidis_abingdonii ENSCABG00000016119
gopherus_agassizii ENSGAGG00000014814
chrysemys_picta ENSCPBG00000014614
pelodiscus_sinensis ENSPSIG00000011930
crocodylus_porosus ENSCPRG00005000532
sphenodon_punctatus ENSSPUG00000013698
calidris_pygmaea ENSCPGG00000006252
calidris_pugnax ENSCPUG00000017242
dromaius_novaehollandiae ENSDNVG00000010960
apteryx_rowi ENSARWG00000004250
apteryx_haastii ENSAHAG00000001473
apteryx_owenii ENSAOWG00000016549
nothoprocta_perdicaria ENSNPEG00000008444
melopsittacus_undulatus ENSMUNG00000008892
meleagris_gallopavo ENSMGAG00000009797
coturnix_japonica ENSCJPG00005020908
gallus_gallus ENSGALG00000007615
numida_meleagris ENSNMEG00000023239
anas_platyrhynchos ENSAPLG00000014962
vombatus_ursinus ENSVURG00010017156
sarcophilus_harrisii ENSSHAG00000006622
notamacropus_eugenii ENSMEUG00000005937
