heterocephalus_glaber_female ENSHGLG00000011530
heterocephalus_glaber_male ENSHGLG00100013520
chinchilla_lanigera ENSCLAG00000007388
cavia_porcellus ENSCPOG00000039527
cavia_aperea ENSCAPG00000010655
octodon_degus ENSODEG00000000983
urocitellus_parryii ENSUPAG00010000699
marmota_marmota_marmota ENSMMMG00000007481
spermophilus_dauricus ENSSDAG00000004524
ictidomys_tridecemlineatus ENSSTOG00000023501
castor_canadensis ENSCCNG00000024264
dipodomys_ordii ENSDORG00000028921
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017309
mus_spicilegus ENSMSIG00000021112
mus_musculus ENSMUSG00000069855
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016474
mus_pahari MGP_PahariEiJ_G0017604
rattus_norvegicus ENSRNOG00000038055
meriones_unguiculatus ENSMUGG00000017972
cricetulus_griseus_chok1gshd ENSCGRG00001001950
cricetulus_griseus_crigri ENSCGRG00000013779
cricetulus_griseus_crigri-picr ENSCGRG00015015791
mesocricetus_auratus ENSMAUG00000008764
peromyscus_maniculatus_bairdii ENSPEMG00000001342
microtus_ochrogaster ENSMOCG00000016547
jaculus_jaculus ENSJJAG00000016152
oryctolagus_cuniculus ENSOCUG00000026087
otolemur_garnettii ENSOGAG00000027886
prolemur_simus ENSPSMG00000023626
canis_lupus_dingo ENSCAFG00020021292
canis_lupus_dingo ENSCAFG00020021298
vulpes_vulpes ENSVVUG00000030041
ursus_americanus ENSUAMG00000021177
ursus_maritimus ENSUMAG00000006266
ailuropoda_melanoleuca ENSAMEG00000004261
neovison_vison ENSNVIG00000015000
neovison_vison ENSNVIG00000014994
mustela_putorius_furo ENSMPUG00000000055
panthera_pardus ENSPPRG00000001824
panthera_tigris_altaica ENSPTIG00000013235
felis_catus ENSFCAG00000025622
sus_scrofa ENSSSCG00000018046
equus_caballus ENSECAG00000012369
equus_asinus_asinus ENSEASG00005017591
loxodonta_africana ENSLAFG00000028948
monodelphis_domestica ENSMODG00000011039
ornithorhynchus_anatinus ENSOANG00000012713
dromaius_novaehollandiae ENSDNVG00000002962
nothoprocta_perdicaria ENSNPEG00000010839
apteryx_owenii ENSAOWG00000016936
apteryx_rowi ENSARWG00000015525
apteryx_haastii ENSAHAG00000005623
manacus_vitellinus ENSMVIG00005014098
lepidothrix_coronata ENSLCOG00000009325
taeniopygia_guttata ENSTGUG00000014613
taeniopygia_guttata ENSTGUG00000007210
lonchura_striata_domestica ENSLSDG00000009164
serinus_canaria ENSSCAG00000010527
junco_hyemalis ENSJHYG00000002879
zonotrichia_albicollis ENSZALG00000015106
ficedula_albicollis ENSFALG00000005825
cyanistes_caeruleus ENSCCEG00000013925
parus_major ENSPMJG00000019797
melopsittacus_undulatus ENSMUNG00000002284
calidris_pygmaea ENSCPGG00000007771
calidris_pugnax ENSCPUG00000019806
anas_platyrhynchos_platyrhynchos ENSAPLG00000000857
anser_brachyrhynchus ENSABRG00000011402
gallus_gallus ENSGALG00000037828
coturnix_japonica ENSCJPG00005016489
meleagris_gallopavo ENSMGAG00000006935
numida_meleagris ENSNMEG00000003109
crocodylus_porosus ENSCPRG00005012637
chelonoidis_abingdonii ENSCABG00000022422
gopherus_agassizii ENSGAGG00000008042
chrysemys_picta_bellii ENSCPBG00000015800
pelodiscus_sinensis ENSPSIG00000014654
chrysemys_picta_bellii ENSCPBG00000015799
pogona_vitticeps ENSPVIG00000010575
anolis_carolinensis ENSACAG00000015885
notechis_scutatus ENSNSUG00000011413
salvator_merianae ENSSMRG00000002141
sphenodon_punctatus ENSSPUG00000008850
xenopus_tropicalis ENSXETG00000033045
latimeria_chalumnae ENSLACG00000002794
latimeria_chalumnae ENSLACG00000001675
