chinchilla_lanigera ENSCLAG00000014861
cavia_porcellus ENSCPOG00000033649
heterocephalus_glaber_male ENSHGLG00100004196
heterocephalus_glaber_female ENSHGLG00000005375
spermophilus_dauricus ENSSDAG00000020883
urocitellus_parryii ENSUPAG00010003966
marmota_marmota_marmota ENSMMMG00000021681
ictidomys_tridecemlineatus ENSSTOG00000032930
mus_musculus ENSMUSG00000050241
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029979
mus_spicilegus ENSMSIG00000030104
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028935
mus_pahari MGP_PahariEiJ_G0022698
rattus_norvegicus ENSRNOG00000058714
meriones_unguiculatus ENSMUGG00000011437
cricetulus_griseus_crigri-picr ENSCGRG00015025534
cricetulus_griseus_chok1gshd ENSCGRG00001021934
cricetulus_griseus_crigri ENSCGRG00000007497
mesocricetus_auratus ENSMAUG00000008490
microtus_ochrogaster ENSMOCG00000014157
peromyscus_maniculatus_bairdii ENSPEMG00000000709
nannospalax_galili ENSNGAG00000015692
oryctolagus_cuniculus ENSOCUG00000026074
capra_hircus ENSCHIG00000007401
ovis_aries ENSOARG00000021005
bos_mutus ENSBMUG00000009248
bos_taurus ENSBTAG00000030426
bison_bison_bison ENSBBBG00000023180
sus_scrofa ENSSSCG00000026217
equus_caballus ENSECAG00000016880
equus_asinus_asinus ENSEASG00005014793
