maylandia_zebra ENSMZEG00005015442
pundamilia_nyererei ENSPNYG00000021308
amphilophus_citrinellus ENSACIG00000009142
acanthochromis_polyacanthus ENSAPOG00000000992
mastacembelus_armatus ENSMAMG00000011618
mola_mola ENSMMOG00000002582
cynoglossus_semilaevis ENSCSEG00000014907
xiphophorus_couchianus ENSXCOG00000007240
xiphophorus_maculatus ENSXMAG00000018939
poecilia_latipinna ENSPLAG00000017433
fundulus_heteroclitus ENSFHEG00000009503
kryptolebias_marmoratus ENSKMAG00000020192
gasterosteus_aculeatus ENSGACG00000012815
seriola_dumerili ENSSDUG00000000560
scleropages_formosus ENSSFOG00015020633
pogona_vitticeps ENSPVIG00000016878
anolis_carolinensis ENSACAG00000013461
sphenodon_punctatus ENSSPUG00000008439
calidris_pygmaea ENSCPGG00000012142
calidris_pugnax ENSCPUG00000011576
melopsittacus_undulatus ENSMUNG00000000859
taeniopygia_guttata ENSTGUG00000002432
lonchura_striata_domestica ENSLSDG00000017474
serinus_canaria ENSSCAG00000013611
junco_hyemalis ENSJHYG00000002714
ficedula_albicollis ENSFALG00000010081
manacus_vitellinus ENSMVIG00005002532
lepidothrix_coronata ENSLCOG00000005351
gallus_gallus ENSGALG00000042443
meleagris_gallopavo ENSMGAG00000010005
apteryx_haastii ENSAHAG00000009612
apteryx_owenii ENSAOWG00000018273
apteryx_rowi ENSARWG00000014736
dromaius_novaehollandiae ENSDNVG00000016244
nothoprocta_perdicaria ENSNPEG00000013196
crocodylus_porosus ENSCPRG00005014664
chelonoidis_abingdonii ENSCABG00000000195
gopherus_agassizii ENSGAGG00000010481
chrysemys_picta_bellii ENSCPBG00000024323
latimeria_chalumnae ENSLACG00000008133
