poecilia_reticulata ENSPREG00000001324
poecilia_formosa ENSPFOG00000015475
gambusia_affinis ENSGAFG00000015184
xiphophorus_maculatus ENSXMAG00000028702
fundulus_heteroclitus ENSFHEG00000013731
oryzias_melastigma ENSOMEG00000015333
maylandia_zebra ENSMZEG00005011019
astatotilapia_calliptera ENSACLG00000012828
haplochromis_burtoni ENSHBUG00000013054
oreochromis_niloticus ENSONIG00000003448
amphiprion_ocellaris ENSAOCG00000018057
larimichthys_crocea ENSLCRG00005008692
labrus_bergylta ENSLBEG00000026315
cottoperca_gobio ENSCGOG00000002898
lates_calcarifer ENSLCAG00010011883
lates_calcarifer ENSLCAG00010017491
seriola_dumerili ENSSDUG00000019589
maylandia_zebra ENSMZEG00005002621
astatotilapia_calliptera ENSACLG00000013381
haplochromis_burtoni ENSHBUG00000010282
poecilia_formosa ENSPFOG00000023270
astyanax_mexicanus ENSAMXG00005023532
astyanax_mexicanus ENSAMXG00000037973
paramormyrops_kingsleyae ENSPKIG00000008221
scleropages_formosus ENSSFOG00015000432
lepisosteus_oculatus ENSLOCG00000007932
