spermophilus_dauricus ENSSDAG00000018759
marmota_marmota_marmota ENSMMMG00000015463
ictidomys_tridecemlineatus ENSSTOG00000013923
pan_paniscus ENSPPAG00000007658
pan_troglodytes ENSPTRG00000001202
gorilla_gorilla ENSGGOG00000005412
saimiri_boliviensis_boliviensis ENSSBOG00000034418
dipodomys_ordii ENSDORG00000004224
panthera_pardus ENSPPRG00000008264
panthera_pardus ENSPPRG00000008275
felis_catus ENSFCAG00000039250
canis_lupus_dingo ENSCAFG00020019946
marmota_marmota_marmota ENSMMMG00000001440
melopsittacus_undulatus ENSMUNG00000008874
pundamilia_nyererei ENSPNYG00000010475
