mastacembelus_armatus ENSMAMG00000011147
anabas_testudineus ENSATEG00000004785
seriola_lalandi_dorsalis ENSSLDG00000012037
haplochromis_burtoni ENSHBUG00000007886
neolamprologus_brichardi ENSNBRG00000003533
oreochromis_niloticus ENSONIG00000008692
amphilophus_citrinellus ENSACIG00000002302
fundulus_heteroclitus ENSFHEG00000008525
amphiprion_percula ENSAPEG00000023557
stegastes_partitus ENSSPAG00000013840
scleropages_formosus ENSSFOG00015021127
anser_brachyrhynchus ENSABRG00000006786
apteryx_rowi ENSARWG00000016698
