apteryx_rowi ENSARWG00000001629
apteryx_owenii ENSAOWG00000011842
apteryx_haastii ENSAHAG00000002194
dromaius_novaehollandiae ENSDNVG00000006883
nothoprocta_perdicaria ENSNPEG00000000707
anas_platyrhynchos_platyrhynchos ENSAPLG00000007293
anser_brachyrhynchus ENSABRG00000016590
meleagris_gallopavo ENSMGAG00000017273
meleagris_gallopavo ENSMGAG00000002381
gallus_gallus ENSGALG00000009573
coturnix_japonica ENSCJPG00005000758
numida_meleagris ENSNMEG00000021807
junco_hyemalis ENSJHYG00000011054
zonotrichia_albicollis ENSZALG00000011054
serinus_canaria ENSSCAG00000010482
taeniopygia_guttata ENSTGUG00000006030
lonchura_striata_domestica ENSLSDG00000010004
parus_major ENSPMJG00000000377
cyanistes_caeruleus ENSCCEG00000013365
ficedula_albicollis ENSFALG00000011340
manacus_vitellinus ENSMVIG00005014081
manacus_vitellinus ENSMVIG00005003355
lepidothrix_coronata ENSLCOG00000014418
calidris_pygmaea ENSCPGG00000006743
calidris_pugnax ENSCPUG00000006146
melopsittacus_undulatus ENSMUNG00000015103
crocodylus_porosus ENSCPRG00005010935
salvator_merianae ENSSMRG00000002887
pogona_vitticeps ENSPVIG00000006596
chrysemys_picta_bellii ENSCPBG00000012707
chelonoidis_abingdonii ENSCABG00000014657
pelodiscus_sinensis ENSPSIG00000004447
sphenodon_punctatus ENSSPUG00000019256
notamacropus_eugenii ENSMEUG00000005070
phascolarctos_cinereus ENSPCIG00000024265
sarcophilus_harrisii ENSSHAG00000016767
monodelphis_domestica ENSMODG00000002499
neovison_vison ENSNVIG00000011522
mustela_putorius_furo ENSMPUG00000010996
ursus_maritimus ENSUMAG00000020169
ursus_americanus ENSUAMG00000001217
ailuropoda_melanoleuca ENSAMEG00000013452
canis_lupus_familiaris ENSCAFG00000008973
canis_lupus_dingo ENSCAFG00020003335
vulpes_vulpes ENSVVUG00000023918
panthera_tigris_altaica ENSPTIG00000003362
panthera_pardus ENSPPRG00000006171
felis_catus ENSFCAG00000005123
equus_asinus_asinus ENSEASG00005021891
equus_caballus ENSECAG00000024897
myotis_lucifugus ENSMLUG00000014591
pteropus_vampyrus ENSPVAG00000016442
sorex_araneus ENSSARG00000013006
erinaceus_europaeus ENSEEUG00000011258
pan_paniscus ENSPPAG00000031022
pan_troglodytes ENSPTRG00000016580
gorilla_gorilla ENSGGOG00000007800
homo_sapiens ENSG00000109511
pongo_abelii ENSPPYG00000015183
nomascus_leucogenys ENSNLEG00000006535
rhinopithecus_bieti ENSRBIG00000033701
rhinopithecus_roxellana ENSRROG00000040294
colobus_angolensis_palliatus ENSCANG00000037523
piliocolobus_tephrosceles ENSPTEG00000001128
macaca_mulatta ENSMMUG00000001879
macaca_nemestrina ENSMNEG00000009695
macaca_fascicularis ENSMFAG00000002951
cercocebus_atys ENSCATG00000041057
mandrillus_leucophaeus ENSMLEG00000041410
papio_anubis ENSPANG00000009896
theropithecus_gelada ENSTGEG00000020444
chlorocebus_sabaeus ENSCSAG00000003159
saimiri_boliviensis_boliviensis ENSSBOG00000019170
callithrix_jacchus ENSCJAG00000004702
cebus_capucinus ENSCCAG00000030096
aotus_nancymaae ENSANAG00000032501
carlito_syrichta ENSTSYG00000002807
tupaia_belangeri ENSTBEG00000000663
castor_canadensis ENSCCNG00000015510
dipodomys_ordii ENSDORG00000016695
cavia_porcellus ENSCPOG00000008321
cavia_aperea ENSCAPG00000004143
octodon_degus ENSODEG00000012255
chinchilla_lanigera ENSCLAG00000013504
heterocephalus_glaber_female ENSHGLG00000001262
heterocephalus_glaber_male ENSHGLG00100009352
fukomys_damarensis ENSFDAG00000018022
peromyscus_maniculatus_bairdii ENSPEMG00000020433
microtus_ochrogaster ENSMOCG00000016122
cricetulus_griseus_chok1gshd ENSCGRG00001020615
cricetulus_griseus_crigri ENSCGRG00000003676
cricetulus_griseus_crigri-picr ENSCGRG00015004585
mesocricetus_auratus ENSMAUG00000001421
mus_spicilegus ENSMSIG00000024623
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032196
mus_musculus ENSMUSG00000031635
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031081
mus_pahari MGP_PahariEiJ_G0021546
rattus_norvegicus ENSRNOG00000014339
meriones_unguiculatus ENSMUGG00000023379
nannospalax_galili ENSNGAG00000020093
jaculus_jaculus ENSJJAG00000023763
ictidomys_tridecemlineatus ENSSTOG00000009507
urocitellus_parryii ENSUPAG00010014468
marmota_marmota_marmota ENSMMMG00000015085
spermophilus_dauricus ENSSDAG00000009942
otolemur_garnettii ENSOGAG00000007053
ochotona_princeps ENSOPRG00000001645
oryctolagus_cuniculus ENSOCUG00000003741
prolemur_simus ENSPSMG00000018630
microcebus_murinus ENSMICG00000013528
propithecus_coquereli ENSPCOG00000007620
bos_taurus ENSBTAG00000004944
bos_mutus ENSBMUG00000018439
bison_bison_bison ENSBBBG00000002635
capra_hircus ENSCHIG00000014729
ovis_aries ENSOARG00000015584
tursiops_truncatus ENSTTRG00000016121
sus_scrofa ENSSSCG00000030058
vicugna_pacos ENSVPAG00000010637
loxodonta_africana ENSLAFG00000003884
procavia_capensis ENSPCAG00000013221
dasypus_novemcinctus ENSDNOG00000012265
choloepus_hoffmanni ENSCHOG00000002605
ornithorhynchus_anatinus ENSOANG00000007455
xenopus_tropicalis ENSXETG00000032881
latimeria_chalumnae ENSLACG00000017285
lepisosteus_oculatus ENSLOCG00000003457
