chrysemys_picta ENSCPBG00000025499
chelonoidis_abingdonii ENSCABG00000009447
numida_meleagris ENSNMEG00000004017
coturnix_japonica ENSCJPG00005018009
gallus_gallus ENSGALG00000002881
anser_brachyrhynchus ENSABRG00000011317
calidris_pygmaea ENSCPGG00000017997
calidris_pugnax ENSCPUG00000017621
lepidothrix_coronata ENSLCOG00000000362
parus_major ENSPMJG00000012530
apteryx_haastii ENSAHAG00000018045
dromaius_novaehollandiae ENSDNVG00000014027
nothoprocta_perdicaria ENSNPEG00000004095
anolis_carolinensis ENSACAG00000026095
pogona_vitticeps ENSPVIG00000009985
salvator_merianae ENSSMRG00000023116
sphenodon_punctatus ENSSPUG00000011057
serinus_canaria ENSSCAG00000016021
lonchura_striata ENSLSDG00000017316
apteryx_rowi ENSARWG00000000872
crocodylus_porosus ENSCPRG00005014099
sphenodon_punctatus ENSSPUG00000012764
vombatus_ursinus ENSVURG00010016152
vombatus_ursinus ENSVURG00010020735
phascolarctos_cinereus ENSPCIG00000035005
phascolarctos_cinereus ENSPCIG00000010562
notamacropus_eugenii ENSMEUG00000005278
sarcophilus_harrisii ENSSHAG00000007481
monodelphis_domestica ENSMODG00000013996
octodon_degus ENSODEG00000017142
octodon_degus ENSODEG00000019511
octodon_degus ENSODEG00000007947
chinchilla_lanigera ENSCLAG00000009455
cavia_porcellus ENSCPOG00000034353
heterocephalus_glaber ENSHGLG00000017241
heterocephalus_glaber ENSHGLG00100001343
fukomys_damarensis ENSFDAG00000008564
ictidomys_tridecemlineatus ENSSTOG00000000855
marmota_marmota ENSMMMG00000024286
urocitellus_parryii ENSUPAG00010014062
rattus_norvegicus ENSRNOG00000025909
rattus_norvegicus ENSRNOG00000028997
mus_musculus ENSMUSG00000024208
mus_spicilegus ENSMSIG00000005071
mus_spretus MGP_SPRETEiJ_G0022209
mus_caroli MGP_CAROLIEiJ_G0021296
mus_pahari MGP_PahariEiJ_G0023614
meriones_unguiculatus ENSMUGG00000018639
cricetulus_griseus ENSCGRG00001023447
cricetulus_griseus ENSCGRG00000007229
cricetulus_griseus ENSCGRG00015013600
peromyscus_maniculatus ENSPEMG00000019242
microtus_ochrogaster ENSMOCG00000020094
nannospalax_galili ENSNGAG00000013059
jaculus_jaculus ENSJJAG00000023718
oryctolagus_cuniculus ENSOCUG00000005802
ochotona_princeps ENSOPRG00000004493
microcebus_murinus ENSMICG00000016469
microcebus_murinus ENSMICG00000046424
prolemur_simus ENSPSMG00000008888
