xiphophorus_couchianus ENSXCOG00000011884
seriola_lalandi_dorsalis ENSSLDG00000000843
gasterosteus_aculeatus ENSGACG00000006266
takifugu_rubripes ENSTRUG00000015401
tetraodon_nigroviridis ENSTNIG00000016569
mola_mola ENSMMOG00000000034
fundulus_heteroclitus ENSFHEG00000022337
cyprinodon_variegatus ENSCVAG00000019901
poecilia_latipinna ENSPLAG00000012022
poecilia_formosa ENSPFOG00000009884
poecilia_mexicana ENSPMEG00000017867
poecilia_reticulata ENSPREG00000022262
xiphophorus_maculatus ENSXMAG00000025549
gambusia_affinis ENSGAFG00000007797
kryptolebias_marmoratus ENSKMAG00000019675
cynoglossus_semilaevis ENSCSEG00000010319
pundamilia_nyererei ENSPNYG00000020142
haplochromis_burtoni ENSHBUG00000006931
maylandia_zebra ENSMZEG00005004912
neolamprologus_brichardi ENSNBRG00000012531
oreochromis_niloticus ENSONIG00000009726
amphilophus_citrinellus ENSACIG00000019714
oryzias_latipes ENSORLG00020020514
oryzias_latipes ENSORLG00000009907
oryzias_latipes_asm223469v1 ENSORLG00015004340
oryzias_melastigma ENSOMEG00000000017
amphiprion_ocellaris ENSAOCG00000002024
amphiprion_percula ENSAPEG00000017827
acanthochromis_polyacanthus ENSAPOG00000010768
stegastes_partitus ENSSPAG00000010773
labrus_bergylta ENSLBEG00000025135
mastacembelus_armatus ENSMAMG00000009291
monopterus_albus ENSMALG00000000974
anabas_testudineus ENSATEG00000021412
seriola_dumerili ENSSDUG00000023315
scophthalmus_maximus ENSSMAG00000005900
hippocampus_comes ENSHCOG00000015515
periophthalmus_magnuspinnatus ENSPMGG00000023417
gadus_morhua ENSGMOG00000005466
esox_lucius ENSELUG00000020247
pygocentrus_nattereri ENSPNAG00000024063
astyanax_mexicanus ENSAMXG00000034970
ictalurus_punctatus ENSIPUG00000016011
danio_rerio ENSDARG00000101701
paramormyrops_kingsleyae ENSPKIG00000016051
scleropages_formosus ENSSFOG00015013107
lepisosteus_oculatus ENSLOCG00000016915
anolis_carolinensis ENSACAG00000016825
pogona_vitticeps ENSPVIG00000005099
notechis_scutatus ENSNSUG00000006835
salvator_merianae ENSSMRG00000011578
sphenodon_punctatus ENSSPUG00000006541
anas_platyrhynchos_platyrhynchos ENSAPLG00000014765
anser_brachyrhynchus ENSABRG00000020131
coturnix_japonica ENSCJPG00005007795
meleagris_gallopavo ENSMGAG00000013904
gallus_gallus ENSGALG00000016293
numida_meleagris ENSNMEG00000021181
