amphiprion_ocellaris ENSAOCG00000002608
amphiprion_percula ENSAPEG00000017926
acanthochromis_polyacanthus ENSAPOG00000014369
acanthochromis_polyacanthus ENSAPOG00000005399
acanthochromis_polyacanthus ENSAPOG00000008852
acanthochromis_polyacanthus ENSAPOG00000005455
stegastes_partitus ENSSPAG00000014033
cyprinodon_variegatus ENSCVAG00000009763
tetraodon_nigroviridis ENSTNIG00000015663
takifugu_rubripes ENSTRUG00000016000
mola_mola ENSMMOG00000019436
cynoglossus_semilaevis ENSCSEG00000009246
cynoglossus_semilaevis ENSCSEG00000007758
cyprinodon_variegatus ENSCVAG00000017886
fundulus_heteroclitus ENSFHEG00000015577
xiphophorus_maculatus ENSXMAG00000022136
xiphophorus_couchianus ENSXCOG00000018173
gambusia_affinis ENSGAFG00000013274
poecilia_formosa ENSPFOG00000018075
poecilia_mexicana ENSPMEG00000014763
poecilia_latipinna ENSPLAG00000023259
poecilia_reticulata ENSPREG00000000588
kryptolebias_marmoratus ENSKMAG00000014307
oryzias_latipes ENSORLG00020022467
oryzias_latipes ENSORLG00000008567
oryzias_latipes_asm223469v1 ENSORLG00015022280
oryzias_melastigma ENSOMEG00000016983
maylandia_zebra ENSMZEG00005019281
pundamilia_nyererei ENSPNYG00000006398
astatotilapia_calliptera ENSACLG00000017227
haplochromis_burtoni ENSHBUG00000004095
neolamprologus_brichardi ENSNBRG00000011021
oreochromis_niloticus ENSONIG00000015697
amphilophus_citrinellus ENSACIG00000006853
labrus_bergylta ENSLBEG00000014015
gasterosteus_aculeatus ENSGACG00000001429
mastacembelus_armatus ENSMAMG00000020687
monopterus_albus ENSMALG00000016385
anabas_testudineus ENSATEG00000001237
seriola_lalandi_dorsalis ENSSLDG00000013028
seriola_dumerili ENSSDUG00000014160
scophthalmus_maximus ENSSMAG00000008108
hippocampus_comes ENSHCOG00000018478
periophthalmus_magnuspinnatus ENSPMGG00000022655
gadus_morhua ENSGMOG00000002567
esox_lucius ENSELUG00000006128
pygocentrus_nattereri ENSPNAG00000011056
astyanax_mexicanus ENSAMXG00000035310
ictalurus_punctatus ENSIPUG00000003553
danio_rerio ENSDARG00000067751
scleropages_formosus ENSSFOG00015009841
paramormyrops_kingsleyae ENSPKIG00000001697
lepisosteus_oculatus ENSLOCG00000010981
